ID,Name_lang,Description_lang,ButtonText_lang,RewardDescription_lang,ContinueDescription_lang,Type,PlayerConditionID,Flags,ButtonActionType,TextureFileDataID,LfgDungeonID,QuestID,BattleMasterListID,PriorityMin,PriorityMax,CurrencyType,CurrencyQuantity,UIMapID,BonusPlayerConditionID[0],BonusPlayerConditionID[1],BonusValue[0],BonusValue[1]
7,Vorgebirge des Hügellands,Schließt Euch der Armee der Verlassenen an und marschiert für die Horde auf das Vorgebirge des Hügellands!,Quest beginnen,,,0,33200,0,3,236779,0,28571,0,9,10,0,0,25,33600,0,1,0
8,Eschental,Vertreibt die Nachtelfen aus dem Eschental und erhebt im Namen der Horde Anspruch auf seine Ressourcen!,Quest beginnen,,,0,33201,0,3,236713,0,28493,0,9,10,0,0,63,33636,0,1,0
9,Höhlen des Wehklagens,Wagt Euch in die Höhlen des Wehklagens und bekämpft die üblen Druiden des Giftzahns.,Gruppe beitreten,,,6,33956,0,1,236450,1,0,0,7,8,0,0,0,33955,33976,0,0
10,Todesminen,"Erforscht die verlassenen Minen unter Westfall, in denen die Bruderschaft der Defias ihre Banditenarmee aufstellt.",Gruppe beitreten,,,6,33202,0,1,236409,6,0,0,7,8,0,0,0,33957,33974,0,0
12,Burg Schattenfang,"Diese verfallene, dunkle Festung, die über dem Silberwald thront, ist die Heimat eines Zirkels ehemaliger Adliger von Gilneas.",Gruppe beitreten,,,6,33774,0,1,463876,8,0,0,7,8,0,0,0,33958,33975,0,0
13,Kriegshymnenschlucht,Erobert die Kriegshymnenschlucht in diesem Flaggeneroberungsschlachtfeld für die Horde.,Stürzt Euch in den Kampf!,,,5,33717,1,4,236350,0,0,2,1,7,0,0,0,34691,0,1,0
14,Arathibecken,Kämpft in diesem Ressourcenwettlauf gegen die Allianz um die Vorherrschaft im Arathibecken.,Stürzt Euch in den Kampf!,,,5,33718,1,4,236712,0,0,3,1,7,0,0,0,34691,0,1,0
17,Flammenschlund,"Bekämpft den dunklen Kult, der als die Sengende Klinge bekannt ist, in den vulkanischen Höhlen unter Orgrimmar!",Gruppe beitreten,,,6,33674,0,1,136216,4,0,0,7,8,0,0,0,33959,33977,0,0
21,Zufälliger Dungeon,"Bewältigt einen zufälligen Dungeon von Warlords of Draenor, um die Ausrüstung Eures Charakters aufzuwerten!",Gruppe beitreten,,,6,33723,0,1,1042626,788,0,0,7,8,0,0,0,0,0,0,0
27,Zufälliges Schlachtfeld,Messt Euch auf einem zufälligen Schlachtfeld mit anderen Spielern!,Stürzt Euch in den Kampf!,,,5,34154,0,8,132269,0,0,32,2,3,0,0,0,33559,0,4,0
29,Silberwald,"Helft der Kommandozentrale der Verlassenen dabei, den Hafen von Gilneas für die Horde zu erobern!",Quest beginnen,,,0,33561,0,3,236830,0,28568,0,9,10,0,0,21,33596,0,1,0
30,Vashj'ir,"Schließt Euch der Invasionsflotte an, um eine neue Insel vor der Küste der Allianzhauptstadt Sturmwind zu erobern!",Quest beginnen,,,0,33562,0,3,409551,0,27718,0,9,10,0,0,203,33597,33748,0,0
31,Der Hyjal,"Die Diener von Todesschwinge haben damit begonnen, den Weltenbaum anzugreifen. Unsere Verbündeten vom Zirkel des Cenarius benötigen Eure Hilfe!",Quest beginnen,,,0,33563,0,3,409547,0,27721,0,9,10,0,0,198,33598,33748,0,0
32,Tiefenheim,"Thrall und der Irdene Ring benötigen Eure Hilfe dabei, die Elementarebene namens Tiefenheim anzugreifen!",Quest beginnen,,,0,33564,0,3,409546,0,27722,0,9,10,0,0,207,33599,0,0,0
