ID,CategoryName_lang,CustomizeIcon,CustomizeIconSelected,OrderIndex,CameraZoomLevel,Flags,SpellShapeshiftFormID,CameraDistanceOffset
1,Körper,11987,11986,4,20,1,0,0
2,Gesicht,11991,11990,1,100,0,0,0
3,Accessoires,11985,11984,3,100,0,0,0
4,Haar,11989,11988,2,100,0,0,0
5,Tätowierungen,11987,11986,5,65,1,0,0
6,Bärengestalt,15730,15730,6,0,0,5,1
7,Katzengestalt,15731,15731,7,0,0,1,0
9,Wassergestalt,15729,15729,10,0,0,4,1
10,Reisegestalt,15734,15734,11,0,0,3,1
11,Fluggestalt,15732,15732,9,0,0,27,0
12,Mondkingestalt,15733,15733,8,0,0,31,0
13,Gesicht (Untoter),11991,11990,1,80,1,0,0
14,Gesicht (Pandaren),11991,11990,1,80,1,0,0
15,Gesicht (Mag'har),11991,11990,1,85,1,0,0
16,Gesicht (Zwerg),11991,11990,1,88,0,0,0
17,Accessoires (Zwerg),11985,11984,3,88,0,0,0
18,Gesicht (Tauren),11991,11990,1,100,1,0,0
19,Accessories (Tauren),11985,11984,3,100,1,0,0
20,Face (Worgen),11991,11990,1,100,1,0,0
22,Körper (Dracthyr),11987,11986,1,20,0,0,0
23,Spiegel,18308,18307,2,100,0,0,0
24,Rüstung 1 (Dracthyr),11993,11992,5,20,0,0,0
25,Identität,18778,18777,12,20,0,0,0
26,Armor 2 (Dracthyr),11993,11992,6,20,0,0,0
27,Körper (Drachenreiten),20126,20127,1,20,1,0,0
28,Körper 2 (Drachenreiten),20128,20129,2,20,1,0,0
29,Kopf (Drachenreiten),20130,20131,3,100,0,0,0
30,Kopf 2 (Drachenreiten),18308,18307,4,100,0,0,0
31,Accessoires (Dracthyr),20130,20131,2,100,0,0,0
32,Gesicht (Dracthyr),11991,11990,3,100,0,0,0
33,Spiegel (Dracthyr),18308,18307,4,100,0,0,0
