ID,TutorialText_lang,SpellID,ActionBarOverrideSpellID,SpellLabel,UiTextureKitID,UiPriority
1,Garnisonsfähigkeit für diese Zone freigeschaltet!|n|nIhr könnt diese Fähigkeit auf Eure Aktionsleiste ziehen.,161691,170108,0,5289,0
2,Kyrianerfähigkeit für diese Zone freigeschaltet!|n|nIhr könnt diese Fähigkeit auf Eure Aktionsleiste ziehen.,313347,313335,0,5290,100
3,Kyrianerfähigkeit für diese Zone freigeschaltet!|n|nIhr könnt diese Fähigkeit auf Eure Aktionsleiste ziehen.,326526,326532,0,5290,200
4,Garnisonsfähigkeit für diese Zone freigeschaltet!|n|nIhr könnt diese Fähigkeit auf Eure Aktionsleiste ziehen.,161691,170097,0,5289,0
5,Garnisonsfähigkeit für diese Zone freigeschaltet!|n|nIhr könnt diese Fähigkeit auf Eure Aktionsleiste ziehen.,161691,170109,0,5289,0
6,Garnisonsfähigkeit für diese Zone freigeschaltet!|n|nIhr könnt diese Fähigkeit auf Eure Aktionsleiste ziehen.,161691,166499,0,5291,0
7,Garnisonsfähigkeit für diese Zone freigeschaltet!|n|nIhr könnt diese Fähigkeit auf Eure Aktionsleiste ziehen.,161691,166498,0,5291,0
8,Garnisonsfähigkeit für diese Zone freigeschaltet!|n|nIhr könnt diese Fähigkeit auf Eure Aktionsleiste ziehen.,161691,161693,0,5292,0
9,Garnisonsfähigkeit für diese Zone freigeschaltet!|n|nIhr könnt diese Fähigkeit auf Eure Aktionsleiste ziehen.,161691,161694,0,5293,0
10,Garnisonsfähigkeit für diese Zone freigeschaltet!|n|nIhr könnt diese Fähigkeit auf Eure Aktionsleiste ziehen.,161691,168474,0,5294,0
11,Garnisonsfähigkeit für diese Zone freigeschaltet!|n|nIhr könnt diese Fähigkeit auf Eure Aktionsleiste ziehen.,161691,166502,0,5295,0
12,Garnisonsfähigkeit für diese Zone freigeschaltet!|n|nIhr könnt diese Fähigkeit auf Eure Aktionsleiste ziehen.,161691,162131,0,5296,0
13,Garnisonsfähigkeit für diese Zone freigeschaltet!|n|nIhr könnt diese Fähigkeit auf Eure Aktionsleiste ziehen.,161691,168478,0,5297,0
14,Garnisonsfähigkeit für diese Zone freigeschaltet!|n|nIhr könnt diese Fähigkeit auf Eure Aktionsleiste ziehen.,161691,171333,0,5298,0
15,Garnisonsfähigkeit für diese Zone freigeschaltet!|n|nIhr könnt diese Fähigkeit auf Eure Aktionsleiste ziehen.,161691,171334,0,5298,0
16,Garnisonsfähigkeit für diese Zone freigeschaltet!|n|nIhr könnt diese Fähigkeit auf Eure Aktionsleiste ziehen.,161691,166500,0,5295,0
17,Garnisonsfähigkeit für diese Zone freigeschaltet!|n|nIhr könnt diese Fähigkeit auf Eure Aktionsleiste ziehen.,161691,162130,0,5299,0
18,,211390,0,193,5300,0
19,,251463,0,321,0,0
20,,264739,0,391,0,0
21,,314955,0,851,5300,0
22,Venthyrfähigkeit für diese Zone freigeschaltet!|n|nIhr könnt diese Fähigkeit auf Eure Aktionsleiste ziehen.,313347,315593,0,5303,100
23,Venthyrfähigkeit für diese Zone freigeschaltet!|n|nIhr könnt diese Fähigkeit auf Eure Aktionsleiste ziehen.,326526,329350,0,5303,200
24,Venthyrfähigkeit für diese Zone freigeschaltet!|n|nIhr könnt diese Fähigkeit auf Eure Aktionsleiste ziehen.,313347,329887,0,5303,100
