Description_lang,StandingModified_lang,StandingChangedText_lang,ID,FactionID,TextureFileID,Flags
Für Bauer Fung seid Ihr ein %s. Bauer Fung mag Sumpflilien und Wildgeflügelbraten.,,,2,1283,604882,0
Für Chi-Chi seid Ihr ein %s. Chi-Chi mag blaue Federn und Pfannengericht nach Vier-Winde-Art.,,,16,1277,604882,0
Für Ella seid Ihr ein %s. Ella mag Jadekatzen und Garnelenklößchen.,,,17,1275,604882,0
Für Fischi Rohrroder seid Ihr ein %s. Fischi mag Jadekatzen und Zwillingsfischplatte.,,,18,1282,604882,0
Für Gina Lehmkrall seid Ihr ein %s. Gina mag Sumpflilien und verwirbelte Nebelsuppe.,,,19,1281,604882,0
Für Haohan Lehmkrall seid Ihr ein %s. Haohan mag Rubinsplitter und gegrilltes Tigersteak.,,,20,1279,604882,0
Für Jogu den Betrunkenen seid Ihr ein %s. Jogu mag hübsche Äpfel und gebratene Karotten.,,,21,1273,604882,0
Für den alten Hügelpranke seid Ihr ein %s. Der Alte mag blaue Federn und geschmorte Schildkröte.,,,22,1276,604882,0
Für Sho seid Ihr ein %s. Sho mag hübsche Äpfel und Blütenfischfilet.,,,23,1278,604882,0
Für Tina Lehmkrall seid Ihr ein %s. Tina Lehmkrall mag Rubinsplitter und Feuergeisterlachs.,,,24,1280,604882,0
"Nomi ist ein sehr gelehriger %s der Kochkunst. Mit jeder Lehrstunde, die Ihr ihm erteilt, wird er immer besser!",,,25,1357,604882,0
"Für Nat seid Ihr ein %s. Nat trinkt gern mal ein Schlückchen. Vielleicht teilt er ja, wenn Ihr ihm ein paar mehr seltene Fische bringt!",,,26,1358,604882,0
Ihr seid derzeit %s in der Shlae'gararena.,,,28,2372,666624,0
Ihr seid derzeit %s in Bizmos Boxbar.,,,43,2371,666623,0
Die Rebellion der Dunkelspeere ist %s.,,,72,1440,666624,0
Tormmok ist momentan Euer %s.,,,160,1736,666623,0
Beschützerin Illona ist momentan Euer %s.,,,162,1738,666623,0
Aeda Morgenglanz ist momentan Euer %s.,,,163,1740,666623,0
Delvar Eisenfaust ist momentan Euer %s.,,,164,1733,666623,0
Vivianne ist momentan Euer %s.,,,165,1739,666623,0
Krallenpriester Ishaal ist momentan Euer %s.,,,166,1737,666623,0
Leorajh ist momentan Euer %s.,,,167,1741,666623,0
%s,,,171,1374,666624,0
%s,,,172,1419,666623,0
"Die Erste Arkanistin Thalyssra ist: %s.

Die Nachtgeborenen haben einen unstillbaren Durst nach |cFF66BBFFuraltem Mana|r, das sich überall in Suramar finden lässt.",,,181,1860,1391545,0
"Silgryn ist: %s.

Die Nachtsüchtigen haben einen unstillbaren Durst nach |cFF66BBFFuraltem Mana|r. Es gibt viele natürliche Quellen davon in Suramar, keine jedoch so mächtig, wie der Nachtbrunnen.",,,182,1861,1391545,0
"Großtelemant Oculeth ist: %s.

Die Nachtgeborenen haben einen unstillbaren Durst nach |cFF66BBFFuraltem Mana|r, das sich überall in Suramar finden lässt.",,,183,1862,1391545,0
7.0 Champions Test - Chen Stormstout - Uses Test Faction (949),,,184,949,666623,0
"Arkanist Valtrois ist: %s.

Die Nachtgeborenen haben einen unstillbaren Durst nach |cFF66BBFFuraltem Mana|r, das sich überall in Suramar finden lässt.",,,185,1919,1391545,0
Für Beschwörer Margoss seid Ihr ein %s. Er war kein Freund der magischen Künste. Angeln ist seine wahre Leidenschaft!,,,193,1975,604882,0
"Für Olissara und Angelique seid Ihr ein %s. Sie möchten helfen, wo sie können, indem sie die Notleidenden mit medizinischen Vorräten versorgen.",,,195,1984,604882,0
Arne Test - is currently your %s.,,,198,0,666623,0
Für Ilyssia von den Wassern seid Ihr ein %s. Angelt in Azsuna mit ihr.,,,199,2097,604882,0
Für Akule seid Ihr ein %s. Angelt beim Hochberg mit ihm.,,,200,2099,604882,0
Für Wichtlus seid Ihr ein %s. Angelt an der Verheerten Küste mit ihm.,,,202,2102,604882,0
Für Hüterin Raynae seid Ihr ein %s. Angelt in Val'sharah mit ihr.,,,204,2098,604882,0
Für Sha'leth seid Ihr ein %s. Angelt in Suramar mit ihr.,,,206,2101,604882,0
Für den Raben seid Ihr ein %s. Angelt in Sturmheim mit ihm.,,,208,2100,604882,0
Für Chromie seid Ihr ein %s.,,,209,2135,4191562,0
%s,,,210,1691,666624,0
%s,,,212,1690,666624,0
Der Pterrodax ist jetzt ein %s.,,,213,2233,1391545,0
Das Terrorhorn ist jetzt ein %s.,,,315,2370,604882,0
Jäger Akana ist: %s.,Jäger Akana hat %d Kampferfahrung erhalten.,Jäger Akana hat %s erreicht.,316,2375,604882,25
Scharfseher Ori ist: %s.,Scharfseher Ori hat %d Kampferfahrung erhalten.,Scharfseher Ori hat %s erreicht.,317,2376,604882,25
Klingenkämpfer Inowari ist: %s.,Klingenkämpfer Inowari hat %d Kampferfahrung erhalten.,Klingenkämpfer Inowari hat %s erreicht.,318,2377,604882,25
Neri Scharffinne ist: %s.,Neri Scharffinne hat %d Kampferfahrung erhalten.,Neri Scharffinne hat %s erreicht.,320,2389,604882,25
