ID,Name_lang,Tooltip_lang,BuildingType,SpecType,RequiredUpgradeLevel,IconFileDataID,Param[0],Param[1]
2,Ausstellungspfosten,"Ermöglicht es Euch, 5 weitere Reittiere öffentlich zur Schau zu stellen.",0,0,0,132224,100,0
3,Reittierhändler,Ein Verkäufer von seltenen Reittieren hat sich im Stall Eurer Garnison einquartiert.,0,1,0,413588,5,0
7,Rückrufportal,"Ermöglicht es Euch, eine laufende Mission abzubrechen und die Anhänger sofort zurückzuholen.",0,5,0,511651,0,0
8,Agent,"Zufällige Anhänger mit einer spezifischen Eigenschaft, Fähigkeit oder Rolle können für 10 Materialien rekrutiert werden.",0,6,0,134149,0,0
9,Schwarzfelskoch,Gewährt Zugang zu täglichen Kochquests in der Garnison.,0,6,0,236571,0,0
11,Minenloren,"Ruft zusätzliche Minenarbeiter, die für Euch Loren mit Erz und anderen merkwürdigeren Funden füllen.",0,7,3,961629,0,0
12,Obstgarten,"Pflanzt einen Obstgarten in Eurer Garnison, der seltene Früchte trägt.",9,7,0,133977,0,0
13,Exquisites Kürschnermesser,Erhöht den stündlichen Lederertrag um 10%.,0,7,0,924154,0,0
22,Steinmahler,"Liefert zusätzliches Material, indem Geröll vom Bergbau zermahlen wird, um später für Straßen, Beton und mehr verwendet zu werden.",0,7,3,135236,0,0
23,Massenteleportation,"Hebt bei der ersten Mission des Tages, die 5 Anhänger erfordert, die Reisezeit auf.",0,5,0,413583,0,0
24,Städtereisen,Ermöglicht den Zugang zu Stadtportalen zu anderen Städten als Orgrimmar und Sturmwind.,0,5,0,135744,0,0
25,Mechanischer Jäti,Automatisiert die Ernte im Kräutergarten.,0,7,0,132996,0,0
26,PattyMack Test Spec,,0,4,0,0,0,0
27,Schwarzfels,Fügt Euren Lieferungen zusätzliche Schwarzfelserzreagenzien hinzu.,0,3,0,0,0,0
28,Echteisen,Fügt Euren Lieferungen zusätzliche Echteisenerzreagenzien hinzu.,0,3,0,0,0,0
31,Fischlieferung,"Garantiert jeden Tag eine Lieferung mit frischem Fisch, direkt zu Eurer Angelhütte!",0,6,3,970842,0,0
32,Köderfischen,"Erhöht die Chance drastisch, dass Ihr Angelköder beim Angeln in den Gewässern Eurer Garnison findet.",0,6,3,970852,0,0
33,Höhlenbewohner,"Gewährt Euch die Chance, Frosttiefenelritzen in den Gewässern Eurer Garnison zu angeln. Diese können dazu verwendet werden, Höhlenbewohner der Frosttiefen anzulocken.",0,6,3,970814,0,0
34,Studentenlabor,"Euer Alchemielabor nimmt Studenten auf, die Euch jeden Tag ein paar weitere Tränke bescheren.",0,6,3,413574,0,0
35,Transmutation,"Das Labor ist spezialisiert auf die veränderbare Natur physischer Objekte, wodurch die tägliche Produktion metamorphischer Kristalle erhöht wird.",0,6,3,967514,0,0
36,Elixier,"Das Labor ist spezialisiert auf die Katalyse alchemistischer Reaktionen, wodurch die tägliche Produktion alchemischer Katalysatoren erhöht wird.",0,6,3,967512,0,0
37,Stärkerer Ruf zu den Waffen,"Stärkt die Truppen, die durch den Ruf zu den Waffen herbeigerufen werden, und erhöht ihren Schaden.",0,6,3,975738,0,0
38,Erste Hilfe,"Ruft einen Erste-Hilfe-NPC herbei, der jeden Tag Heiltränke und Verbände bereitstellt.",0,6,3,135966,0,0
39,Gefängnis,"Fängt manchmal Diebe, die entweder ein Bußgeld zahlen oder nützliche Informationen preisgeben müssen, um einer schwereren Strafe zu entgehen.",0,6,3,136058,0,0
40,Minenwachen,"Lässt bei Eurer Mine Garnisonswachen patrouillieren, die angriffslustige Goren fernhalten.",0,6,3,132110,0,0
41,Mengenrabatt,"Verringert die Kosten, wenn Ihr Gebäude kauft oder Spezialisierungen ändert.",0,6,3,132761,0.5,0
