ID,Answer_lang,Sort_Index,GMSurveyQuestionID
101,k. A.,0,36
102,Ja,1,36
103,Nein,2,36
104,k. A.,0,35
105,0,1,35
106,1,2,35
107,2,3,35
108,3,4,35
109,4,5,35
110,5,6,35
111,6,7,35
112,7,8,35
113,8,9,35
114,9,10,35
115,Viel schlechter,1,37
116,Etwas schlechter,2,37
117,Ungefähr gleich,3,37
118,Besser,4,37
119,Viel besser,5,37
120,10,11,35
121,k. A.,0,37
152,Besser,4,38
153,Viel besser,5,38
154,k. A.,0,38
155,Viel schlechter,1,38
156,Etwas schlechter,2,38
157,Ungefähr gleich,3,38
158,Besser,4,39
159,Viel besser,5,39
160,k. A.,0,39
161,Viel schlechter,1,39
162,Etwas schlechter,2,39
163,Ungefähr gleich,3,39
164,Besser,4,40
165,Viel besser,5,40
166,k. A.,0,40
167,Viel schlechter,1,40
168,Etwas schlechter,2,40
169,Ungefähr gleich,3,40
170,Besser,4,41
171,Viel besser,5,41
172,k. A.,0,41
173,Viel schlechter,1,41
174,Etwas schlechter,2,41
175,Ungefähr gleich,3,41
184,Gar nicht zufrieden,0,42
185,,1,42
186,,2,42
187,,3,42
188,Sehr zufrieden,4,42
189,Sehr gering,0,43
190,,1,43
191,,2,43
192,,3,43
193,Sehr hoch,4,43
194,k. A.,5,43
195,Sehr gering,0,44
196,,1,44
197,,2,44
198,,3,44
199,Sehr hoch,4,44
200,Gar nicht zufrieden,0,45
201,,1,45
202,,2,45
203,,3,45
204,Sehr zufrieden,4,45
205,Trifft gar nicht zu,0,46
206,,1,46
207,,2,46
208,,3,46
209,Trifft voll zu,4,46
210,k. A.,5,46
211,Trifft gar nicht zu,0,47
212,,1,47
213,,2,47
214,,3,47
215,Trifft voll zu,4,47
216,k. A.,5,47
217,Trifft gar nicht zu,0,48
218,,1,48
219,,2,48
220,,3,48
221,Trifft voll zu,4,48
222,k. A.,5,48
223,Trifft gar nicht zu,0,49
224,,1,49
225,,2,49
226,,3,49
227,Trifft voll zu,4,49
228,k. A.,5,49
229,Ja,0,50
230,Nein,1,50
231,Gar nicht zufrieden,0,51
232,,1,51
233,,2,51
234,,3,51
235,Sehr zufrieden,4,51
236,k. A.,5,51
249,k. A.,5,42
251,k. A.,5,44
252,k. A.,5,45
320,,1,53
321,,2,53
322,,3,53
323,Trifft voll zu,4,53
324,k. A.,5,53
325,Trifft gar nicht zu,0,53
352,k. A.,5,52
359,1,4,52
366,2,3,52
373,3,2,52
380,4 oder mehr,1,52
394,Noch nicht behoben,0,52
