ID,ClassName_lang,ClassID,PriceModifier,Flags
1,Verbrauchbares,0,0.25,0
2,Behälter,1,0.25,0
3,Waffe,2,0.2,1
4,Edelstein,3,0.25,0
5,Rüstung,4,0.2,0
6,Reagenz,5,0.25,0
7,Projektil,6,0.25,0
8,Handwerksmaterial,7,0.25,0
9,Gegenstandsaufwertung,8,0.25,0
10,Rezept,9,0.25,0
11,Gold(ÜBERFLÜSSIG),10,0.25,0
12,Köcher,11,0.25,0
13,Quest,12,0.25,0
14,Schlüssel,13,0.25,0
15,Dauerhaft(ÜBERFLÜSSIG),14,0.25,0
16,Verschiedenes,15,0.25,0
17,Glyphe,16,0.25,0
18,Kampfhaustiere,17,0.25,0
19,WoW-Marke,18,0.25,0
145,Beruf,19,0,0
