ID,OverrideNameString_lang,SlotMask,ItemNameDescriptionID
1,Gamaschen des Vortex der Vesperglocke,128,13884
15,Chilly Robe (DNT),1048576,13586
17,Hand der furchteinflößenden Symmetrie,1024,13642
22,Supervirusbrustplatte,32,13662
23,Umhang des sicheres Todes,65536,13663
24,Tuch der Monstrums,65536,13665
26,Vampirische Brustplatte,32,13668
27,Handschützer der blutroten Rune,1024,13669
28,Kette des absoluten Nullpunkts,4,13673
29,Gürtel des endlosen Griffs,64,13675
30,Gelenkbänder des geschmolzenen Himmels,512,13679
31,Gugel des Tieffrierens,2,13682
32,Beherrschungsband der Disziplinen,2048,13684
33,Schärpe des erweiterten Potenzials,64,13685
34,Geschnürte Wickel der arkanen Harmonie,1024,13691
35,Zeitschleife,2048,13692
37,Uthers Refugium,36,13695
38,Jagdtracht des Wahnsinnigen Paragons,256,13694
40,Siegel des rechtschaffenen Zorns,2048,13704
42,Mantel des unerbittlichen Inquisitors,65536,13709
43,Sabatons der Revanche,256,13713
44,Stampfer des Donnerfürsts,256,13716
45,Stulpen des Kontrollverlusts,1024,13720
47,Amulett des Schlachtenfürsten,4,13722
48,Schulterplatten des seismischen Nachhalls,8,13723
49,Gelenkbänder der Ahnen,512,13724
50,Tiefenbebengurt,64,13725
51,Schulterschützer der tiefen Elemente,8,13726
52,Flammender Untergang des Himmelsbrechers,1048608,13728
53,Beinschützer des elementaren Gleichgewichts,128,13729
54,Echos der Großen Zerschlagung,8,13730
55,Lavarückstrom des Windsprechers,256,13731
56,Beinschützer von Jonats Naturfokus,128,13736
57,Umhang des Gezeitengeistwandlers,65536,13737
58,Handschützer der urzeitlichen Fluten,1024,13738
59,Umhang der irdenen Harmonie,65536,13739
60,Schmerzbringerhelm,2,13742
61,Gelenkbänder des wilden Rufs,512,13743
62,Hemets Gürtel des Fallenstellens,64,13744
63,Schulterklappen der Seelenschmiedeglut,8,13745
64,Amulett des feigen Strategems,4,13746
66,Gravierte Schleife des Alphabefehls,2048,13747
67,Kobrahautgamaschen des Flammenschürers,128,13748
68,Kriegsschiftung der Eredar,8,13749
69,Umhang des Rylakmeisterjägers,65536,13750
70,Armschützer der schnellenden Schüsse,512,13752
71,Schulterpolster des Schlangenpirschers,8,13753
72,Gelenkbänder der unablässigen Wacht,512,13754
73,Verwirrende Beinschützer des Rylakjägers,128,13756
74,Wilfreds Gelenkbänder der überlegenen Beschwörung,512,13759
77,Säulen des Dunklen Portals,4,13762
78,Schreiberrobe der Azj'Aqir,1048608,13763
79,Sacrolashs Dunkelstöße,128,13764
80,Bestickte Stiefel des Zorns,256,13766
81,Gehörnte Schulterpolster der Alpträume,8,13769
82,Glutflammenbeinschützer der Azj'Aqir,128,13771
84,Beinschützer der Reanimation,128,13666
87,Halbriesenmaske,2,13776
90,Verdammnislordhufe,256,13779
99,Klauenbewehrte Stiefel von Endereth,256,13760
100,Elegante Umgürtelung der Ymirjar,64,13774
102,Siegel des Meisterassassinen,2560,13790
105,Schattenstaubwams,32,13793
106,Giftklingenstiefel,256,13791
110,Notlösung des Dämmergängers,32,13797
111,Grünhauts Ruten,2,13798
112,Talisman des Banditen,4,13799
114,Ring der Schnelligkeit,2048,13789
115,Verborgene Donnerbüchse,1024,13800
116,Letzter Vorhang,65536,13801
117,Akaaris Seelenfragment,1024,13802
119,Tödliche Schatten,128,13804
126,Vision der dämonischen Synergie,2,13761
127,Fußspuren der Familie Zoldyck,256,13796
128,Blutbefleckte Verdammnisklingenschulterklappen,8,13795
130,Blutzahnschiftung,8,13792
131,Verdorbener Appetit,65536,13803
151,Unbeständige Teufelsschritte,256,13781
158,Teufelsentflammter Helm,2,13782
159,Tuch der dunkelsten Stunde,32,13778
161,Dunkelblickmedaillon,4,13777
163,Zyklus des Chaos,64,13780
165,Immerflammenbrustschutz,32,13810
167,Verdammnislordhufe,256,13809
168,Unvergänglicher Ring der Teufelsflamme,2048,13785
169,Finsterflammengugel,2,13783
170,Tollkühner Griff der Feuerseele,1024,13786
171,Verlorene Beinschützer des Entweihers,128,13784
172,Sicht von Abendrot und Morgenrot,2,13697
175,Helm der Endgültigkeit,130,13834
176,Schienbeinschützer des unstillbaren Hungers,256,13835
179,Sündhafte Schulterstücke,8,13837
180,Brustplatte des Ruhms,32,13836
182,Handschutz des sündhaften Schwelgens,1024,13839
184,Schiftung der Seelenaffinität,8,13844
185,Treter der himmlischen Geister,256,13846
186,Brustschutz des zornerfüllten Schwarms,32,13841
187,Schulterpolster der schallenden Klarheit,8,13851
189,Helm des pflichtgebundenen Hammers,2,13854
190,Gamaschen des lodernden Gemetzels,256,13857
191,Handschutz der strahlenden Glut,1024,13853
192,Stiefel der Jahreszeiten der Fülle,256,13861
193,Helm von Bwonsamdis Pakt,2,13862
195,Armschienen des Schattenwortes: Manipulation,512,13863
197,Hüfttuch der zersplitterten Elemente,64,13867
198,Kettenhemd der Elementarverbundenheit,32,13869
199,Gamaschen des Splitters der Vernichtung,128,13871
200,Fußpolster der verrottenden Seelen,256,13872
201,Kopfband der eingedämmten endlosen Explosion,2,13873
202,Handschuhe der Seelenpirscher,1024,13874
203,Stulpen der meisterhaften Munition,512,13875
204,Halskette aus Fragmenten des Ältestengeweihs,4,13876
205,Stiefel mit Klingenbruchstücken,256,13877
206,Weste des Großzügigen,32,13866
207,Handschutz der Monstrosität,1024,13832
208,Brustplatte der rasenden Übertragung,32,13833
209,Wickel der Faeharmonie,1024,13881
210,Chestplate of Test 1 Override,32,13882
211,Chest of Test 2 Override,32,13883
213,Three-pronged Defender (DNT),4,13588
218,Fußlappen des tobenden Vortex der Vesperglocke,256,13884
219,Gelenkbänder der finsteren Lehren,512,13885
220,Band der finsteren Lehren,2048,13885
222,Mantel der Harmonie der Sphären,8,13887
223,Gamaschen der Harmonie der Sphären,128,13887
224,Ring des bleichen Befehls,2048,13888
225,Sandalen des bleichen Befehls,256,13888
226,Brustplatte des sicheren Todes,32,13663
227,Beinplatten der Monstrosität,128,13665
228,Taillenschutz der Reanimation,64,13666
229,Vampirband,2048,13668
230,Schulterschützer der blutroten Rune,8,13669
231,Armschützer des absoluten Nullpunkts,512,13673
232,Kriegsstiefel des endlosen Griffs,256,13675
233,Amulett des geschmolzenen Himmels,4,13679
234,Schulterpolster des Tiefgefrierens,8,13682
235,Gelenkbänder der disziplinarischen Beherrschung,64,13684
236,Stiefel des erweiterten Potenzials,256,13685
237,Bestickte Schulterpolster der arkanen Harmonie,8,13691
238,Gravierte Mantelung der Zeit,32,13692
239,Binden des wahnsinnigen Paragons,64,13694
240,Uthers Hingabe,4,13695
242,Schuppen des unnachgiebigen Inquisitors,128,13709
243,Beinschützer der Revanche,128,13713
244,Stulpen des Donnerfürsts,1024,13716
245,Armplatten des Kontrollverlusts,512,13720
246,Handgelenksschützer des Schlachtenfürsten,512,13722
247,Großhelm des seismischen Nachhalls,2,13723
248,Schmerzbringertaillenschutz,64,13742
249,Gravierter Armreif der kollektiven Qual,512,13775
250,Halbriesenschulterschützer,8,13776
251,Dunkelblickgürtelbund,64,13777
253,Schiftung eines gefallenen Verdammnislords,8,13779
254,Chaostheoriekordel,64,13780
255,Unbeständiger Teufelskern,2048,13781
256,Teufelsbombenschützenanhänger,4,13782
258,Verlorene Unterarmschienen des Entweihers,512,13784
259,Wirbelnde Teufelsflammenpeitsche,64,13785
260,Versengte Seelenfesseln,512,13786
261,Hüfttuch des toxischen Vergifters,64,13791
262,Ausbildungsgamaschen der Familie Zoldyck,128,13796
263,Schleife des Dämmergängers,2048,13797
264,Grünhauts durchnässter Gürtelbund,64,13798
265,Arglistarmreif,512,13799
266,Schnelligkeitsmantel,8,13789
267,Vogelpfeifenunterarmschienen,512,13800
268,Endgültigkeit,32,13801
269,Akaaris verzerrte Vision,2,13802
270,Verdorbenes Nachspiel,128,13803
271,Wickel der tödlichen Schatten,64,13804
273,Ewig brennende Schulterschützer,8,13810
274,Heiliger Griff der kollektiven Qual,512,13775
275,Gewand der dunkelsten Stunde,128,13778
276,Teufelsbombenschützenschulterschützer,8,13782
277,Immerflamme,0,13810
278,Verziertes Medaillon der Finsterflamme,4,13783
280,Unendlicher Zyklus des Chaos,64,13780
282,Mantelung von Abendrot und Morgenrot,8,13697
283,Taillenschutz der rasenden Übertragung,64,13833
284,Beinplatten der Endgültigkeit,128,13834
285,Beinplatten des unstillbaren Hungers,128,13835
286,Taillenschutz der Monstrosität,64,13832
287,Taillenschutz des Ruhms,64,13836
288,Helm der Sündigen,2,13837
289,Kordel des sündhaften Schwelgens,64,13839
290,Bindungen des zornerfüllten Schwarms,512,13841
291,Talisman der Seelenaffinität,4,13844
