ID,Name_lang,Description_lang,TypeID,Subtype,Faction,IconTextureFileID,RewardsBgTextureFileID,PopupBgTextureFileID,ExpansionLevel,MapID,DifficultyID,MinGear,Group_ID,Order_index,Required_player_condition_ID,Random_ID,ScenarioID,FinalEncounterID,Count_tank,Count_healer,Count_damage,Min_count_tank,Min_count_healer,Min_count_damage,Max_premade_count_tank,Max_premade_count_healer,Max_premade_count_damage,Bonus_reputation_amount,MentorItemLevel,MentorCharLevel,MaxPremadeGroupSize,ContentTuningID,Flags[0],Flags[1]
1,Höhlen des Wehklagens,,1,1,-1,136364,0,340702,0,43,1,0,1,0,0,258,0,481,1,1,3,1,1,3,1,1,3,0,0,0,0,193,67,16
2,Scholomance,,1,1,-1,136355,0,340686,0,1007,1,0,1,0,0,258,0,684,1,1,3,1,1,3,1,1,3,0,0,0,0,212,323,16
4,Flammenschlund,,1,1,-1,136350,0,340682,0,389,1,0,1,0,0,258,0,697,1,1,3,1,1,3,1,1,3,0,0,0,0,207,67,16
6,Todesminen,,1,1,-1,136332,0,337488,0,36,1,0,1,0,0,258,0,93,1,1,3,1,1,3,1,1,3,0,0,0,0,202,67,16
8,Burg Schattenfang,,1,1,-1,136357,0,340687,0,33,1,0,1,0,0,258,0,100,1,1,3,1,1,3,1,1,3,0,0,0,0,213,67,16
10,Tiefschwarze Grotte,,1,1,-1,136325,0,340655,0,48,1,0,1,0,0,258,0,444,1,1,3,1,1,3,1,1,3,0,0,0,0,200,67,16
12,Verlies von Sturmwind,,1,1,-1,136358,0,340688,0,34,1,0,1,0,0,258,0,464,1,1,3,1,1,3,1,1,3,0,0,0,0,215,67,16
14,Gnomeregan,,1,1,-1,136336,0,340665,0,90,1,0,1,0,0,258,0,422,1,1,3,1,1,3,1,1,3,0,0,0,0,204,67,16
16,Kral der Klingenhauer,,1,1,-1,136353,0,340684,0,47,1,0,1,0,0,258,0,901,1,1,3,1,1,3,1,1,3,0,0,0,0,208,67,16
20,Hügel der Klingenhauer,,1,1,-1,136352,0,340683,0,129,1,0,1,0,0,258,0,1141,1,1,3,1,1,3,1,1,3,0,0,0,0,209,323,16
22,Uldaman,,1,1,-1,136363,0,340697,0,70,1,0,1,0,0,258,0,473,1,1,3,1,1,3,1,1,3,0,0,0,0,217,323,16
24,Zul'Farrak,,1,1,-1,136368,0,340704,0,209,1,0,1,0,0,258,0,489,1,1,3,1,1,3,1,1,3,0,0,0,0,218,323,16
26,Maraudon - Faulsporenhöhle,,1,1,-1,136345,0,340677,0,349,1,0,1,0,0,258,0,424,1,1,3,1,1,3,1,1,3,0,0,0,0,206,67,16
28,Der Versunkene Tempel,,1,1,-1,136360,0,340690,0,109,1,0,1,0,0,258,0,463,1,1,3,1,1,3,1,1,3,0,0,0,0,216,323,16
