ID,Body_lang
83,this is a test
84,"Danke für Euren Besuch, $n. Es macht mich glücklich zu wissen, dass man uns nicht vergessen hat."
85,"Danke für Euren Besuch, $n. Es macht mich glücklich zu wissen, dass man uns nicht vergessen hat."
86,"Dieses Kleinod wird Euch zwar keine Antworten geben, aber vielleicht findet Ihr ja Gefallen daran."
87,"Hallöchen. Ich bin Gubber Blump.

Ich hoffe, es geht Euch wirklich gut. Ich hoffe, dass Ihr auch immer noch angelt. Ich liebe das Angeln. Die Blump-Familie ist berühmt fürs Angeln. Hier ist ein Schmuckstück, damit Ihr ein wenig besser angeln könnt. Ich liebe es, die Dinger beim Angeln zu benutzen. Viel Glück und abermals vielen Dank, dass Ihr mir geholfen habt, diese Barsche zu fangen.

Angelt weiter!

Gubber Blump"
88,"Danke für Euren Besuch, $n. Es macht mich glücklich zu wissen, dass man uns nicht vergessen hat."
89,"Danke für Euren Besuch, $n. Es macht mich glücklich zu wissen, dass man uns nicht vergessen hat."
90,"Danke für Euren Besuch, $n. Es macht mich glücklich zu wissen, dass man uns nicht vergessen hat."
91,"Dieses Kleinod wird Euch zwar keine Antworten geben, aber vielleicht findet Ihr ja Gefallen daran."
92,"Danke für Euren Besuch, $n. Es macht mich glücklich zu wissen, dass man uns nicht vergessen hat."
93,"Seid gegrüßt, $n!$B$BIch bin sämtliche Texte durchgegangen, die Ihr mir gebracht habt und habe diesem Brief einige der von mir übersetzten Artikel beigefügt. Ich habe nur Sachen ausgewählt, die Euch eventuell von Nutzen sein könnten. Es war nicht leicht, an einen Briefkasten heranzukommen ohne gesehen zu werden, aber das monatelange Verstecken in der Wüste scheint sich auszuzahlen. Für die meisten bin ich nichts weiter als ein Schatten!$B$BIch hoffe, ich konnte Euch weiterhelfen.$B$B- Ortell"
94,"Ich grüße Euch, $n!$B$BLangsam werde ich richtig gut darin, in die Burg Cenarius zu schleichen, um ihren Briefkasten zu benutzen. Anbei findet Ihr wieder einige Gegenstände, die sich vielleicht als nützlich erweisen könnten. Ich hoffe, Ihr könnt etwas davon gebrauchen!$B$B- Ortell"
95,"Danke für Euren Besuch, $n. Es macht mich glücklich zu wissen, dass man uns nicht vergessen hat."
96,"Danke für Euren Besuch, $n. Es macht mich glücklich zu wissen, dass man uns nicht vergessen hat."
97,"Danke für Euren Besuch, $n. Es macht mich glücklich zu wissen, dass man uns nicht vergessen hat."
98,"Es dauerte lange, den Text des Oberhäuptlings zu übersetzen. Ich bin bestürzt ob dessen, was ich fand. Der Oberhäuptling der Winterfelle war in seinen letzten Tagen in einem extremen Zustand der Paranoia und süchtig nach einer Substanz, die er 'Feuerwasser' nannte. Er glaubte, dass alle Kreaturen seine Feinde wären. Nun, lest es am besten selbst - ich habe eine Übersetzung seiner Worte an diesen Brief angefügt. Wenn Ihr je in Not seid, besucht mich erneut."
99,"Vielen Dank für die Erneuerung Eurer Mitgliedschaft bei der Mechanik-Ingenieurskunst-Gildenvereinigung! Wir freuen uns, Euch als aktives Mitglied zu haben. Nehmt bitte dieses Geschenk als Zeichen unserer Wertschätzung für die wundervollen Beiträge an, die Ihr auch weiterhin für die Welt der Gnomeningenieurskunst leisten werdet."
100,"Vielen Dank für die Erneuerung Eurer Mitgliedschaft bei der Mechanik-Ingenieurskunst-Gildenvereinigung! Wir freuen uns, Euch als aktives Mitglied zu haben. Nehmt bitte dieses Geschenk als Zeichen unserer Wertschätzung für die wundervollen Beiträge an, die Ihr auch weiterhin für die Welt der Gnomeningenieurskunst leisten werdet."
101,"Seid gegrüßt, mein Freund! Wir profitieren immer noch von der Unterstützung, die Ihr uns vor ein paar Tagen in den Pestländern habt zukommen lassen, und wir versuchen täglich, Eurem Beispiel zu folgen.

Schaut doch in unserem Lager vorbei, wenn Ihr das nächste Mal durch die Westlichen Pestländer reist. Erfahrene Recken wie Ihr sind uns in einer Kesselschlacht immer willkommen!

In ewiger Dunkelheit:
Hochexekutor Derrington"
102,"Ho, ho, hallo, $n! Ich hoffe, dass Ihr ein phantastisches Winterhauchfest habt!$B$BIhr wart so freundlich, mir mit meinem Schleckermaul zu helfen, daher wollte ich Euch etwas zusätzlich schicken. Es ist ein Probierpaket mit köstlichen Leckereien von Kokelwälder. Wenn Ihr noch keine erhalten habt, dann solltet Ihr unbedingt dafür sorgen, dass Ihr welche bekommt, bevor die Feiertage vorüber sind!$B$BFrohe Feiertage...$B$BAltvater Winter"
103,"Vielen Dank für die Erneuerung Eurer Mitgliedschaft bei der Goblin-Experimental-Entwicklungs-Kooperation! Wir freuen uns, Euch als aktives Mitglied zu haben. Nehmt bitte dieses Geschenk als Zeichen unserer Wertschätzung für die wundervollen Beiträge an, die Ihr auch weiterhin für die Welt der Gobliningenieurskunst leisten werdet."
104,"Vielen Dank für die Erneuerung Eurer Mitgliedschaft bei der Goblin-Experimental-Entwicklungs-Kooperation! Wir freuen uns, Euch als aktives Mitglied zu haben. Nehmt bitte dieses Geschenk als Zeichen unserer Wertschätzung für die wundervollen Beiträge an, die Ihr auch weiterhin für die Welt der Gobliningenieurskunst leisten werdet."
105,<UNUSED>
106,"Diese Kaninchen kommen wieder und wieder! NEIN! Oh nein, Ihr müsst nicht wegen mir zurückkommen."
107,"Seid gegrüßt, mein Freund! Wir profitieren immer noch von der Unterstützung, die Ihr uns vor ein paar Tagen in den Ruinen Lordaerons habt zukommen lassen, und wir versuchen täglich Eurem Beispiel zu folgen.

Schaut doch in unserem Lager vorbei, wenn Ihr das nächste Mal durch die Westlichen Pestländer reist. Erfahrene Recken wie Ihr sind uns in einer Kesselschlacht immer willkommen!

Für Sturmwind!
Kommandant Ashlam Ehrenschlag"
