ID,Description_lang,OrderIndex,ProfTraitTreeID
1,Stellt eine urzeitliche geschmolzene Plattenrüstung her.,0,105
2,"Verbessert Eure Genialität und Euren Einfallsreichtum, während Ihr Plattenrüstungen herstellt.",1,105
3,"Stellt einen Meisterhammer her, was Euch erlaubt, Eure eigene Plattenrüstung zu reparieren.",2,105
5,Meistert die Herstellung von Stoffballen und Poliertüchern.,1,161
6,Meistert die Herstellung von Verträgen und Schriftstücken.,2,176
7,Das Verbrauchen eines Tranks gewährt kurzzeitig Bewegungsgeschwindigkeit oder Heilung.,1,58
8,"Stellt Köder her, um Kreaturen anzulocken, die beim Häuten seltene Materialien gewähren.",0,145
9,Meistert die Herstellung von Fauna- und Vantusrunen.,2,148
10,Passt die von Euch hergestellten Waffen und Werkzeuge mit optionalen und Fertigungsreagenzien an.,2,102
11,Passt die von Euch hergestellten Lederrüstungen mit optionalen und Fertigungsreagenzien an.,2,126
12,Passt die von Euch hergestellten Kettenrüstungen mit optionalen und Fertigungsreagenzien an.,2,124
13,Passt Ringe und Halsketten mit optionalen Reagenzien an.,2,131
14,"Ihr könnt beim Sondieren prismatisches Erz entdecken, welches enorme Mengen Edelsteine enthält.",0,128
15,Verbessert Euren Einfallsreichtum und Eure Effizienz beim Herstellen.,2,207
16,"Findet magische Samen, die in Erde gepflanzt werden können, um Kräuter wachsen zu lassen.",1,235
17,"Erhaltet einen Schadensbonus gegen Tiere und Drachkin, solange Ihr Euch draußen aufhaltet.",0,144
18,"Verbessert Eure Genialität und Euren Einfallsreichtum, während Ihr Stoffrüstungen herstellt.",1,164
19,"Verbessert Eure Genialität und Euren Einfallsreichtum, während Ihr Verzauberungen herstellt.",2,240
20,"Verbessert Eure Genialität und Euren Einfallsreichtum, während Ihr Lederrüstungen herstellt.",1,126
21,"Verbessert Eure Genialität und Euren Einfallsreichtum, während Ihr Kettenrüstungen herstellt.",1,124
22,"Verbessert Eure Genialität, Euren Einfallsreichtum und Eure Herstellungsgeschwindigkeit, während Ihr Juwelenschliffdesigns herstellt.",0,130
23,Verbessert die Wirksamkeit von Genialität und Einfallsreichtum für alle Juwelenschliffdesigns.,1,130
24,Verbessert Eure Handwerksfertigkeit für alle Juwelenschliffdesigns.,0,130
25,"Entdeckt Baupläne für optionale Reagenzien, um Eure Ausrüstung anzupassen.",1,205
26,"Stellt einen Meisterhammer her, mit dem Ihr Eure eigene Waffen reparieren könnt.",3,102
27,Erlernt durch Experimente toxische Trank- und Phiolenrezepte.,3,59
28,"Sammelt Schrottteile, um diese nach Schätzen zu durchsuchen.",1,207
29,Passt Stoffrüstungen mit Fertigungsreagenzien an.,2,164
30,"Sammelt von Kreaturen, die Ihr häutet, Fleisch zum Kochen.",2,144
31,Nutzt beim Herstellen Verfallmagie.,3,134
32,"Nutzt elementerfüllte Reagenzien, um Eure Edelsteinschliffe zu verstärken.",1,129
33,"Verbessert Eure Fähigkeiten im Sammeln von Dunkelmondkarten, im Entziehen ihrer Elemente und im Herstellen neuer Karten.",0,176
34,Verbessert Eure Handwerksfertigkeit für alle Alchemierezepte.,0,59
35,Verbessert Eure Handwerksfertigkeit für alle Schmiederezepte.,0,169
36,Verbessert Eure Handwerksfertigkeit für alle Verzauberkunstformeln.,0,245
37,Verbessert Eure Handwerksfertigkeit für alle Ingenieurspläne.,0,207
38,Verbessert Eure Handwerksfertigkeit für alle Inschriftenkundetechniken.,0,147
39,Verbessert Eure Handwerksfertigkeit für alle Lederverarbeitungsmuster.,0,135
40,Verbessert Eure Handwerksfertigkeit für alle Schneidereimuster.,0,160
41,Verbessert Eure Herstellungsgeschwindigkeit für alle Schneidereimuster.,3,160
42,"Verbessert Eure Sammelfertigkeit, während Ihr Kräuter sammelt.",0,236
43,"Verbessert Eure Fertigkeit, während Ihr Leder, Schuppen und Bälge sammelt.",0,143
44,"Verbessert Eure Fertigkeit, während Ihr Erz abbaut.",0,212
45,Verbessert Euch in der Herstellung hochwertiger Legierungen und optionaler Reagenzien.,1,103
46,Verbessert Euch in der Kunst der Transmutation von Dingen in andere Dinge.,2,59
47,Verbessert Euch in der Erschaffung grundlegender Reagenzien in großen Mengen.,2,128
48,Stellt Bomben in großen Mengen und mit weniger Reagenzien her.,1,204
49,"Verbessert Eure Handwerksfertigkeit, während ihr PvP-Ausrüstung herstellt.",2,134
50,"Verbessert Eure Handwerksfertigkeit, während ihr Verzauberungsformeln herstellt.",0,240
51,Verbessert Eure Fähigkeiten in der Herstellung von verbrauchbaren Statuen für kleine Kampfboni.,3,131
52,Verbessert Eure Erfolgswahrscheinlichkeit bei Phiolenexperimenten.,0,84
53,Verbessert Eure Erfolgswahrscheinlichkeit bei Trankexperimenten.,0,58
54,Erhöht Eure Herstellungsgeschwindigkeit für alle Schmiederezepte.,2,169
55,"Erhöht die Menge der Kräuter, die Ihr beim Sammeln findet.",2,236
56,"Erhöht die Menge der Erze, die Ihr beim Abbauen findet.",2,212
57,"Erhöht die Effektdauer von Phiolen, die Ihr benutzt.",1,84
58,Erhöht die Wirksamkeit von Finesse beim Sammeln von Kräutern.,3,236
59,Erhöht die Wirksamkeit von Genialität und Einfallsreichtum für alle Formeln.,3,245
60,Erhöht die Wirksamkeit von Genialität und Einfallsreichtum für alle Muster.,3,135
61,Erhöht die Wirksamkeit von Genialität und Einfallsreichtum für alle Rezepte.,1,160
62,Erhöht die Wirksamkeit von Genialität und Einfallsreichtum für alle Rezepte.,1,169
63,Erhöht die Wirksamkeit von Genialität und Einfallsreichtum für alle Techniken.,3,147
64,"Erhöht Eure Gewandtheit, Finesse und Wahrnehmung beim Sammeln von Elementarvorkommen.",3,213
65,"Erhöht Eure Gewandtheit, Finesse und Wahrnehmung beim Sammeln von elementargeladenen Kräutern.",3,234
66,"Erhöht Eure Gewandtheit, Finesse und Wahrnehmung beim Sammeln von Kräutern.",2,235
67,"Erhöht Eure Gewandtheit, Finesse und Wahrnehmung beim Abbau von Erzen.",2,211
68,"Erhöht Eure Gewandtheit, Finesse und Wahrnehmung beim Kürschnern.",2,143
69,"Erhöht Eure Gewandtheit, Finesse und Wahrnehmung beim Kürschnern.",2,145
70,Verbessert Eure Fähigkeiten im Entzaubern und erhaltet manchmal zusätzliche Reagenzien.,1,244
71,"Erhöht Eure Wahrnehmung, was Euch hilft, seltenere Materialien zu erhalten.",3,144
72,"Erfüllt Köder mit elementarer Macht, wodurch Ihr tobende Elemente sammeln könnt.",1,145
73,"Erfindet eine Vielzahl an Spielzeugen, um Euch und Euer Umfeld zu unterhalten.",1,206
74,"Erlernt, wie Ihr Endlosdiamanten mit Elementaressenz schleifen könnt.",2,129
75,Verbessert Euren Einfallsreichtum beim Herstellen von verzierten Taschen.,2,161
76,Wandelt ungewöhnliche Edelsteine in Formationen seltener Edelsteine um.,1,128
77,Stellt einen Wyrmlochgenerator für schnelle Teleportation her und wertet ihn auf.,0,206
78,"Stellt epische Armschienen mit Tüfteleiplätzen her, die von jedem benutzt werden können.",0,205
79,"Erlernt, wie Ihr Fertigungsreagenz herstellen könnt, um Euren Edelsteinschliff zu verbessern.",0,129
80,Erlernt Muster für Ausrüstung und optionale Reagenzien mit besonderen Effekten.,0,134
