Description_lang,ID,MapID
Flaggen erobert,42,489
Flaggen verteidigt,44,489
Türme erobert,61,30
Friedhöfe erobert,63,30
Türme verteidigt,64,30
Friedhöfe verteidigt,65,30
Sekundäre Ziele,82,30
Basen erobert,122,529
Basen verteidigt,123,529
Flaggen erobert,183,566
Wälle zerstört,215,571
Gebäude zerstört,216,571
Tore zerstört,231,607
Verwüster zerstört,232,607
Basen erobert,245,628
Basen verteidigt,246,628
Flaggen erobert,290,726
Flaggen verteidigt,291,726
Basen erobert,370,761
Basen verteidigt,371,761
Basen erobert,391,968
Basen verteidigt,392,968
Flaggen erobert,393,968
Kugel besessen,418,998
Siegpunkte,419,998
Flaggen erobert,422,1010
Flaggen verteidigt,423,1010
Loren kontrolliert,428,727
Loren erobert,457,1105
Loren verteidigt,458,1105
Minen erobert,459,1105
Minen verteidigt,460,1105
Punktestand,501,451
Basen erobert,679,1681
Basen verteidigt,680,1681
Basen erobert,688,2177
Basen verteidigt,690,2177
Azerit gesammelt,744,1803
Flaggen erobert,762,1740
Flaggen verteidigt,763,1740
Zutaten gesammelt,923,1691
Basen erobert,926,2107
Basen verteidigt,927,2107
Flaggen erobert,928,2106
Flaggen verteidigt,929,2106
Artefakte gesammelt,931,1191
Eroberte Basen,1001,2245
Verteidigte Basen,1002,2245
Türme erobert,1003,2197
Sekundäre Ziele,1004,2197
Friedhöfe verteidigt,1005,2197
Türme verteidigt,1006,2197
Friedhöfe erobert,1007,2197
Gewonnene Runden,1008,1505
Gewonnene Runden,1009,1672
Gewonnene Runden,1010,1134
Gewonnene Runden,1011,980
Gewonnene Runden,1012,572
Gewonnene Runden,1013,1911
Gewonnene Runden,1014,1504
Gewonnene Runden,1015,2509
Gewonnene Runden,1016,2511
Gewonnene Runden,1017,2547
Gewonnene Runden,1018,2563
Eroberte Flaggen,1020,2656
Kontrollierte Loren,1021,2656
Gewonnene Runden,1022,2759
