ID,SortName_lang,UiOrderIndex,Flags
1,Episch,0,0
21,Schlotternächte,0,0
22,Saisonbedingt,0,0
23,Cataclysm,0,0
24,Kräuterkunde,0,0
25,Schlachtfelder,0,0
41,Tag der Toten,0,0
61,Hexenmeister,0,0
81,Krieger,0,0
82,Schamane,0,0
101,Angeln,0,0
121,Schmiedekunst,0,0
141,Paladin,0,0
161,Magier,0,0
162,Schurke,0,0
181,Alchemie,0,0
182,Lederverarbeitung,0,0
201,Ingenieurskunst,0,0
221,Schatzkarte,0,0
241,Turnier,3,0
261,Jäger,0,0
262,Priester,0,0
263,Druide,0,0
264,Schneiderei,0,0
284,Spezial,0,0
304,Kochkunst,0,0
324,Erste Hilfe,0,0
344,Legendär,0,1
364,Dunkelmond-Jahrmarkt,0,0
365,Krieg von Ahn'Qiraj,0,0
366,Mondfest,0,0
367,Ruf,0,0
368,Invasion der Geißel,0,0
369,Sonnenwendfest,0,0
370,Braufest,0,0
371,Inschriftenkunde,0,0
372,Todesritter,0,0
373,Juwelierskunst,0,0
374,Nobelgarten,0,0
375,Pilgerfreuden,0,0
376,Liebe liegt in der Luft,0,0
377,Archäologie,0,0
378,Kinderwoche,0,0
379,Einmarsch in die Feuerlande,0,0
380,Die Zandalari,0,0
381,Elementare Bande,0,0
391,Pandarische Braumeister,0,0
392,Szenario,0,0
394,Kampfhaustiere,2,0
395,Mönch,0,0
396,Landung,0,0
397,Pandarenkampagne,0,0
398,Reiten,0,0
399,Kampfgilde,0,0
400,Die Feuerprobe,0,0
401,Garnisonskampagne,0,0
402,Angriff auf das Dunkle Portal,0,0
403,Unterstützung der Garnison,0,0
404,Holzfällen,0,0
405,Taschendiebstahl,0,0
406,Artefakt,0,0
407,Dämonenjäger,0,0
408,Bergbau,0,0
409,Wochenendereignis,0,0
410,Verzauberkunst,0,0
411,Kürschnerei,0,0
412,Weltquest,0,0
413,Todesritterkampagne,0,0
416,Dämonenjägerkampagne,0,0
417,Druidenkampagne,0,0
418,Jägerkampagne,0,0
419,Mönchskampagne,0,0
420,Magierkampagne,0,0
421,Priesterkampagne,0,0
422,Paladinkampagne,0,0
423,Schamanenkampagne,0,0
424,Schurkenkampagne,0,0
425,Hexenmeisterkampagne,0,0
426,Kriegerkampagne,0,0
427,Ordenshalle,0,0
428,Kampagne der Legionsrichter,0,0
429,Die Jagd nach Illidan Sturmgrimm,0,0
430,Piratentag,0,0
431,Expedition nach Argus,0,0
432,Kriegsfronten,0,0
433,Mondkinfest,0,0
434,Der Weg des Königs,0,0
435,Die Tode von Chromie,0,0
436,Raketenhühnchen,0,0
437,Lichtgeschmiedete Draenei,0,0
438,Hochbergtauren,0,0
439,Leerenelfen,0,0
440,Nachtgeborene,0,0
441,Dungeon,0,0
442,Schlachtzug,0,0
444,Verbündete Völker,0,0
445,Die Ziele des Kriegshäuptlings,0,0
446,Abenteuerreise,0,0
447,Kriegskampagne der Allianz,0,0
448,Kriegskampagne der Horde,0,0
449,Dunkeleisenzwerge,0,0
450,Mag'har,0,0
451,Der Schattenjäger,0,0
453,Inselexpeditionen,0,0
555,Welt-PvP,0,0
556,Der Stolz von Kul Tiras,0,0
557,Gewertetes PvP,0,0
559,Zandalaritroll,0,0
560,Tradition,0,0
561,Questfall,0,0
562,Tyrandes Rache,0,0
563,Saurfangs Schicksal,0,0
564,T-Shirt-Tag,0,0
565,Tiegel der Stürme,0,0
566,Kul Tiraner,0,0
567,Übergriff,0,0
569,Herz von Azeroth,0,0
571,Berufe,0,0
573,Anhänger in Nazjatar,0,0
574,Sündensturz,0,0
575,Korraks Rache,0,0
576,Paktsanktum,0,0
579,Werbt einen Freund,0,0
580,Visionen von N'Zoth,0,0
582,Vulpera,0,0
583,Mechagnom,0,0
584,Kampagne gegen das Schwarze Imperium,0,0
586,Gluthof,0,0
587,Durch den zerrissenen Himmel,0,0
588,Die Flut des Todes,0,0
589,Kyrianerberufungen,0,0
590,Nachtfaeberufungen,0,0
591,Nekrolordberufungen,0,0
592,Venthyrberufungen,0,0
593,Monstrositätenflickerei,0,0
594,Zeitwanderungskampagne,0,0
595,Pfad des Aufstiegs,0,0
596,Legendäres Handwerk,0,0
600,9.1-Kampagne,0,0
601,Chiffren der Ersten,0,0
602,Kampagne in Zereth Mortis,0,0
603,Der Archivarskodex,0,0
604,Paktangriffe,0,0
606,Protoformsynthese,0,0
607,Kap. 6: Symbolsuche,0,0
608,Entfesselter Orkan,0,0
609,Drachenschuppenexpedition,0,0
610,Primalistenstürme,0,0
