ID,Name_lang,Description_lang,CovenantID,Level,Icon,Field_10_2_6_53840_005,UiOrder,SpellID
1074,Tödlicher Dolch,"|cFF00ccffDragonflight-Vorlage|r|n|cFF1eff00Plunderstorm-Vorlage|r|n|nSchaltet die Vorlage für den tödlichen Dolch frei. Besucht Da'kash Grimjoch, um Euer Plunderstorm-Aussehen zu ändern.|n|n""Ihr gehört jetzt zu Fasshaxes Besatzung, Deckhand. Hier ist Euer Dolch. Auf zum fröhlichen Plündern!""",23,1,2175564,0,0,0
1075,Handschuhe der Deckhand,"|cFF00ccffDragonflight-Vorlage|r|n|nSchaltet die Vorlage für die Handschuhe der Deckhand frei.|n|n""Lederhandschuhe, mit denen Ihr Beute besser packen könnt.""",23,2,1063260,0,0,439457
1076,Trittsichere Stiefel,"|cFF00ccffDragonflight-Vorlage|r|n|nSchaltet die Vorlage für die trittsicheren Stiefel frei.|n|n""Hilft Euch, sicheren Boden auf Deck und an Land zu finden.""",23,3,590806,0,0,439448
1077,Gesteppte Bundhosen,"|cFF00ccffDragonflight-Vorlage|r|n|nSchaltet die Vorlage für die gesteppten Bundhosen frei.|n|n""Eine neue Hose, um Eure Landung abzufedern.""",23,4,5489011,0,0,439451
1078,Verkalktes Claymore,"|cFF00ccffDragonflight-Vorlage|r|n|cFF1eff00Plunderstorm-Vorlage|r|n|nSchaltet die Vorlage für das verkalkte Claymore frei. Besucht Da'kash Grimjoch, um Euer Plunderstorm-Aussehen zu ändern.|n|n""Ein Schwert ist wie ein Dolch, nur länger.""",23,5,2182692,0,0,439390
1231,Gesponnenes Baumwollhemd,"|cFF00ccffDragonflight-Vorlage|r|n|cFF1eff00Plunderstorm-Vorlage|r|n|nSchaltet die Vorlage für das gesponnene Baumwollhemd frei.|n|nSchaltet außerdem die Kluft der dreckigen Deckhand in Plunderstorm frei. Besucht Da'kash Grimjoch, um Euer Aussehen zu ändern.",23,6,4279080,0,0,439453
1232,Schleicherumhang,"|cFF00ccffDragonflight-Vorlage|r|n|nSchaltet die Vorlage für den Schleicherumhang frei.|n|n""Manche Plünderer bevorzugen die Schatten.""",23,7,2124014,0,0,439455
1233,Kupferkanone,"|cFF00ccffDragonflight-Vorlage|r|n|cFF1eff00Plunderstorm-Vorlage|r|n|nSchaltet die Vorlage für die Kupferkanone frei. Besucht Da'kash Grimjoch, um Euer Plunderstorm-Aussehen zu ändern.|n|n""Plündern ist leichter mit einer Kanone zur Unterstützung.""",23,8,304333,0,0,439393
1234,Warme Wollkappe,"|cFF00ccffDragonflight-Vorlage|r|n|nSchaltet die Vorlage für die warme Wollkappe frei.|n|n""Auch dem sonnengebräuntesten Piraten wird manchmal kalt.""",23,9,1676426,0,0,439445
1235,Silberner Gezeitenhengst,"|cFF00ccffDragonflight-Reittier|r|n|nSchaltet den silbernen Gezeitenhengst als Unterwasserreittier frei.|n|n""Riecht nach Shrimps.""",23,10,2741477,0,0,437516
1236,Blubbi,"|cFF00ccffDragonflight-Haustier|r|n|cFF1eff00Plunderstorm-Haustier|r|n|nSchaltet Blubbi frei. In Plunderstorm kann Da'kash Grimjoch Euer Haustier für Euch beschwören.|n|n""Er ist Euch nach Hause gefolgt!""",23,11,2027915,0,0,439477
1237,Teilhandschuhe des Schwindlers,"|cFF00ccffDragonflight-Vorlage|r|n|nSchaltet die Vorlage für die Teilhandschuhe des Schwindlers frei.|n|n""Für alle mit flinken Fingern.""",23,12,1026773,0,0,439458
1238,Schwarzstahlsäbel,"|cFF00ccffDragonflight-Vorlage|r|n|cFF1eff00Plunderstorm-Vorlage|r|n|nSchaltet die Vorlage für den Schwarzstahlsäbel frei. Besucht Da'kash Grimjoch, um Euer Plunderstorm-Aussehen zu ändern.|n|n""Für mitreißende Säbelrasselaktionen geschmiedet.""",23,13,960919,0,0,439391
1239,Stille Ledertreter,"|cFF00ccffDragonflight-Vorlage|r|n|nSchaltet die Vorlage für die stillen Ledertreter frei.|n|n""Verstecken ist manchmal der beste Angriff.""",23,14,590806,0,0,439450
1240,Handgewebte Beinkleider,"|cFF00ccffDragonflight-Vorlage|r|n|nSchaltet die Vorlage für die handgewebten Beinkleider frei.|n|n""Ein Geschenk des Kapitäns. Wie für Euch maßgeschneidert!""",23,15,1981728,0,0,439452
1241,Meisterlicher Mehrfachschuss,"|cFF00ccffDragonflight-Vorlage|r|n|cFF1eff00Plunderstorm-Vorlage|r|n|nSchaltet die Vorlage für den meisterlichen Mehrfachschuss frei. Besucht Da'kash Grimjoch, um Euer Plunderstorm-Aussehen zu ändern.|n|n""Vorsicht: Vom Gesicht weg zielen.""",23,16,135628,0,0,439394
1242,Edles karminrotes Wams,"|cFF00ccffDragonflight-Vorlage|r|n|cFF1eff00Plunderstorm-Vorlage|r|n|nSchaltet die Vorlage für das edle karminrote Wams frei.|n|nSchaltet außerdem die Kluft der dynamischen Deckhand in Plunderstorm frei. Besucht Da'kash Grimjoch, um Euer Aussehen zu ändern.",23,17,5519312,0,0,439454
1243,Blutiger eiserner Spalter,"|cFF00ccffDragonflight-Vorlage|r|n|cFF1eff00Plunderstorm-Vorlage|r|n|nSchaltet die Vorlage für den blutigen eisernen Spalter frei. Besucht Da'kash Grimjoch, um Euer Plunderstorm-Aussehen zu ändern.|n|n""Eine verdammt blutige Axt für einen verdammt guten Piraten!""",23,18,1092278,0,0,439392
1244,Wetterfestes Tuch,"|cFF00ccffDragonflight-Vorlage|r|n|nSchaltet die Vorlage für das wetterfeste Tuch frei.|n|n""Da steht ""wetterfest"", nicht ""wasserdicht"". Springt nicht in den See.""",23,19,2124014,0,0,439456
1245,Königliche Meerfeder,"|cFF00ccffDragonflight-Reittier|r|n|nSchaltet das Flugreittier ""Königliche Meerfeder"" frei.|n|n""Mit der Menge an Beute, die Ihr habt, ist es fast kriminell, keinen Riesenpapagei zu besitzen.""",23,20,4395379,0,0,437517
1246,Hut des Sturmkapitäns,"|cFF00ccffDragonflight-Vorlage|r|n|nSchaltet die Vorlage für den Hut des Sturmkapitäns frei.|n|n""Ein fabelhafter Hut für den Kapitän im Sturm!""",23,21,1676418,0,0,439446
1247,Vergoldetes Siegel des Plünderfürsten,"|cFF00ccffDragonflight-Vorlage|r|n|cFF1eff00Plunderstorm-Vorlage|r|n|nSchaltet die Vorlage für das vergoldete Siegel des Plünderfürsten frei. Besucht Da'kash Grimjoch, um Euer Plunderstorm-Aussehen zu ändern.|n|n""Haltet den Stab des Plünderfürsten hoch und sammelt eine Mannschaft zur Plünderung!""",23,22,5581310,0,0,439382
1248,Manschetten des Plünderfürsten,"|cFF00ccffDragonflight-Vorlage|r|n|nSchaltet die Vorlage für die Manschetten des Plünderfürsten frei.|n|n""Goldene Manschetten für die edelsten Piraten.""",23,23,5559628,0,0,439375
1249,Erbeuteter Devisensack,|cFF00ccffDragonflight-Belohnung|r|n|nSchaltet 250 Händlerdevisen in der Truhe des Sammlers in Sturmwind oder Orgrimmar frei.,23,24,975746,0,0,437507
1250,Goldener Hüftgurt des Plünderfürsten,"|cFF00ccffDragonflight-Vorlage|r|n|nSchaltet die Vorlage für den goldenen Hüftgurt des Plünderfürsten frei.|n|n""Die große, goldene Schädelschnalle rundet das Gewand wirklich ab.""",23,25,5559626,0,0,439373
1251,Langfinger des Plünderfürsten,"|cFF00ccffDragonflight-Vorlage|r|n|nSchaltet die Vorlage für die Langfinger des Plünderfürsten frei.|n|n""Sie sind so seidig.""",23,26,5559630,0,0,439377
1252,Kopfabtrenner des Plünderfürsten,"|cFF00ccffDragonflight-Vorlage|r|n|cFF1eff00Plunderstorm-Vorlage|r|n|nSchaltet die Vorlage für den Kopfabtrenner des Plünderfürsten frei. Besucht Da'kash Grimjoch, um Euer Plunderstorm-Aussehen zu ändern.|n|n""Ein notwendiges Werkzeug im Arsenal des Piratenfürsten.""",23,27,5580802,0,0,439386
1253,Dreckkratzer des Plünderfürsten,"|cFF00ccffDragonflight-Vorlage|r|n|nSchaltet die Vorlage für den Dreckkratzer des Plünderfürsten frei.|n|n""Ihr wollt sie wirklich nicht dreckig machen.""",23,28,5559627,0,0,439372
1254,Schicke Beinkleider des Plünderfürsten,"|cFF00ccffDragonflight-Vorlage|r|n|nSchaltet die Vorlage für die schicken Beinkleider des Plünderfürsten frei.|n|n""Jetzt könnt Ihr sagen, dass Ihr die schicksten Hosen habt.""",23,29,5559632,0,0,439378
1255,Glamrok,"|cFF00ccffDragonflight-Haustier|r|n|cFF1eff00Plunderstorm-Haustier|r|n|nSchaltet Glamrok frei. In Plunderstorm kann Da'kash Grimjoch Euer Haustier für Euch beschwören.|n|n""Ein Mitplünderer im Geiste.""",23,30,5559624,0,0,439478
1256,Edles Rapier des Plünderfürsten,"|cFF00ccffDragonflight-Vorlage|r|n|cFF1eff00Plunderstorm-Vorlage|r|n|nSchaltet die Vorlage für das edle Rapier des Plünderfürsten frei. Besucht Da'kash Grimjoch, um Euer Plunderstorm-Aussehen zu ändern.|n|n""Zum Zustechen.""",23,31,5581649,0,0,439383
1257,Handkanone des Plünderfürsten,"|cFF00ccffDragonflight-Vorlage|r|n|cFF1eff00Plunderstorm-Vorlage|r|n|nSchaltet die Vorlage für die Handkanone des Plünderfürsten frei. Besucht Da'kash Grimjoch, um Euer Plunderstorm-Aussehen zu ändern.|n|n""Riecht nach Gold und Schießpulver.""",23,32,5581325,0,0,439388
1258,Erbeutete Devisenkiste,|cFF00ccffDragonflight-Belohnung|r|n|nSchaltet 500 Händlerdevisen in der Truhe des Sammlers in Sturmwind oder Orgrimmar frei.,23,33,4696085,0,0,437510
1259,Weste des Plünderfürsten,"|cFF00ccffDragonflight-Vorlage|r|n|nSchaltet die Vorlage für die Weste des Plünderfürsten frei.|n|n""Niemand sieht in einer Weste schlecht aus.""",23,34,5559633,0,0,439370
1260,Tuch des Plünderfürsten,"|cFF00ccffDragonflight-Vorlage|r|n|nSchaltet die Vorlage für das Tuch des Plünderfürsten frei.|n|n""Passend in Rot- und Goldtönen, natürlich.""",23,35,5559629,0,0,439379
1261,Silberner Entersäbel des Plünderfürsten,"|cFF00ccffDragonflight-Vorlage|r|n|cFF1eff00Plunderstorm-Vorlage|r|n|nSchaltet die Vorlage für den silbernen Entersäbel des Plünderfürsten frei. Besucht Da'kash Grimjoch, um Euer Plunderstorm-Aussehen zu ändern.|n|n""Glänzt genau richtig in der Sonne, wenn Ihr ihn hochreckt.""",23,36,5581315,0,0,439384
1262,Fransenschiftung des Plünderfürsten,"|cFF00ccffDragonflight-Vorlage|r|n|cFF1eff00Plunderstorm-Vorlage|r|n|nSchaltet die Vorlage für die Fransenschiftung des Plünderfürsten frei.|n|nSchaltet außerdem die Kluft der drahtigen Deckhand in Plunderstorm frei. Besucht Da'kash Grimjoch, um Euer Aussehen zu ändern.",23,37,5559634,0,0,439380
1263,Admiralsdreispitz des Plünderfürsten,"|cFF00ccffDragonflight-Vorlage|r|n|nSchaltet die Vorlage für den Admiralsdreispitz des Plünderfürsten frei.|n|n""Ein edler gefiederter Helm in genau Eurer Größe.""",23,38,5559631,0,0,439355
1264,Polly Roger,"|cFF00ccffDragonflight-Reittier|r|n|nSchaltet das Drachenreittier ""Polly Roger"" frei.|n|n""Der Kapitän hat Euch seinen ganz eigenen temperamentvollen Riesenpapagei überlassen. Viel Glück!""",23,39,5578050,0,0,437164
1265,Plünderfürst,"|cFF00ccffDragonflight-Titel|r|n|nSchaltet den Titel ""Plünderfürst"" frei.|n|n""Der Kapitän hat Euch den Titel ""Plünderfürst"" verliehen. Mögen alle, die sich Euch in den Weg stellen, in den salzigen Tiefen versinken!""",23,40,4203076,0,0,439552
