ID,Name_lang,MapID,QuestPOIBlobID,AreaPOIIconEnum
9,Eisenbands Ausgrabungsstätte,0,54097,177
10,Eisenbarts Grabmal,0,54124,177
12,Whelgars Ausgrabungsstätte,0,54126,177
13,Fossilienbank des Grünen Gürtels,0,54127,177
15,Thoradinswall,0,54129,177
18,Ausgrabungsstätte der Bleichborken,0,54132,177
19,Thandolübergang,0,54133,177
20,Ausgrabungsstätte von Dun Garok,0,54134,177
21,Fossilienfeld von Süderstade,0,54135,177
22,Ausgrabungsstätte des Nistgipfels,0,54136,177
23,Ausgrabungsstätte von Shadra'Alor,0,54137,177
24,Ausgrabungsstätte am Altar von Zul,0,54138,177
25,Ausgrabungsstätte des unteren Viertels von Jintha'Alor,0,54139,177
26,Ausgrabungsstätte des oberen Viertels von Jintha'Alor,0,54140,177
27,Ausgrabungsstätte von Agol'watha,0,54141,177
140,TEMPLATE TROLL,0,54828,177
142,TEMPLATE DWARF,0,54830,177
144,Hammerzehs Grabungsstätte,0,54832,177
146,Ausgrabungsstätte am Grab der Behüter,0,54834,177
150,Ausgrabungsstätte am Eingang nach Uldaman,0,54838,177
152,Ausgrabungsstätte des Versunkenen Tempels,0,54862,177
154,Fossilienbank am Nebelschilfstrand,0,54864,177
161,TEMPLATE NIGHT ELF ,0,55348,177
163,Ausgrabungsstätte am Zwielichtshain,0,55350,177
165,Fossilienbank von Vul'Gol,0,55352,177
167,Ausgrabungsstätte von Nazj'vel,1,55354,177
169,Ausgrabungsstätte am Zoramstrand,1,55356,177
171,Ruinen von Ordil'Aran,1,55398,177
173,Sternenstaubruinen,1,55400,177
175,Ausgrabungsstätte von Waldeslied,1,55402,177
177,Steinkrallengipfel,1,55404,177
179,Ruinen von Eldre'Thar,1,55406,177
181,Die Grabstätte,1,55408,177
183,Ausgrabungsstätte von Bael Modan,1,55410,177
185,Ruinen von Eldarath,1,55412,177
187,Ruinen von Arkkoran,1,55414,177
189,Fossilienbank am Uferpfad,0,55416,177
191,Ausgrabungsstätte am Strand der Zackenkämme,1,55418,177
193,Ausgrabungsstätte von Ethel Rethor,1,55420,177
195,Tal der Knochen,1,55422,177
197,Ausgrabungsstätte am Zirkel der Mannoroc,1,55424,177
199,Kodofriedhof,1,55426,177
201,Ausgrabungsstätte von Sargeron,1,55428,177
203,Fossilienbank der Roten Weiten,0,55434,177
205,Fossilienfeld am Schreckensfelsen,0,55436,177
207,Grimmsilts Ausgrabungsstätte,0,55438,177
209,Ausgrabungsstätte der Pyroxebenen,0,55440,177
211,Westliche Ruinen von Thaurissan,0,55442,177
213,Östliche Ruinen von Thaurissan,0,55444,177
215,Fossilienfeld am Schreckenspfad,0,55446,177
217,Ausgrabungsstätte von Zul'Mashar,0,55448,177
219,Ausgrabungsstätte bei der Jagdhütte Quel'Lithien,0,55450,177
221,Fossilienfeld der Infektnarbe,0,55452,177
223,Östliche Ausgrabungsstätte von Zul'Kunda,0,55454,177
225,Westliche Ausgrabungsstätte von Zul'Kunda,0,55456,177
227,Ausgrabungsstätte der Ruinen von Bal'lal,0,55458,177
