ID,Name_lang,BackgroundFile,Description_lang,OrderIndex,Field_4_4_0_53627_004,ClassMask,CategoryEnumID,SpellIconID,RoleMask,MasterySpellID[0],MasterySpellID[1]
181,Kampf,RogueCombat,"Ein geschickter Fechter, der seine Beweglichkeit und Verschlagenheit nutzt, um seinen Feinden gegenüberzutreten.",1,0,8,0,0,8,76806,0
182,Meucheln,RogueAssassination,"Ein Meister der tödlichen Gifte, der seine Feinde mit hinterhältigen Dolchstößen beseitigt.",0,0,8,0,0,8,76803,0
183,Täuschung,RogueSubtlety,"Ein tödlicher Schatten, der seiner ahnungslosen Beute auflauert und hinterrücks zuschlägt.",2,0,8,0,0,8,76808,0
261,Elementar,ShamanElementalCombat,"Ein Zauberwirker, der die zerstörerischen Kräfte der Natur und der Elemente kanalisiert.",0,0,64,0,0,8,77222,0
262,Wiederherstellung,ShamanRestoration,"Ein Heiler, der die Ahnengeister und die läuternde Kraft des Wassers herbeiruft, um die Wunden seiner Verbündeten zu heilen.",2,0,64,0,0,4,77226,0
263,Verstärkung,ShamanEnhancement,"Ein totemischer Krieger, der seine Feinde mit Waffen bekämpft, die mit Elementarmagie erfüllt wurden.",1,0,64,0,0,8,77223,0
398,Blut,DeathKnightBlood,"$GEin dunkler Wächter, der:Eine dunkle Wächterin, die; Lebensenergien manipuliert und korrumpiert, um sich selbst in der Schlacht zu stärken.",0,0,32,0,0,2,77513,0
399,Frost,DeathKnightFrost,"$GEin eisiger Verdammnisbote, der:Eine eisige Verdammnisbotin, die; Runenmacht kanalisiert und schnelle Angriffe mit Waffen beherrscht.",1,0,32,0,0,8,77514,0
400,Unheilig,DeathKnightUnholy,"$GEin Meister des Todes und des Verfalls, der Krankheiten verbreitet und untote Diener befehligt, die seinem:Eine Meisterin des Todes und des Verfalls, die Krankheiten verbreitet und untote Diener befehligt, die ihrem; Willen unterworfen sind.",2,0,32,0,0,8,77515,0
409,Hartnäckigkeit,HunterPetTenacity,,0,0,0,2,0,2,0,0
410,,,,0,0,0,0,0,0,0,0
411,,,,0,0,0,0,0,0,0,0
760,Disziplin,PriestDiscipline,"Nutzt Magie, um Verbündete vor Schaden zu schützen und ihre Wunden zu heilen.",0,0,16,0,0,4,77484,0
795,Schatten,PriestShadow,"Nutzt sinistre Schattenmagien, um Feinde durch Schaden über Zeit auszulöschen.",2,0,16,0,0,8,77486,0
807,Treffsicherheit,HunterMarksmanship,"Ein meisterlicher Bogen- und Scharfschütze, der seine Feinde am besten aus großer Entfernung zur Strecke bringt.",1,0,4,0,0,8,76659,0
809,Überleben,HunterSurvival,"Ein zäher Fährtenleser, der am liebsten Tiergifte, Sprengstoffe und Fallen als tödliche Waffen nutzt.",2,0,4,0,0,8,76658,0
811,Tierherrschaft,HunterBeastMastery,"Ein Herr der Wildnis, der viele verschiedene Tiere zähmen kann, damit sie ihm im Kampf beistehen.",0,0,4,0,0,8,76657,0
813,Heilig,PriestHoly,"Ein vielseitiger Heiler, der den von Gruppenmitgliedern oder Einzelnen erlittenen Schaden rückgängig machen und sogar noch nach seinem Tode heilen kann.",1,0,16,0,0,4,77485,0
865,Zerstörung,WarlockDestruction,"Ein Meister heftiger magischer Angriffe, der Feuer herniederruft, um seine Feinde zu verbrennen.",2,0,256,0,0,8,77220,0
867,Dämonologie,WarlockSummoning,"Ein Meister teuflischer Magien, der sich in einen Dämon verwandelt und Pakte mit dämonischen Mächten abschließt.",1,0,256,0,0,8,77219,0
871,Gebrechen,WarlockCurses,"Ein Meister der Schattenmagie, dessen Spezialität es sowohl ist, im Lauf der Zeit Schaden zuzufügen, als auch Furcht- und Schwächungszauber zu wirken.",0,0,256,0,0,8,77215,0
2053,,,,0,0,0,0,0,0,0,0
2054,,,,0,0,0,0,0,0,0,0
2058,,,,0,0,0,0,0,0,0,0
2096,,,,0,0,0,0,0,0,0,0
2208,,,,0,0,0,0,0,0,0,0
2213,,,,0,0,0,0,0,0,0,0
2214,,,,0,0,0,0,0,0,0,0
2219,,,,0,0,0,0,0,0,0,0
2223,,,,0,0,0,0,0,0,0,0
2239,,,,0,0,0,0,0,0,0,0
2740,,,,0,0,0,0,0,0,0,0
3279,,,,0,0,0,0,0,0,0,0
