ID,Name_lang,TrophyTypeID,GameObjectDisplayInfoID,PlayerConditionID
1,Apexismeister,3,20529,28227
3,Meisterhandwerker von Draenor,3,19152,27762
4,Verteidiger von Draenor,4,19153,28169
5,Haustierraufbold von Draenor,3,20514,28226
9,Mythischer Draenorschlachtzügler,3,19207,28220
10,Mythische Draenorschlachtzüge,4,19209,28220
11,Meisterhandwerker von Draenor,4,19573,27762
12,Verteidiger von Draenor,3,20403,28169
13,Haustierraufbold von Draenor,4,20528,28226
14,Apexismeister,4,20530,28227
15,Nicht weiter bemerkenswerte Statue,0,10782,24827
16,Der König in Grün,4,23436,30838
17,Der König in Grün,3,23502,30838
18,Kapitel IV: Die Inkarnation der Dunkelheit,3,26914,34184
19,Haustierraufbold von Draenor,0,20514,27108
20,Kapitel IV: Die Inkarnation der Dunkelheit,4,26914,34184
