Name_lang,ID,Parent,Ui_order
Estadísticas,1,-1,17
Jugador contra Jugador,21,1,10
Proezas de fuerza,81,-1,14
Personajes,92,-1,1
Jugador contra Jugador,95,-1,5
Misiones,96,-1,2
Exploración,97,-1,3
Muertes,122,1,3
Víctimas,128,1,2
Personaje,130,1,1
Social,131,1,7
Habilidades,132,1,5
Misiones,133,1,4
Viajes,134,1,6
Criaturas,135,128,1
Muertes con honor,136,128,2
Golpes de gracia,137,128,3
Fortuna,140,130,1
Consumibles,145,130,2
Arenas puntuadas,152,21,1
Campos de batalla,153,21,2
Mundo,154,21,3
Eventos del mundo,155,-1,9
Festival de Invierno,156,155,9
Halloween,158,155,7
Jardín Noble,159,155,3
Festival Lunar,160,155,1
Solsticio,161,155,5
Fiesta de la Cerveza,162,155,6
Los Niños,163,155,4
Arena,165,95,17
Mazmorras y bandas,168,-1,6
Profesiones,169,-1,7
Cocina,170,169,12
Pesca,171,169,13
Profesiones,172,15234,6
Profesiones,173,132,2
Habilidades secundarias,178,132,1
Amor en el aire,187,155,2
Reputación,201,-1,8
Reinos del Este,14777,97,1
Kalimdor,14778,97,2
Terrallende,14779,97,3
Rasganorte,14780,97,4
Valle de Alterac,14801,95,5
Cuenca de Arathi,14802,95,3
Ojo de la Tormenta,14803,95,4
G. Grito de Guerra,14804,95,2
The Burning Crusade,14805,168,2
Lich King: Mazmorra,14806,168,3
Mazmorras y bandas,14807,1,9
World of Warcraft,14808,168,1
World of Warcraft,14821,14807,1
The Burning Crusade,14822,14807,2
Wrath of the Lich King,14823,14807,3
Reinos del Este,14861,96,1
Terrallende,14862,96,3
Rasganorte,14863,96,4
World of Warcraft,14864,201,1
The Burning Crusade,14865,201,2
Wrath of the Lich King,14866,201,3
Conquista del Invierno,14901,95,8
Lich King: Banda,14922,168,4
Torneo Argenta,14941,15301,1
Generosidad,14981,155,8
Isla de la Conquista,15003,95,7
Cataclysm: Mazmorra,15067,168,5
Cataclysm: Banda,15068,168,6
Cataclysm,15069,97,5
Cataclysm,15070,96,5
Arqueología,15071,169,14
Cataclysm,15072,201,4
La Batalla por Gilneas,15073,95,9
Cumbres Gemelas,15074,95,10
Tol Barad,15075,15301,2
Hermandad,15076,-1,16
Misiones,15077,15076,2
Jugador contra Jugador,15078,15076,3
Mazmorras y bandas,15079,15076,4
Profesiones,15080,15076,5
Kalimdor,15081,96,2
World of Warcraft,15082,15079,1
Cataclysm: Mazmorra,15083,15079,5
The Burning Crusade,15084,15079,2
Lich King: Mazmorra,15085,15079,3
Lich King: Banda,15086,15079,4
Cataclysm: Banda,15087,15079,6
General,15088,15076,1
Reputación,15089,15076,6
Campos de batalla,15090,15078,1
Arena,15091,15078,2
Campo de batalla puntuado,15092,95,16
Proezas de fuerza,15093,15076,7
Cataclysm,15096,14807,4
Feria de la Luna Negra,15101,155,10
Pandaria: Mazmorra,15106,168,7
Pandaria: Banda,15107,168,8
Pandaria,15110,96,6
Pandaria,15113,97,6
Pandaria,15114,201,5
Duelos de mascotas,15117,-1,10
Recolección,15118,15117,1
Duelo,15119,15117,2
Nivel,15120,15117,3
Pandaria: Mazmorra,15153,15079,7
Pandaria: Banda,15154,15079,8
Minas Lonjaplata,15162,95,11
Templo de Kotmogu,15163,95,12
Mists of Pandaria,15164,14807,5
Logros antiguos,15176,1,13
Cañón del Céfiro,15218,95,14
Duelos de mascotas,15219,1,11
Draenor,15220,96,7
Terreno de Pruebas,15222,15301,4
Terreno de Pruebas,15227,1,12
Draenor: Mazmorra,15228,168,9
Draenor: Banda,15231,168,10
Draenor,15232,201,6
Warlords of Draenor,15233,14807,6
Logros antiguos,15234,-1,15
Draenor,15235,97,7
Draenor: Mazmorra,15243,15079,9
Draenor: Banda,15244,15079,10
Colecciones,15246,-1,11
Caja de juguetes,15247,15246,1
Monturas,15248,15246,2
Legion,15252,96,8
Legion: Mazmorra,15254,168,11
Legion: Banda,15255,168,12
Legion,15257,97,8
Legion,15258,201,7
Apariencias,15259,15246,3
Legion: Mazmorra,15262,15079,11
Legion: Banda,15263,15079,12
Legion,15264,14807,7
Honor,15266,95,1
Promociones,15268,81,8
Monturas,15269,81,1
Jugador contra Jugador,15270,81,5
Bandas,15271,81,4
Mazmorras,15272,81,3
Reputación,15273,81,6
Eventos,15274,81,7
Mazmorras,15277,15234,4
Bandas,15278,15234,5
Jugador contra Jugador,15279,15234,3
Monedas,15280,15234,7
Mundo,15283,95,18
Battle for Azeroth,15284,96,9
BFA: Mazmorra,15285,168,13
BFA: Banda,15286,168,14
Costa Hirviente,15292,95,13
Battle for Azeroth,15298,97,9
BFA: Mazmorra,15299,15079,13
BFA: Banda,15300,15079,14
Características,15301,-1,12
Gestas de Pandaria,15302,15301,3
Ciudadela de Draenor,15303,15301,5
Sede de la clase de Legion,15304,15301,6
Battle for Azeroth,15305,201,8
Expediciones insulares,15307,15301,7
Esfuerzo de guerra,15308,15301,8
Battle for Azeroth,15409,14807,8
Características,15411,15234,9
Ashran,15414,95,6
Eventos del mundo,15416,15234,8
Corazón de Azeroth,15417,15301,9
Shadowlands,15422,96,10
Visiones de N'Zoth,15426,15301,10
Mazmorra de Shadowlands,15428,168,15
Mazmorra de Shadowlands,15429,15079,15
Shadowlands,15430,14807,9
Shadowlands,15436,97,10
Shadowlands: Banda,15438,168,16
Shadowlands,15439,201,9
Torghast,15440,15301,11
Sagrarios de la curia,15441,15301,12
Shadowlands: Banda,15442,15079,16
Personaje,15446,15234,1
Misiones,15447,15234,2
Paseo en el tiempo,15454,155,11
Dragonflight,15455,96,11
Surcacielos,15462,15301,13
Islas Dragón,15465,97,11
Dragonflight,15466,201,10
Mazmorra de Dragonflight,15467,168,17
Banda de Dragonflight,15468,168,18
Dragonflight,15469,14807,10
Mazmorra de Dragonflight,15470,15079,17
Banda de Dragonflight,15471,15079,18
Cosméticos de draco de las Islas Dragón,15478,15246,4
Alquimia,15489,169,1
Herrería,15490,169,2
Encantamiento,15491,169,3
Ingeniería,15492,169,4
Inscripción,15493,169,5
Joyería,15494,169,6
Peletería,15495,169,7
Sastrería,15496,169,8
Minería,15497,169,10
Desuello,15498,169,11
Herboristería,15499,169,9
War Within,15506,96,12
The War Within,15520,14807,11
War Within,15521,97,12
Profundidades,15522,-1,4
The War Within,15523,15522,1
Mazmorra de The War Within,15524,168,19
Barranco de Cargahonda,15525,95,15
Banda de The War Within,15526,168,20
Mazmorra de The War Within,15528,15079,19
Banda de The War Within,15529,15079,20
War Within,15530,201,11
Profundidades,15531,81,2
Aniversario,15532,155,12
Profundidades,15533,1,8
The War Within,15534,15533,1
Remix: Pandaria,15536,15234,10
Dúos despiadados,15545,155,13
Regreso a las visiones de N'Zoth,15546,15301,14
Eventos del mundo,15549,1,14
Dúos despiadados,15550,15549,1
Paseo por la historia,15552,15301,15
Legion: Remix,15554,-1,13
