Name_lang,Description_lang,ID,DisplayIndex,UiCameraID,AltHandUICameraID,ForgeAttachmentOverride,Flags,ArtifactID
Forma de cristal,,1,1,72,0,-1,0,1
Aguja,,2,2,0,0,-1,0,1
Crematoria,,3,1,62,0,-1,0,2
Espada Magna del Honrado,,4,2,65,0,-1,0,2
Represalia ardiente,,5,3,63,0,-1,0,2
Esperanza Caída,,6,4,66,0,-1,0,2
Juicio Destructor,,7,5,64,0,-1,0,2
Hojas Gemelas del Impostor,,8,1,72,161,-1,0,3
Mano de los Illidari,,9,2,76,928,-1,0,3
Espada Oscura,,10,3,75,930,-1,0,3
Segadora Flamígera,,11,5,77,931,-1,0,3
Toque de Demonio,,12,4,73,929,-1,0,3
"G'Hanir, el Árbol Madre",,13,1,61,0,-1,0,13
Árbol Ancestral,,14,2,68,0,-1,0,13
Despertar Cristalino,,15,3,60,0,-1,0,13
Guardián de Muertobosque,,16,4,69,0,-1,0,13
Corona de la Celadora,,17,6,70,0,-1,1,13
Escama del Guardián de la Tierra,,20,1,183,71,-1,0,11
Colmillos del Devorador,,21,1,168,169,-1,0,17
Abrazo de Demonio,,22,3,172,173,-1,0,17
Hoja de las Sombras,,23,2,170,171,-1,0,17
Sanguinario,,24,4,174,175,-1,0,17
Cortahielo,,25,5,176,177,-1,0,17
Fauce del Maldito,,32,1,163,0,-1,0,15
Apocalipsis,,33,1,162,0,-1,0,16
Hojas del Príncipe Caído,,39,1,166,167,-1,0,12
Puño de Ra Den,,40,1,191,192,-1,0,40
"Thas'dorah, Legado de los Brisaveloz",,41,1,719,0,-1,0,55
Matarreyes,,42,1,391,392,-1,0,43
"Sharas'dal, Cetro de las Mareas",,43,1,195,958,-1,0,42
Martillo Maldito,,44,1,189,0,-1,0,41
"T'uure, Guía de los Naaru",,45,1,194,0,-1,0,45
Daga del Imperio Negro,,46,1,570,952,-1,0,47
Mano de Plata,,47,1,198,199,-1,0,48
Garras de Ursoc,,48,1,188,638,-1,0,57
Cetro de Sargeras,,49,1,357,0,-1,0,38
"Sheilun, Bastón de la Niebla",,50,1,196,0,-1,0,51
Felo'melorn,,51,1,190,935,-1,0,54
Garra Feroz,,52,1,197,0,-1,0,34
Aluneth,,53,1,178,0,-1,0,4
Aguja Guardiana,,54,2,179,0,-1,0,4
Magna Desatada,,55,3,181,0,-1,0,4
Caída de Aegwynn,,56,4,180,0,-1,0,4
Magus Eterno,,57,5,182,0,-1,0,4
Mirada del Guardia de la Muerte,,58,4,184,965,-1,0,11
Último Aliento del Rompemundos,,59,6,185,966,-1,1,11
Unión Intacta,,60,3,186,967,-1,0,11
Brazo del Rey Caído,,61,2,187,968,-1,0,11
Ébano Glacial,,64,1,344,0,-1,0,53
Foco del Guardián,,65,2,346,0,-1,0,53
Voluntad de los Archimagos,,66,4,351,0,-1,0,53
Recuerdo de Pirofrío,,67,6,353,0,-1,1,53
Sangre del Primero,,68,3,354,0,-1,0,53
Arrogancia del Titán Oscuro,,69,2,359,0,-1,0,38
Eco de Gul'dan,,70,3,360,0,-1,0,38
Sombra del Destructor,,71,4,362,0,-1,0,38
Terror de la Legión,,72,6,361,0,-1,1,38
Resguardo de la General Forestal,,73,4,933,0,-1,0,55
Renacimiento del Fénix,,74,3,722,0,-1,0,55
Vínculo de Hermanas,,75,2,720,0,-1,0,55
Guardacuervos,,76,6,721,0,-1,1,55
Mano Maldita,,77,2,858,863,-1,0,43
Muerte Diestra,,78,3,860,864,-1,0,43
Filo del Asesino de Magos,,79,4,859,865,-1,0,43
Rompehuesos,,80,6,861,866,-1,1,43
Guadaña de Elune,,81,1,631,0,-1,0,59
Abrazo de los Dioses Antiguos,,82,2,773,957,-1,0,47
Hoja Caída,,83,3,774,953,-1,0,47
Visión de Locura,,84,4,776,955,-1,0,47
Reflejo Retorcido,,85,5,775,954,-1,0,47
Zarpapétrea,,86,2,188,638,-1,0,57
Avatar de Ursol,,87,3,188,638,-1,0,57
Caído de la Pesadilla,,88,4,188,638,-1,0,57
Guardián del Claro,,89,6,188,638,-1,1,57
Hojas de Guerra Aldrachi,,90,1,753,759,-1,0,60
Colmillos de Crinceniza,,91,1,636,637,-1,0,58
Sangrefauce,,92,2,701,0,-1,0,15
Mandíbula de Huesos,,93,5,702,0,-1,0,15
Segadora de Almas,,94,3,704,0,-1,0,15
Verdugo,,95,4,703,0,-1,0,15
Legado de la Agonía de Escarcha,,96,2,662,663,-1,0,12
Recolectora de almas,,97,5,664,665,-1,0,12
Guardián de la Tumba,,98,4,700,699,-1,0,12
Furia de Sindragosa,,99,3,667,666,-1,0,12
Portadora Hambrienta,,100,4,658,0,-1,0,16
Heraldo de Pestilencia,,101,3,661,0,-1,0,16
Guerra Profana,,102,2,659,0,-1,0,16
Segadora de Huesos,,103,6,660,0,-1,1,16
Blasón Illidari,,104,2,901,902,-1,0,60
Terror Óseo,,105,4,903,904,-1,0,60
Mordedura del Señor del Terror,,106,3,905,906,-1,0,60
Celador de la Horda de Hierro,,107,6,907,908,-1,1,60
Emisario de Goldrinn,,108,2,831,0,-1,0,59
Llamada Lunar,,109,3,832,0,-1,0,59
Alcance del Guardián del Sol,,110,6,834,0,-1,1,59
Aflicción de la Pesadilla,,111,4,833,0,-1,0,59
Furia de la Naturaleza,,112,2,636,637,-1,0,58
Acechador Primigenio,,113,3,636,637,-1,0,58
Espectro de la Madre de la Manada,,114,5,636,637,-1,0,58
Encarnación de la Pesadilla,,115,4,636,637,-1,0,58
Furia Titánica,,116,1,754,0,-1,0,56
Visión de Águila,,117,2,789,0,-1,0,56
Cañón de Disparo de Jabalí,,118,4,791,0,-1,0,56
Trueno de Elekk,,119,3,790,0,-1,0,56
Mordedura de Serpiente,,120,5,792,0,-1,0,56
Renacimiento del Águila,,121,2,715,0,-1,0,34
Lanza de Alfa,,122,3,717,0,-1,0,34
Golpe de Serpiente,,123,4,716,0,-1,0,34
Entereza de Oso,,124,6,718,0,-1,1,34
Orgullo de los Caminantes del Sol,,125,2,838,937,-1,0,54
Renacimiento del Fénix,,126,3,840,940,-1,0,54
Filo de Lávico,,127,4,839,939,-1,0,54
Hoja del Manipulador del Tiempo,,128,5,841,941,-1,0,54
"Fu Zan, el Compañero del Errante",,129,1,710,0,-1,0,52
Carga del Rey Mono,,130,2,711,0,-1,0,52
Abrazo de Fuego de Dragón,,131,4,713,0,-1,0,52
Corazón del Buey,,132,3,712,0,-1,0,52
Portadora de Niebla,,133,5,714,0,-1,0,52
