ID,Name_lang,Description_lang,IconFileDataID,PetTypeEnum,Cooldown,BattlePetVisualID,Flags
7,Mano de Alexander,Se abalanza sobre el enemigo para infligir daño.,132109,2,0,0,0
70,Prueba de sanación de línea posterior,"Sana 50 p. a las mascotas de reserva, pero tiene un tiempo de reutilización de 2 rondas.",135915,0,2,0,0
71,Prueba de daño,,135807,6,0,0,0
72,Prueba multiefecto,,135817,0,0,0,0
73,Prueba multiturno,"Muerde al objetivo, lo que inflige [StandardDamage(1,1)] p. de daño inmediatamente, y luego [StandardDamage(2,1)] p. de daño en la siguiente ronda.

Dura [numTurns()] |4ronda:rondas;.",0,1,0,0,0
74,Prueba multiefecto y multiturno,,0,1,0,0,0
77,Trampa fuerte,Intenta atrapar una mascota con menos de un 35% de salud. La probabilidad de captura aumenta un 25% cada vez que fracasas.,646380,0,0,0,6
78,Aplicar prueba de daño en el tiempo cronometrada,,0,0,5,0,0
79,Prueba de daño de aura 10,,0,-1,0,0,0
80,Apply Aura Test,,237179,0,0,0,0
81,Aplicar prueba de bomba 75,,0,0,0,0,0
82,Aplicar daño en el tiempo hasta cancelar prueba,,0,6,0,0,0
83,Apply Pad Aura Test,,460858,2,0,0,0
84,PadAuraTest,,132325,-1,0,104,0
85,Aplicar prueba de aturdimiento,,135891,1,0,0,0
86,Prueba de aura de aturdimiento,asdfasdfasdf,135906,-1,0,103,0
87,Aplicar bloqueo de cambio,,460694,9,0,0,0
88,Aura de bloqueo de cambio,,132089,-1,0,0,0
97,Disparo de aturdimiento,,0,6,0,0,0
110,Mordedura,"|cffffffffProbabilidad de golpe:|r [StandardAccuracy(1,1)]

Muerde al enemigo, lo que inflige [StandardDamage(1,1)] p. de daño de [School()].",132127,7,0,0,0
111,Puñetazo,"|cffffffffProbabilidad de golpe:|r [StandardAccuracy(1,1)]

Golpea al enemigo e inflige [StandardDamage(1,1)] p. de daño de [School()].",132298,0,0,0,0
112,Picotear,"|cffffffffProbabilidad de golpe:|r [StandardAccuracy(1,1)]

Picotea al enemigo con un pico afilado, lo que inflige [StandardDamage(1,1)] p. de daño de [School()].",133707,2,0,0,0
113,Quemar,"|cffffffffProbabilidad de golpe:|r [StandardAccuracy(1,1)]

Arrasa al enemigo con fuego, lo que inflige [StandardDamage(1, 1)] p. de daño de [School()].",132839,6,0,0,0
114,Haz,"|cffffffffProbabilidad de golpe:|r [StandardAccuracy(1,1)]

Arrasa al enemigo con un rayo de poder Arcano que inflige [StandardDamage(1,1)] p. de daño de [petTypeName(abilityPetType())].",135189,5,0,0,0
115,Aliento,"|cffffffffProbabilidad de golpe:|r [StandardAccuracy(1,1)]

Abruma al enemigo con un aliento dracónico e inflige [StandardDamage(1, 1)] p. de daño de [School()].",135807,1,0,0,0
116,Chispazo,"|cffffffffProbabilidad de golpe:|r [StandardAccuracy(1,1)]

Lanza un rayo eléctrico al objetivo que inflige [StandardDamage(1,1)] p. de daño de [School()].",136099,9,0,0,0
117,Zarpa infectada,"|cffffffffProbabilidad de golpe:|r [StandardAccuracy(1,1)]

Despedaza al enemigo con zarpas infectadas, lo que inflige [StandardDamage(1, 1)] p. de daño de [School()].",237390,3,0,0,0
118,Chorro de agua,"|cffffffffProbabilidad de golpe:|r [StandardAccuracy(1,1)]

Arrasa al enemigo con un chorro de agua e inflige [StandardDamage(1,1)] p. de daño de [petTypeName(abilityPetType())].",463570,8,0,0,0
119,Arañar,"|cffffffffProbabilidad de golpe:|r [StandardAccuracy(1,1)]

Araña al enemigo y le inflige [StandardDamage(1,1)] p. de daño de [School()].",611425,4,0,0,0
120,Explosión aullante,"|cffffffffProbabilidad de golpe:|r [StandardAccuracy(1,1)]

Inflige [StandardDamage(1,1)] p. de daño de [School()] al enemigo.

Inflige [StandardDamage(1,4)] p. de daño extra si el objetivo está |cFF0070DDhelado|r.",135833,6,3,0,0
121,Espiral de la muerte,"|cffffffffProbabilidad de golpe:|r [StandardAccuracy(1,1)]

Inflige [StandardDamage(1,1)] p. de daño de No-muerto y sana al usuario un [points(1,3)]% del daño infligido.",136145,3,0,0,0
122,Barrido de cola,"|cffffffffProbabilidad de golpe:|r [StandardAccuracy(1,1)]

Inflige [StandardDamage(1,2)] p. de daño de [School()] o [StandardDamage(1,1)] p. de daño de [School()] si el usuario es más lento que el enemigo.",237407,1,0,0,0
123,Ola de sanación,"Restaura [StandardDamage(1,1)] p. de salud al usuario.",136042,8,3,0,2
124,Desenfreno,"|cffffffffProbabilidad de golpe:|r [StandardAccuracy(1,1)]

Se enfurece e inflige [StandardDamage(1,1)] p. de daño de [School()].

Desenfreno dura [numTurns()] |4ronda:rondas;.",132176,7,3,0,0
125,Prueba de aturdimiento 2.0,PRUEBA: Patty Mac Aturdido,460857,3,0,0,0
131,Prueba de aura de aturdimiento 2.0,,0,-1,0,3,0
132,Prueba de efecto programado personalizado,,132090,0,0,0,0
133,Aura - Escudo de daño 2.0,,0,-1,0,2,0
134,Prueba de Escudo de daño 2.0,,0,0,0,0,0
135,Trampa prístina,Intenta atrapar una mascota con menos de un 35% de salud. La probabilidad de captura aumenta un 30% cada vez que fracasas.,638662,0,0,0,6
149,Prueba de sanación 2.0,,538569,4,0,0,0
150,Prueba de turno programado personalizado,,236216,4,0,0,0
151,Colmillo venenoso,"Inflige [StandardDamage(1,1)] p. de daño de [School()] cada ronda.

|cFF1EFF00Envenenado.|r",136067,7,0,25,1
152,Colmillo venenoso,"|cffffffffProbabilidad de golpe:|r [StandardAccuracy(1,1)]

Inflige al instante [StandardDamage(1,1)] p. de daño de [School()], |cFF1EFF00envenena|r al objetivo y le inflige [StandardDamage(1,1,379)] p. de daño de [School(379)] extra por ronda durante [duration(1,2)] |4ronda:rondas;.",136067,7,0,0,0
153,Reducción de ataque,"Daño infligido reducido un [abs(abilityStateMod( STATE_Mod_DamageDealtPercent, 153 ))]%.",653219,-1,0,334,3
154,Reducción de velocidad,"Velocidad reducida un [abs(abilityStateMod(25,154))]%.",653221,-1,0,316,3
155,Sisear,"|cffffffffProbabilidad de golpe:|r [StandardAccuracy(1,1)]

Inflige [StandardDamage(1,1)] p. de daño de [School()] y reduce la velocidad del objetivo un [abs(abilityStateMod(25,154))]% durante [duration(1,2)] |4ronda:rondas;.",132211,7,3,0,0
156,Colmillo sañoso,"|cffffffffProbabilidad de golpe:|r [StandardAccuracy(1,1)]

Inflige [StandardDamage(1,1)] p. de daño de [School()]. El daño aumenta [FormatDamage (pointsincreaseperuse(1,1)*AttackBonus())] p. cada vez que golpea. Máximo [FormatDamage (pointsmax(1,1)*AttackBonus())] p. de daño de [School()].",236177,7,0,0,0
157,Habilidad de prueba de Jacob,"The target [cond(unitHasAura(220, ENEMY), ""does"", ""does not"")] have [abilityName(220)] on them.",132311,2,0,0,2
158,Golpe de contraataque,"|cffffffffProbabilidad de golpe:|r [StandardAccuracy(1,1)]

Inflige [StandardDamage(1,1)] p. de daño de [School()]. 

Inflige [StandardDamage(1,2)] p. de daño de [School()] extra si te han golpeado en esta ronda.",132269,0,2,0,0
159,Excavar,"|cffffffffProbabilidad de golpe:|r [StandardAccuracy(2,1)]

Te entierras en el suelo, por lo que te vuelves inatacable durante una ronda.

En la siguiente ronda, atacas e infliges [StandardDamage(2, 1)] p. de daño de [School()].",136025,7,4,0,0
160,Consumir,"|cffffffffProbabilidad de golpe:|r [StandardAccuracy(1,1)]

Inflige [StandardDamage(1,1)] p. de daño de [School()].

El usuario se sana un [points(1,3)]% del daño infligido.",136214,3,1,0,0
161,Adrenalina,"Velocidad aumentada un [abs(abilityStateMod(25,161))]%.",648208,-1,0,113,2
162,Subidón de adrenalina,"|cffffffffProbabilidad de golpe:|r [StandardAccuracy(1,1)]

Inflige [StandardDamage(1,1)] p. de daño de [School()] y aumenta tu velocidad un [abs(abilityStateMod(25,161))]% durante [duration(1,2)] |4ronda:rondas;.",132307,4,0,0,0
163,Estampida,"|cffffffffProbabilidad de golpe:|r [StandardAccuracy(1,1)]

Inicia una estampida que inflige [FormatDamage(SimpleDamage(1,1)+SimpleDamage(1,2)+SimpleDamage(1,3))] p. de daño de [School()] en la primera ronda, [FormatDamage(SimpleDamage(2,1)+SimpleDamage(2,2)+SimpleDamage(2,3))] p. de daño de [School()] en la segunda ronda y [FormatDamage(SimpleDamage(3,1)+SimpleDamage(3,2)+SimpleDamage(3,3))] p. de daño de [School()] en la tercera ronda.

Los oponentes golpeados por la estampida reciben un [abs(abilityStateMod( 24, 542 ))]% más de daño durante [duration(1,4)] |4ronda:rondas;.

Estampida dura [numTurns()] |4ronda:rondas;.",134060,4,0,0,0
164,Agacharse,"Tu daño recibido se ha reducido un [abs(abilityStateMod(24,164))]%.",132118,-1,0,27,2
165,Agacharse,"El usuario se agacha hasta estar cerca del suelo, lo que reduce todo el daño recibido un 50% durante [duration(1,2)] |4ronda:rondas;.",132118,4,4,0,2
166,Tromba de nueces,"Inflige [StandardDamage(1,1)] p. de daño de [School()] en cada ronda a la mascota activa.",134057,4,0,0,0
167,Tromba de nueces,"|cffffffffProbabilidad de golpe:|r [StandardAccuracy(1,1)]

Arroja nueces al enemigo, lo que inflige [FormatDamage(SimpleDamage(1,1)+SimpleDamage(1,2)+SimpleDamage(1,3))] p. de daño de [School()].

Las nueces continúan cayendo sobre la mascota activa del enemigo e infligen [StandardDamage(1,1, 166)] p. de daño de [School()] cada ronda durante [duration(1,4)] |4ronda:rondas;.",134057,4,1,0,0
168,Llama curativa,"Restaura [StandardDamage(1,1)] p. de salud más la mitad del último golpe recibido por el usuario.",135794,1,3,0,2
169,Aliento profundo,"|cffffffffProbabilidad de golpe:|r [StandardAccuracy(2,1)]

Hace falta una ronda para tomar aliento profundamente.

En la siguiente ronda, el usuario desata un ataque de aliento devastador que inflige [StandardDamage(2,1)] p. de daño de [School()].",135826,1,0,0,0
170,Elevación,"|cffffffffProbabilidad de golpe:|r [StandardAccuracy(2,1)]

Vuelas alto, lo que te vuelve inatacable durante una ronda.

En la siguiente ronda atacas e infliges [StandardDamage(2, 1)] p. de daño de [School()].",132128,2,4,0,0
171,Tierra agostada,"Inflige [StandardDamage(1,1)] p. de daño de [School()] cada ronda a la mascota delantera de ambos equipos.

Todas las mascotas cuentan como |cFFFF2020ardiendo|r.",237588,1,0,172,0
172,Tierra agostada,"|cffffffffProbabilidad de golpe:|r [StandardAccuracy(1,1)]

Calcina el suelo, lo que inflige [StandardDamage(1,1)] p. de daño de [School()] y [StandardDamage(1,1,171)] p. de daño de [School(171)] a todas las mascotas activas cada ronda durante [duration(1,2)] |4ronda:rondas;.

Durante Tierra agostada, todas las mascotas cuentan como |cFFFF2020ardiendo|r.",237588,1,3,0,0
173,Cauterizar,"Restaura [StandardDamage(1,1)] p. de salud más la mitad del último golpe recibido por el usuario.",236218,6,3,0,2
174,Aturdido,No puedes dar órdenes a esta mascota.,135860,-1,0,103,3
175,Volcán,"Tras 1 |4ronda:rondas;, el suelo entra en erupción durante 2 |4ronda:rondas;, lo que inflige [StandardDamage(3,1,175)] p. de daño de [School()] a la mascota activa del enemigo y tiene un 25% de probabilidad de aturdirla durante [duration(3,3,175)] |4ronda:rondas;.

|cffffffffProbabilidad de golpe:|r [StandardAccuracy(3,1)]",524305,6,0,288,1
176,Volcán,"|cffffffffProbabilidad de golpe:|r [StandardAccuracy(1,1)]

Provoca que tiemble el suelo bajo el equipo enemigo.

Tras 1 ronda, el suelo entra en erupción durante 2 rondas, lo que provoca que la mascota enemiga activa reciba [StandardDamage(3,1,175)] p. de daño de [School()] y tenga un 25% de probabilidad de quedar aturdida durante 1 ronda.",524305,6,5,0,0
177,Inmolar,"Inflige [StandardDamage(1,1)] p. de daño Elemental cada ronda.

|cFFFF2020Ardiendo.|r",135817,6,0,28,0
178,Inmolar,"|cffffffffProbabilidad de golpe:|r [StandardAccuracy(1,1)]

Inflige [StandardDamage(1,1)] p. de daño de [School()] al instante. El enemigo |cFFFF2020arde|r y recibe [StandardDamage(1,1,177)] p. de daño extra de [School()] por ronda durante [duration(1,2)] |4ronda:rondas;.",135817,6,0,0,0
179,Conflagrar,"|cffffffffProbabilidad de golpe:|r [StandardAccuracy(1,1)]

Inflige [StandardDamage(1,1)] p. de daño de [School()].

Inflige [StandardDamage(1,3)] p. de daño de [School()] extra si el objetivo ya está |cFFFF2020ardiendo|r.",135827,6,4,0,0
184,Púas,"|cffffffffProbabilidad de golpe:|r [StandardAccuracy(1,1)]

Arroja 1-2 púas al enemigo, lo que inflige [StandardDamage(1,1)] p. de daño de [School()] por golpe.

Golpea una vez más si el usuario ataca primero.",132924,2,0,0,0
185,Ataque temerario,"Tu daño recibido ha aumentado un [abs(abilityStateMod( 24, 185 ))]%.",464973,-1,0,530,3
186,Ataque temerario,"|cffffffffProbabilidad de golpe:|r [StandardAccuracy(1,1)]

Inflige [StandardDamage(1, 1)] p. de daño de [School()], pero aumenta el daño que recibes un [abs(abilityStateMod(24, 185 ))]% durante [duration(1,3)] |4ronda:rondas;.",132158,2,1,0,0
187,Precisión,"Probabilidad de golpe aumentada un [abs(abilityStateMod(41,187))]%.",132212,-1,0,0,2
188,Precisión,"Aumenta la probabilidad de golpe de tu equipo un [abs(abilityStateMod(41,187))]% durante 4 |4ronda:rondas;.",132212,2,0,0,2
189,Ciclón,"Inflige [StandardDamage(1,1)] p. de daño de [School()] a tu equipo cada ronda.

|cffffffffProbabilidad de golpe:|r [StandardAccuracy(1,1)]",136018,2,0,225,0
