Name_lang,FemaleName_lang,Description_lang,ID,ClassID,OrderIndex,PetTalentType,Role,Flags,SpellIconFileID,PrimaryStatPriority,AnimReplacements,MasterySpellID[0],MasterySpellID[1]
Arcano,Arcana,"Manipula la magia Arcana pura y destruye a los enemigos con un poder sobrecogedor.

Armas preferidas: Bastón, varita, daga, espada.",62,8,0,0,2,3,135932,0,362,190740,0
Fuego,Fuego,"Concentra la mismísima esencia de la magia de Fuego y ataca a sus enemigos con llamas incendiarias.

Armas preferidas: Bastón, varita, daga, espada.",63,8,1,0,2,3,135810,0,362,12846,0
Escarcha,Escarcha,"Congela a los enemigos en el sitio y los hace añicos con magia de Escarcha.

Armas preferidas: Bastón, varita, daga, espada.",64,8,2,0,2,67,135846,0,362,76613,0
Sagrado,Sagrada,"Invoca el poder de la Luz para sanar y proteger a los aliados, y para eliminar el mal del mundo.

Armas preferidas: Espada, maza, y escudo.",65,2,0,0,1,5,135920,1,0,183997,0
Protección,Protección,"Usa magia Sagrada para protegerse y defender a los aliados.

Armas preferidas: espada, maza, hacha y escudo.",66,2,1,0,0,4,236264,5,0,76671,0
Reprensión,Reprensión,"$gUn cruzado justo:Una cruzada justa; que juzga y castiga a los oponentes con armas y magia Sagrada.

Armas preferidas: Maza, hacha, espada de dos manos.",70,2,2,0,2,68,135873,5,0,267316,0
Armas,Armas,"Un maestro de armas curtido en la batalla que emplea la movilidad y los ataques implacables para derrotar a sus enemigos.

Armas preferidas: hachas de dos manos, maza y espada.",71,1,0,0,2,68,132355,5,0,262111,0
Furia,Furia,"Un violento guerrero que encadena un aluvión de ataques con dos armas para hacer picadillo a sus enemigos.

Armas preferidas: Mazas, espadas, hachas dobles de dos manos.",72,1,1,0,2,20,132347,5,0,76856,0
Protección,Protección,"Un firme protector que usa un escudo para protegerse y defender a sus aliados.

Armas preferidas: hacha, maza, espada y escudo.",73,1,2,0,0,4,132341,5,0,76857,0
Ferocidad,Ferocidad,"Estas bestias, dominadas por un ansia frenética de dar caza a su presa, no se detienen hasta lograr su objetivo. Incluso la muerte es temporal para estos depredadores.",74,0,0,0,2,0,236159,0,0,0,0
