ID,Description_lang,Parent,Amount,Operator,CriteriaID,OrderIndex,Flags
2,Mayor cantidad de oro jamás poseída,0,0,4,0,0,0
3,Mayor cantidad de oro jamás poseída,2,0,0,4224,1,8
5,Monturas poseídas,0,0,4,0,0,0
6,Número de monturas,5,0,0,4787,1,0
8,Usa Calabazas iluminadas pesadas para colocar cabezas de calabaza a las razas listadas a continuación.,0,0,4,0,0,0
9,Enano,8,1,0,5776,3,0
10,Gnomo,8,1,0,5772,4,0
11,Elfo de sangre,8,1,0,5774,1,0
12,Draenei,8,1,0,5775,2,0
13,Humano,8,1,0,5777,6,0
14,Elfo de la noche,8,1,0,5778,7,0
15,Orco,8,1,0,5779,8,0
16,Tauren,8,1,0,5780,9,0
17,Trol,8,1,0,5781,10,0
18,No-muerto,8,1,0,5782,11,0
19,Huargen,8,1,0,17854,12,0
20,Goblin,8,1,0,17855,5,0
22,Duelos perdidos,0,0,4,0,0,0
23,Duelos perdidos,22,0,0,3630,1,0
25,Lich King: Muertes contra jefes (25 j.),0,0,5,0,0,0
26,Desarmador XA-002,25,0,0,11019,25,0
27,Freya,25,0,0,11027,33,0
28,Mimiron,25,0,0,11028,34,0
29,General Vezax,25,0,0,11029,35,0
30,Yogg-Saron,25,0,0,11030,36,0
31,Algalon el Observador,25,0,0,11031,37,0
32,Emalon el Vigía de la Tormenta,25,0,0,11032,38,0
33,Leviatán de llamas,25,0,0,11016,22,0
34,Tajoescama,25,0,0,11017,23,0
35,"Ignis, el Maestro de la Caldera",25,0,0,11018,24,0
36,Auriaya,25,0,0,11024,30,0
37,Hodir,25,0,0,11025,31,0
38,Rompeacero,25,0,0,11020,26,0
39,Clamatormentas Brundir,25,0,0,11022,28,0
40,Kologarn,25,0,0,11023,29,0
41,Thaddius,25,0,0,7839,13,0
42,Señor feudal Korth'azz,25,0,0,7845,7,0
43,Remendejo,25,0,0,7838,14,0
44,Sapphiron,25,0,0,7840,12,0
45,Kel'Thuzad,25,0,0,7841,11,0
46,Lady Blaymeux,25,0,0,7842,10,0
47,Barón Osahendido,25,0,0,7843,9,0
48,Noth el Pesteador,25,0,0,7837,15,0
49,Heigan el Impuro,25,0,0,7833,19,0
50,Archavon el Vigía de Piedra,25,0,0,7848,4,0
51,Anub'Rekhan,25,0,0,7828,1,0
52,Gluth,25,0,0,7829,21,0
53,Gothik el Cosechador,25,0,0,7830,2,0
54,Gran Viuda Faerlina,25,0,0,7831,20,0
55,Grobbulus,25,0,0,7832,3,0
56,Instructor Razuvious,25,0,0,7834,18,0
57,Loatheb,25,0,0,7835,17,0
58,Maexxna,25,0,0,7836,16,0
