ID,Name_lang,Tooltip_lang,BuildingType,SpecType,RequiredUpgradeLevel,IconFileDataID,Param[0],Param[1]
2,Postes de exhibición,Permite almacenar otras cinco monturas en el establo para exhibirlas públicamente.,0,0,0,132224,100,0
3,Comerciante de monturas,Un comerciante de monturas raras ha abierto un puesto en los establos de tu ciudadela.,0,1,0,413588,5,0
7,Portal de regreso,Te permite abortar una misión actual y traer de vuelta a tus seguidores inmediatamente.,0,5,0,511651,0,0
8,Cazatalentos,"Recluta a un seguidor aleatorio con un rasgo, habilidad o rol concreto a cambio de 10 materiales.",0,6,0,134149,0,0
9,Chef Roca Negra,Desbloquea misiones diarias de cocina de la ciudadela.,0,6,0,236571,0,0
11,Vagonetas de minería,Más mineros llenarán vagonetas de menas y otros objetos extraños.,0,7,3,961629,0,0
12,Huerto,Planta un huerto en tu ciudadela que produce frutas raras.,9,7,0,133977,0,0
13,Cuchillo de desuello exquisito,Aumenta un 10% el índice de recolección de pieles por hora.,0,7,0,924154,0,0
22,Aplastarrocas,"Crea materiales extras al aplastar las rocas que se pueden usar para construir carreteras, cemento, etc.",0,7,3,135236,0,0
23,Teletransporte en masa,Elimina el tiempo de viaje de la primera misión del día que requiera 5 seguidores.,0,5,0,413583,0,0
24,Viaje urbano,Permite el acceso a portales que conduzcan a ciudades que no sean Orgrimmar ni Ventormenta.,0,5,0,135744,0,0
25,Recolector mecánico,Automatiza la recolección de hierbas del jardín.,0,7,0,132996,0,0
26,PattyMack Test Spec,,0,4,0,0,0,0
27,Roca negra,Genera más componentes de mena Roca Negra en tus envíos.,0,3,0,0,0,0
28,Verahierro,Genera más componentes de verahierro en tus envíos.,0,3,0,0,0,0
31,Envío de pescado,"Un envío de pescado fresco cada día, ¡directo a tu cabaña de pesca!",0,6,3,970842,0,0
32,En busca de cebo,Aumenta considerablemente la probabilidad de encontrar cebo al pescar en las aguas de tu ciudadela.,0,6,3,970852,0,0
33,Morador de cuevas,Te da la posibilidad de cazar un pezqueñín de sima glacial en las aguas de la ciudadela. Se pueden utilizar para invocar a un morador de cuevas de sima glacial.,0,6,3,970814,0,0
34,Laboratorio de enseñanza,Tu laboratorio de alquimia acepta estudiantes. La clase te prepara un par de pociones cada día.,0,6,3,413574,0,0
35,Transmutación,"El laboratorio se especializa en la naturaleza mutable de los objetos físicos, lo que aumenta la cantidad de cristales metamórficos que se producen cada día.",0,6,3,967514,0,0
36,Elixir,"El laboratorio se especializa en catalizar las reacciones alquímicas, lo que aumenta la cantidad de catalizadores alquímicos que se producen cada día.",0,6,3,967512,0,0
37,Llamamiento a las armas superior,"Refuerza las tropas de tu facultad Llamamiento a las armas, de forma que infligen más daño.",0,6,3,975738,0,0
38,Primeros auxilios,Invoca a una enfermera PNJ de primeros auxilios que proporciona pociones de sanación y vendas cada día.,0,6,3,135966,0,0
39,Prisión,De vez en cuando atrapa a ladrones que pagan multas o aportan información útil para conmutar su pena.,0,6,3,136058,0,0
40,Guardias de mina,"Unos guardas de la ciudadela patrullan la mina, lo que la mantiene libre de goren hostiles.",0,6,3,132110,0,0
41,Compra al por mayor,Reduce el coste de compra de edificios y de cambio de especializaciones.,0,6,3,132761,0.5,0
