Name_lang,Description_lang,ID,GarrTalentTreeID,Tier,UiOrder,IconFileDataID,PlayerConditionID,GarrAbilityID,Flags,TalentType,PrerequisiteTalentID,ResearchCostSource,ActiveDurationSecs,GarrTalentSocketPropertiesID
Ansia de sangre,"Permite usar la facultad Ansia de sangre, que aumenta un ${$a701}% la probabilidad de éxito de la primera misión de cada día.",39,31,0,1,136012,41962,578,0,0,0,0,0,0
Reencarnación,"Permite usar la facultad Reencarnación en todas las misiones, que otorga un ${$a772}% de probabilidad de recuperar una tropa agotada con $m772 p. de vitalidad al tener éxito en una misión.",40,31,1,1,451167,41955,646,0,0,0,0,0,0
Regalo ancestral,Otorga a tus campeones una probabilidad de volver con armamento o equipo de campeón al tener éxito en una misión.,41,31,2,1,237574,41958,788,0,0,0,0,0,0
Leyendas ancestrales,Aumenta en ${$a898} el número de objetos legendarios que puedes equipar.,42,31,5,0,237571,41961,0,0,0,0,0,0,0
Conocimiento elemental,"Los elementales inferiores recién reclutados se convierten en elementales superiores, lo que aumenta un ${$a638-$a637}% su probabilidad de éxito en las misiones.",43,31,3,0,893777,41959,0,0,0,0,0,0,0
Susurros de la tierra,"Los círculos de clamatierras recién reclutados se convierten en geománticos del Anillo, que obtienen:

|TInterface\ICONS\ABILITY_RHYOLITH_MAGMAFLOW_WAVE.BLP:20:20:0:0|t |CffffffffTormenta de magma|R
$@garrabdesc583",44,31,3,1,451165,41959,0,0,0,0,0,0,0
¡Levántate!,"Te permite reclutar ascendientes.

Los ascendientes aumentan un ${$a650}% la probabilidad de éxito de las misiones con |C00b3ffffpeligros|R, |C00b3ffffhechizos|R o |C00b3ffffesbirros|R, aleatoriamente, además de:

|TInterface\ICONS\ABILITY_DUALWIELDSPECIALIZATION.BLP:20:20:0:0|t |CffffffffFuria del ascendiente|R
$@garrabdesc531",46,31,4,1,132148,41960,0,0,0,0,0,0,0
Camino de espíritu,Te permite realizar un pedido de 1 de tus 3 sellos de destino alterado semanales a cambio de recursos de la sede.,49,31,4,0,636335,41960,0,0,0,0,0,0,0
Campo de Entrenamiento,"Aumenta en ${$a702} el número máximo de elementales inferiores y superiores, clamatierras, y geománticos que puedes reclutar.",52,31,2,0,135776,41958,579,0,0,0,0,0,0
Vínculo elemental,"Otorga acceso a los Señores del Fuego, de la Tierra, del Viento y del Agua. Cada día aparecerá en la sede de tu clase un señor aleatorio que puede proporcionarte una potente bonificación de combate.",53,31,1,0,135988,41955,0,0,0,0,0,0,0
La llamada del espíritu,Aumenta la probabilidad de que las recompensas de misión contengan una mejora de bonificación rara o épica en misiones no repetibles.,54,31,0,0,136014,41962,0,0,0,0,0,0,0
Fortuna propicia,Aumenta la probabilidad de que las recompensas de misión contengan una mejora de bonificación rara o épica en misiones no repetibles.,248,4,0,0,636335,41962,0,0,0,0,0,0,0
Esclarecimiento,"Las tropas recién reclutadas tienen una probabilidad de ascender un rango y ser así más poderosas.

Los iniciados tienen una probabilidad de convertirse en adeptos y los adeptos tienen una probabilidad de convertirse en maestros.",249,4,1,1,648628,41955,0,0,0,0,0,0,0
Senda del buey,"Los iniciados del buey recién reclutados se convierten en adeptos del buey, lo que aumenta un ${$a897-$a695}% su probabilidad de éxito en las misiones.",250,4,3,0,620829,41959,0,0,0,0,0,0,0
Senda del tigre,"Los iniciados del tigre recién reclutados se convierten en adeptos del tigre, que obtienen:

|TInterface\ICONS\ABILITY_MONK_CRANEKICK_NEW.BLP:20:20:0:0|t |CffffffffPatada giratoria de la grulla|R
$@garrabdesc576",251,4,3,1,611420,41959,0,0,0,0,0,0,0
Aposentos,"Aumenta en ${$a694} el número máximo de iniciados y adeptos del buey, y de iniciados y adeptos del tigre que puedes reclutar.",252,4,2,0,651489,41958,571,0,0,0,0,0,0
Sobre de la suerte,"Permite usar la facultad Sobre de la suerte, que aumenta un ${$a693}% la probabilidad de éxito de la primera misión de cada día.",253,4,0,1,134268,41962,570,0,0,0,0,0,0
Cervecería,"Te otorga acceso al barril burbujeante del interior de la posada Cerveza de Trueno una vez al día.

Tocar el barril burbujeante otorga valiosos bonus que te ayudarán en tus misiones en las Islas Abruptas.",254,4,1,0,651573,41955,0,0,0,0,0,0,0
Peregrinaje,Otorga a tus campeones una probabilidad de volver con armamento o equipo de campeón al tener éxito en una misión.,255,4,2,1,775462,41958,785,0,0,0,0,0,0
Unidad con el destino,Te permite realizar un pedido de 1 de tus 3 sellos de destino alterado semanales a cambio de recursos de la sede.,256,4,4,0,656322,41960,0,0,0,0,0,0,0
Favor celestial,"Te permite reclutar celestiales.

Los celestiales pueden contrarrestar a un |C00b3ffffjefe|R y tienen una especialización de monje aleatoria, además de:

|TInterface\ICONS\INV_CELESTIALSERPENTMOUNT.BLP:20:20:0:0|t |CffffffffEco de lo celestial|R
$@garrabdesc749",257,4,4,1,656166,41960,0,0,0,0,0,0,0
Puños de leyenda,Aumenta en ${$a898} el número de objetos legendarios que puedes equipar.,258,4,5,0,606548,41961,0,0,0,0,0,0,0
Favor de Elune,Aumenta la probabilidad de que las recompensas de misión contengan una mejora de bonificación rara o épica en misiones no repetibles.,347,107,0,0,236151,41962,0,0,0,0,0,0,0
Reclamación,Otorga a tus campeones una probabilidad de volver con armamento o equipo de campeón al tener éxito en una misión.,348,107,2,1,1033478,41958,787,0,0,0,0,0,0
Forma de viaje,"Permite usar la facultad Forma de viaje en todas las misiones, lo que reduce un ${100-$a715*100}% la duración de las mismas.",349,107,1,1,132144,41955,592,0,0,0,0,0,0
Hibernación,"Aumenta en ${$a900} el número máximo de antárboles de la Arboleda, hijas de Cenarius, druidas de la Zarpa y vigilantes de la arboleda que puedes reclutar.",350,107,2,0,132136,41958,753,0,0,0,0,0,0
Hermanas sonrientes,"Los antárboles de la Arboleda recién reclutados se convierten en hijas de Cenarius, lo que aumenta un ${$a679-$a678}% su probabilidad de éxito en las misiones.",351,107,3,0,136021,41959,0,0,0,0,0,0,0
