ID,Title_lang,GarrTypeID,ClassID,MaxTiers,UiOrder,Flags,UiTextureKitID,GarrTalentTreeType,PlayerConditionID,FeatureTypeIndex,FeatureSubtypeIndex,CurrencyID
4,,3,10,7,0,0,0,0,0,0,0,0
31,,3,7,7,0,0,0,0,0,0,0,0
107,,3,11,7,0,0,0,0,0,0,0,0
110,,3,9,7,0,0,0,0,0,0,0,0
113,,3,3,7,0,0,0,0,0,0,0,0
116,,3,8,7,0,0,0,0,0,0,0,0
119,,3,2,7,0,0,0,0,0,0,0,0
122,,3,1,7,0,0,0,0,0,0,0,0
125,,3,12,7,0,0,0,0,0,0,0,0
128,,3,6,7,0,0,0,0,0,0,0,0
131,,3,4,7,0,0,0,0,0,0,0,0
134,,3,5,7,0,0,0,0,0,0,0,0
150,,111,0,8,0,0,0,1,0,0,0,0
151,,3,0,7,0,0,253,0,0,0,0,0
152,Investigación de guerra,9,0,6,0,1,0,0,0,0,0,0
153,Investigación de guerra,9,0,6,0,1,0,0,0,0,0,0
260,Visions Research [NYI],9,0,6,0,0,253,0,0,0,0,0
263,Investigación de MADRE - Solitario,9,0,4,0,0,253,0,0,0,0,0
264,Investigación de MADRE - Grupo,9,0,4,0,0,253,0,0,0,0,0
265,Investigación de MADRE - Apostador,9,0,2,0,0,253,0,0,0,0,0
266,Investigación de MADRE - Velocidad,9,0,2,0,0,253,0,0,0,0,0
267,Investigación de MADRE - Explorador,9,0,3,0,0,253,0,0,0,0,0
268,Investigación de MADRE - Hitos,9,0,2,0,0,253,1,0,0,0,0
271,Investigación de MADRE,9,0,6,0,0,5273,1,0,0,0,1719
272,Nadjia la Hojaniebla,111,0,5,0,0,253,1,0,6,0,0
275,Tejesueños,111,0,12,0,16,0,0,79281,6,3,0
276,Niya,111,0,12,0,16,0,0,79279,6,3,0
304,General Draven,111,0,12,0,16,0,0,79288,6,2,0
307,Red de transporte,111,0,3,0,16,0,0,0,2,3,0
308,Red de transporte,111,0,3,0,16,5283,0,0,2,1,0
309,Red de transporte,111,0,3,0,16,0,0,0,2,2,0
310,Red de transporte,111,0,3,0,16,0,0,0,2,4,0
311,Conductor de ánima,111,0,3,0,16,0,0,0,1,3,0
312,Conductor de ánima,111,0,3,0,16,5283,0,0,1,1,0
313,Conductor de ánima,111,0,3,0,16,0,0,0,1,4,0
314,Conductor de ánima,111,0,3,0,16,0,0,0,1,2,0
315,Mesa de mando,111,0,3,0,16,0,0,0,3,3,0
316,Mesa de mando,111,0,3,0,16,5283,0,0,3,1,0
317,Mesa de mando,111,0,3,0,16,0,0,0,3,2,0
318,Mesa de mando,111,0,3,0,16,0,0,0,3,4,0
319,Invernadero de la Reina,111,0,5,0,16,0,0,0,5,3,0
320,Camino de la ascensión,111,0,5,0,16,5283,0,0,5,1,0
321,Fábrica de abominaciones,111,0,5,0,16,0,0,0,5,4,0
324,La Corte de Ascuas,111,0,5,0,0,0,1,0,5,2,0
325,Inventor de pestes Marileth,111,0,12,0,16,0,0,79284,6,4,0
326,Revendreth - Mejoras de reserva,111,0,3,0,16,5285,0,0,4,2,0
327,Bastión - Mejoras de reserva,111,0,3,0,16,5283,0,0,4,1,0
328,Ardenweald - Mejoras de reserva,111,0,3,0,16,5305,0,0,4,3,0
329,Maldraxxus - Mejoras de reserva,111,0,3,0,16,5287,0,0,4,4,0
330,Emeni,111,0,12,0,16,0,0,79285,6,4,0
334,Korayn,111,0,12,0,16,0,0,79283,6,3,0
335,Chris Test Tree Set,3,0,2,0,0,0,0,0,0,0,0
345,Canalizar ánima,111,0,1,0,0,5283,1,0,7,1,0
346,Canalizar ánima,111,0,1,0,0,5305,1,0,7,3,0
347,Canalizar ánima,111,0,1,0,0,5287,1,0,7,4,0
348,Canalizar ánima,111,0,1,0,0,5285,1,0,7,2,0
349,Herrera ósea Heirmir,111,0,12,0,16,0,0,81502,6,4,0
357,Pelagos,111,0,12,0,16,0,0,81504,6,1,0
360,Kleia,111,0,12,0,16,0,0,81505,6,1,0
365,Mikanikos,111,0,12,0,16,0,0,81506,6,1,0
368,Nadjia la Hojaniebla,111,0,12,0,16,0,0,81503,6,2,0
392,"Theotar, el Duque Loco",111,0,12,0,16,0,0,83261,6,2,0
393,Bastión - Facultades de curia,111,0,2,0,0,5283,1,0,0,1,0
395,Maldraxxus - Facultades de curia,111,0,2,0,0,5287,1,0,0,4,0
396,Revendreth - Facultades de curia,111,0,2,0,0,5279,1,0,0,2,0
397,Ardenweald - Facultades de curia,111,0,2,0,0,5301,1,0,0,3,0
461,La caja de muchas cosas,111,0,6,0,4,5400,1,0,0,0,1904
463,Progresión de maestría de dracos,111,0,9,0,0,0,0,0,0,0,42
465,Consola de mejora de dispositivo,111,0,3,0,0,253,1,0,0,0,1979
466,Núcleo de progenitor,111,0,4,0,0,5273,1,0,0,0,1979
467,Progresión de maestría de dracos,111,0,3,0,0,0,1,0,0,0,0
468,Núcleo de progenitor JZB,9,0,7,0,0,5273,0,0,0,0,1979
474,Consola de investigación de claves,111,0,7,0,12,5415,1,0,8,0,1979
476,Personalización de Pocopoc,111,0,6,0,0,5419,0,0,0,0,0
479,Efigie de truenagarto,111,0,3,0,0,5166,1,0,0,0,2011
482,Habilidades de jinete de dragones,111,0,9,0,0,5273,1,0,0,0,0
483,Expositor de equipo de cazador de monstruos,111,0,5,0,0,5419,0,0,0,0,0
484,Jinete de dragones avanzado,111,0,9,0,0,0,1,0,0,0,2045
485,Tácticas de caza Shikaar,111,0,4,0,0,5415,1,0,0,0,2003
486,Elige tu compañero,111,0,2,0,0,5487,0,0,0,0,2003
487,Progresión del Clan Teerai,111,0,4,0,0,5419,1,0,0,0,0
