Name_lang,SourceText_lang,Description_lang,ID,MountTypeID,Flags,SourceTypeEnum,SourceSpellID,PlayerConditionID,MountFlyRideHeight,UiModelSceneID,MountSpecialRiderAnimKitID,MountSpecialSpellVisualKitID
Caballo marrón,|cFFFFD200Vendedor: |rUnger Statforth|n|cFFFFD200Zona: |rLos Humedales|n|cFFFFD200Coste: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,La elección favorita entre los guardias de Ventormenta gracias a su paciencia y aguante.,6,230,0,2,458,0,0,4,0,0
Lobo grisáceo,|cFFFFD200Vendedor: |rOgunaro Correlobo|n|cFFFFD200Zona: |rOrgrimmar|n|cFFFFD200Coste: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"Esta estirpe de lobos prefiere cazar en la niebla, utilizando su pelaje grisáceo para camuflarse ante las presas desprevenidas.",7,230,64,2,459,0,0,4,0,0
Semental blanco,|cFFFFD200Montura antigua|r,El poderoso e inflexible semental blanco aparece con mucha frecuencia en los mitos de las antiguas tribus humanas.,8,230,64,2,468,0,0,4,0,0
Semental negro,|cFFFFD200Vendedor: |rKatie Stokx|n|cFFFFD200Zona: |rCiudad de Ventormenta|n|cFFFFD200Coste: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,Se rumorea que son los favoritos del IV:7 para las misiones nocturnas por su pelaje oscuro.,9,230,0,2,470,0,0,4,0,0
Pinto,|cFFFFD200Vendedor: |rKatie Stokx|n|cFFFFD200Zona: |rCiudad de Ventormenta|n|cFFFFD200Coste: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,Su temperamento sereno lo convierte en el caballo ideal para enseñar a montar a los niños.,11,230,0,2,472,0,0,4,0,0
Lobo negro,|cFFFFD200Vendedor: |rOgunaro Correlobo|n|cFFFFD200Zona: |rOrgrimmar|n|cFFFFD200Coste: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,Su aullido se oye a kilómetros de distancia.,12,230,64,2,578,0,0,4,0,0
Lobo rojo,|cFFFFD200Montura antigua|r,Apenas queda ninguno en Azeroth; solo los más veteranos han visto alguno.,13,230,64,2,579,0,0,4,0,0
Lobo gris,|cFFFFD200Vendedor: |rOgunaro Correlobo|n|cFFFFD200Zona: |rOrgrimmar|n|cFFFFD200Coste: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,Su aullido se oye a kilómetros de distancia.,14,230,0,2,580,0,0,4,0,0
Lobo invernal,|cFFFFD200Montura antigua|r,Las antiguas leyendas de los fúrbolgs cuentan que los lobos que nacen con el pelaje blanco llevan la bendición de las dos lunas de Azeroth.,15,230,64,2,581,0,0,4,0,0
Corcel vil,|cFFFFD200Clase: |rBrujo,"Corrompido por poderes demoníacos y forzado, en otro tiempo, a servir al Consejo de la Sombra.",17,230,0,1,5784,31504,0,4,0,0
Yegua zaina,|cFFFFD200Vendedor: |rKatie Stokx|n|cFFFFD200Zona: |rCiudad de Ventormenta|n|cFFFFD200Coste: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"Robusta y firme: ""La yegua que levantó Ventormenta"".",18,230,0,2,6648,0,0,4,0,0
Lobo temible,|cFFFFD200Vendedor:|r Ogunaro Correlobo|n|cFFFFD200Ubicación:|r Orgrimmar|n|cFFFFD200Coste: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,Se creía que ya solo existían en las tierras más septentrionales. Muy apreciado por la gente que se prepara para el invierno.,19,230,0,2,6653,0,0,4,0,0
Lobo marrón,|cFFFFD200Vendedor: |rOgunaro Correlobo|n|cFFFFD200Zona: |rOrgrimmar|n|cFFFFD200Coste: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,Su aullido se oye a kilómetros de distancia.,20,230,0,2,6654,0,0,4,0,0
Carnero gris,|cFFFFD200Vendedor: |rVeron Semperámbar|n|cFFFFD200Zona: |rDun Morogh|n|cFFFFD200Coste: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,Los carneros macho suelen darse testarazos mutuamente durante horas cuando quieren impresionar a una hembra. En ese sentido se parecen a los enanos.,21,230,0,2,6777,0,0,4,0,0
Carnero negro,|cFFFFD200Montura antigua|r,"Hace siglos que no veo esta raza, pero cuando los domesticas bien, aguantan. - Veron Semperámbar",22,230,64,2,6896,0,0,4,0,0
Carnero blanco,|cFFFFD200Vendedor: |rVeron Semperámbar|n|cFFFFD200Zona: |rDun Morogh|n|cFFFFD200Coste: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,Los carneros macho suelen darse testarazos mutuamente durante horas cuando quieren impresionar a una hembra. En ese sentido se parecen a los enanos.,24,230,0,2,6898,0,0,4,0,0
Carnero marrón,|cFFFFD200Vendedor: |rVeron Semperámbar|n|cFFFFD200Zona: |rDun Morogh|n|cFFFFD200Coste: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,Los carneros macho suelen darse testarazos mutuamente durante horas cuando quieren impresionar a una hembra. En ese sentido se parecen a los enanos.,25,230,0,2,6899,0,0,4,0,0
Sable de hielo rayado,|cFFFFD200Vendedor: |rLelanai|n|cFFFFD200Zona: |rDarnassus|n|cFFFFD200Coste: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"El apetito feroz de esta afable montura le ha granjeado el apodo ""Barriga de dragón"" en el idioma de los elfos de la noche.",26,230,0,2,8394,0,0,4,0,0
Raptor de esmeralda,|cFFFFD200Vendedor: |rZjolnir|n|cFFFFD200Zona: |rDurotar|n|cFFFFD200Coste: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"Procedente de la raza más fiera que existe, pero no muerde (mucho).",27,230,0,2,8395,0,0,4,0,0
Caballo esquelético,|cFFFFD200Montura antigua|r,"Como la mayoría de las criaturas no-muertas, no eligió su destino.",28,230,64,2,8980,0,0,4,0,0
Sable de hielo moteado,|cFFFFD200Vendedor: |rLelanai|n|cFFFFD200Zona: |rDarnassus|n|cFFFFD200Coste: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"El apetito feroz de esta afable montura le ha granjeado el apodo ""Barriga de dragón"" en el idioma de los elfos de la noche.",31,230,0,2,10789,0,0,4,0,0
Tigre,|cFFFFD200Montura antigua|r,,32,230,64,5,10790,0,0,4,0,0
Sable de la noche rayado,|cFFFFD200Vendedor: |rLelanai|n|cFFFFD200Zona: |rDarnassus|n|cFFFFD200Coste: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"Estas ágiles bestias, capaces de correr velozmente a través de densos bosques sin hacer ruido, están consideradas como unos de los depredadores más perfectos de Azeroth.",34,230,0,2,10793,0,0,4,0,0
Raptor de marfil,|cFFFFD200Montura antigua|r,"Procedente de la raza más fiera que existe, pero no muerde (mucho).",35,230,64,2,10795,0,0,4,0,0
Raptor de turquesa,|cFFFFD200Vendedor: |rZjolnir|n|cFFFFD200Zona: |rDurotar|n|cFFFFD200Coste: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"Procedente de la raza más fiera que existe, pero no muerde (mucho).",36,230,0,2,10796,0,0,4,0,0
Raptor violeta,|cFFFFD200Vendedor: |rZjolnir|n|cFFFFD200Zona: |rDurotar|n|cFFFFD200Coste: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"Procedente de la raza más fiera que existe, pero no muerde (mucho).",38,230,0,2,10799,0,0,4,0,0
Mecazancudo rojo,|cFFFFD200Vendedor: |rMilli Plumasilba|n|cFFFFD200Zona: |rDun Morogh|n|cFFFFD200Coste: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"""Las exocalculadoras terradinámicas se extrapolan mediante imaginería hidráulica con los impulsores de equilibrio..."" —Binjy Plumasilba",39,230,0,2,10873,0,0,4,0,0
Mecazancudo azul,|cFFFFD200Vendedor: |rMilli Plumasilba|n|cFFFFD200Zona: |rDun Morogh|n|cFFFFD200Coste: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"""Las exocalculadoras terradinámicas se extrapolan mediante imaginería hidráulica con los impulsores de equilibrio..."" —Binjy Plumasilba",40,230,0,2,10969,0,0,4,0,0
Caballo de guerra,|cFFFFD200Paladín|r|n,Entrenados para mantenerse firmes en un combate justo.,41,230,4,1,13819,27943,0,4,0,0
Mecazancudo blanco modelo B,|cFFFFD200Montura antigua|r,"Obligados a retirar el modelo tras numerosas quejas que hablaban de un ""acelerador incontrolable"", ahora los ingenieros gnómicos se refieren a un prototipo fallido como ""modelo B"".",42,230,64,2,15779,0,0,4,0,0
Mecazancudo verde,|cFFFFD200Vendedor: |rMilli Plumasilba|n|cFFFFD200Zona: |rDun Morogh|n|cFFFFD200Coste: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"""Las exocalculadoras terradinámicas se extrapolan mediante imaginería hidráulica con los impulsores de equilibrio..."" —Binjy Plumasilba",43,230,64,2,15780,0,0,4,0,0
Sable de la noche negro,|cFFFFD200Montura antigua|r,"Consideradas unos de los depredadores más perfectos de Azeroth, estas bestias ágiles son capaces de correr velozmente a través de densos bosques sin hacer ningún ruido.",45,230,64,2,16055,0,0,4,0,0
Sable de hielo anciano,|cFFFFD200Montura antigua|r,La ausencia de manchas o rayas indica que esta bestia desciende del linaje sable de hielo más antiguo.,46,230,64,2,16056,0,0,4,0,0
Lobo rojo,|cFFFFD200Montura antigua|r,Apenas queda ninguno en Azeroth; solo los más veteranos han visto alguno.,50,230,64,2,16080,0,0,4,0,0
Lobo ártico,|cFFFFD200Montura antigua|r,"Aunque una vez se pensó que estaba casi extinto, aún se puede ver a este lobo de forma ocasional en compañía de algunos veteranos de la Horda.",51,230,64,0,16081,0,0,4,0,0
Palomino,|cFFFFD200Montura antigua|r,Hace mucho tiempo que los nobles humanos prefieren esta majestuosa estirpe por su precioso pelaje dorado y su melena blanca y sedosa.,52,230,64,2,16082,0,0,4,0,0
Semental blanco,|cFFFFD200Montura antigua|r,El poderoso e inflexible semental blanco aparece con mucha frecuencia en los mitos de las antiguas tribus humanas.,53,230,64,2,16083,0,0,4,0,0
Raptor rojo jaspeado,|cFFFFD200Montura antigua|r,"Procedente de la raza más fiera que existe, pero no muerde (mucho).",54,230,64,2,16084,0,0,4,0,0
Sable de hielo de Cuna del Invierno,|cFFFFD200Misión: |rCrecen tan deprisa|n|cFFFFD200Zona: |rCuna del Invierno,"Domar a esta raza salvaje requiere de paciencia, fuerza y una enorme cantidad de ratones falsos y cordel.",55,230,4,1,17229,0,0,4,0,0
Raptor de marfil,|cFFFFD200Montura antigua|r,"Procedente de la raza más fiera que existe, pero no muerde (mucho).",56,230,64,2,17450,0,0,4,0,0
Mecazancudo verde,|cFFFFD200Vendedor: |rMilli Plumasilba|n|cFFFFD200Zona: |rDun Morogh|n|cFFFFD200Coste: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"""Las exocalculadoras terradinámicas se extrapolan mediante imaginería hidráulica con los impulsores de equilibrio..."" —Binjy Plumasilba",57,230,0,2,17453,0,0,4,0,0
