ID,Name_lang,Description_lang,ToastDescription_lang,CovenantID,Level,Icon,Flags,UiOrder,ItemID,SpellID,MountID,TransmogID,TransmogSetID,CharTitlesID,GarrFollowerID,TransmogIllusionID,QuestID,PlayerConditionID
18,,Puedes hablar con la vigía Floravíspera para reclutar a esta aventurera.,Nuevo aventurero disponible,3,4,0,0,0,0,0,0,0,0,0,1283,0,64508,0
19,Mejora de nexo de almas: Niya,Puedes acceder a la tercera fila de rasgos de nexo de almas de Niya.,Fila de nexo de almas con Niya desbloqueada,3,3,3684884,2,0,0,0,0,0,0,0,0,0,64508,0
22,Mejora de nexo de almas: Niya,Puedes acceder a la cuarta fila de rasgos de nexo de almas de Niya.,Fila de nexo de almas con Niya desbloqueada,3,7,3684884,2,0,0,0,0,0,0,0,0,0,64508,0
23,,Puedes hablar con la vigía Floravíspera para reclutar a esta aventurera.,Nuevo aventurero disponible,3,12,0,0,0,0,0,0,0,0,0,1285,0,64508,0
25,Mejora de nexo de almas: Tejesueños,Puedes acceder a la cuarta fila de rasgos de nexo de almas de Tejesueños.,Fila de nexo de almas con Tejesueños desbloqueada,3,9,3684882,2,0,0,0,0,0,0,0,0,0,64508,0
28,Mejora de nexo de almas: Tejesueños,Puedes acceder a la quinta fila de rasgos de nexo de almas de Tejesueños.,Fila de nexo de almas con Tejesueños desbloqueada,3,13,3684882,2,1,0,0,0,0,0,0,0,0,0,0
29,,Este recuerdo recuperado se podrá comprar al intendente de renombre.,Nuevo recuerdo recuperado disponible,3,14,0,0,0,183249,0,0,0,0,0,0,0,64508,0
31,Mejora de nexo de almas: Niya,Puedes acceder a la quinta fila de rasgos de nexo de almas de Niya.,Fila de nexo de almas con Niya desbloqueada,3,10,3684884,2,0,0,0,0,0,0,0,0,0,64508,0
32,,Puedes hablar con la vigía Floravíspera para reclutar a esta aventurera.,Nuevo aventurero disponible,3,17,0,0,1,0,0,0,0,0,0,1284,0,0,0
33,Recompensas de misiones del mundo,Aumenta el nivel de objeto de tus recompensas de misiones del mundo.,Nivel de objeto máximo para misiones del mundo aumentado,3,10,236668,0,1,0,0,0,0,0,0,0,0,63220,88686
35,,,Nueva apariencia disponible,3,6,0,0,0,0,0,0,113562,0,0,0,0,64508,0
36,,Ilusión: Alma salvaje se podrá comprar al intendente de renombre.,Ilusión: Alma salvaje disponible,3,36,0,0,0,0,0,0,0,0,0,0,71,64508,0
37,,El juguete piedra de hogar de sílfide nocturna se podrá comprar al intendente de renombre.,Piedra de hogar de sílfide nocturna disponible,3,11,0,0,1,180290,0,0,0,0,0,0,0,0,0
39,Campaña de las sílfides nocturnas: Drust y cenizas,Puedes empezar el siguiente capítulo de la campaña de las sílfides nocturnas. Completar este capítulo te permitirá crear un nexo de almas con la capitana de caza Korayn.,Nueva misión de campaña disponible,3,22,1500884,1,0,0,0,0,0,0,0,0,0,64508,0
40,,Se podrá adoptar a Truti hablando con el intendente de renombre.,Mascota de compañía disponible,3,27,0,0,1,182663,0,0,0,0,0,0,0,0,0
41,Mejora de nexo de almas: Niya,Puedes acceder a la sexta fila de rasgos de nexo de almas de Niya.,Fila de nexo de almas con Niya desbloqueada,3,18,3684884,2,0,0,0,0,0,0,0,0,0,64508,0
