ID,Name_lang,CreatureDisplayID,CreatureType,Flags,AttackIconFileID,BonusActionBar,CombatRoundTime,DamageVariance,MountTypeID,PresetSpellID[0],PresetSpellID[1],PresetSpellID[2],PresetSpellID[3],PresetSpellID[4],PresetSpellID[5],PresetSpellID[6],PresetSpellID[7]
1,Forma felina,115603,1,248,132116,1,1000,0.4,0,0,0,0,0,0,0,0,0
2,Forma de árbol de vida,115608,7,2265,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Forma de viaje,115605,1,216,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Forma acuática,115604,1,216,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Forma de oso,115602,1,248,132143,3,2500,0.4,0,0,0,0,0,0,0,0,0
6,Ambiente,328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Necrófago,25527,6,9689,0,0,0,0,0,6603,47468,47481,47482,47480,0,47484,47496
8,Forma de oso temible,115602,1,248,132143,3,2500,0.4,0,0,0,0,0,0,0,0,0
9,Estilo de la grulla,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0
10,Esqueleto Tharon'ja,9784,6,1034,0,0,0,0,0,50799,49613,49609,49617,0,0,0,0
11,Luna Negra - Prueba de fuerza,0,0,1226,0,0,0,0,0,62022,62023,62024,62025,0,0,0,0
12,BLB Player,0,0,0,0,0,0,0,0,44029,44752,44083,44010,44012,44817,0,0
13,Danza de las Sombras,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
14,Criatura: oso,2281,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Criatura: felino,892,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Lobo fantasmal,55287,1,216,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Actitud de batalla,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0
18,Actitud defensiva,0,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0
19,Actitud rabiosa,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Estilo del dragón,0,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0
21,Zombi,26942,6,5150,0,0,0,0,0,57596,51230,56560,43949,56528,0,0,0
22,Metamorfosis,0,7,2252,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Estilo del buey,0,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0
24,Estilo del tigre,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0
25,No-muerto,0,6,201,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Furia,17170,1,216,0,0,0,0,0,0,0,0,0,0,0,0,0
27,"Forma voladora, épica",115606,1,32776,0,0,0,0,246,0,0,0,0,0,0,0,0
