ID,Name,Message_lang
1,MSG_TITLE_WOW,World of Warcraft
2,MSG_GX_INIT_FAILED_D3D,World of Warcraft no ha podido iniciar la aceleración 3D. Asegúrate de tener instalado DirectX 9.0c y de que los controladores de tu tarjeta gráfica están actualizados.
3,MSG_GX_INIT_FAILED,World of Warcraft no ha podido iniciar la aceleración 3D.
4,MSG_HW_UNSUPPORTED,"World of Warcraft no funciona con tu tarjeta aceleradora 3D. Para más información, entra en https://eu.battle.net/support/es/article/requisitos-minimos-del-sistema-para-world-of-warcraft"
5,MSG_HW_CHANGED,El hardware ha cambiado. ¿Deseas volver a cargar las opciones por defecto?
9,MSG_GLUEXML_UI_CORRUPT,Los archivos de la interfaz de inicio de sesión están dañados. Vuelve a instalar el juego.
10,MSG_FRAMEXML_UI_CORRUPT,Los archivos de la interfaz de juego están dañados. Elimina la carpeta Interface\FrameXML.
11,MSG_GX_NO_DEVICE,Imposible encontrar un dispositivo de visualización adecuado. Cerrando el programa.
12,MSG_REMOTE_DESKTOP,No es posible jugar a World of Warcraft a través de una conexión de escritorio remoto. Cerrando el programa.
14,MSG_CLIENT_INIT,World of Warcraft está realizando configuraciones iniciales de los archivos de datos requeridos. Puede tardar unos minutos. También puedes cancelar este proceso y permitir que el Programa de inicio complete la instalación.
15,MSG_DOWNLOAD_FAILED,No se han podido obtener datos importantes del juego. Comprueba tu conexión a internet.
16,MSG_DISK_FULL,El disco está lleno. Libera espacio en la unidad.
17,MSG_GX_FAIL_API_VERSION,"Para jugar a World of Warcraft se necesita tener instalada la última versión de DirectX Runtime. Para obtener más información, visita https://eu.battle.net/support/es/article/driverupdates"
18,MSG_GX_FAIL_NO_DRIVER,WoW no ha podido encontrar una tarjeta gráfica adecuada. Comprueba que tu controlador de gráficos está actualizado y que no se está ejecutando en modo seguro. Más información en: https://eu.battle.net/support/es/article/driverupdates
27,MSG_COMPATIBILITY_ERROR,No se ha podido iniciar World of Warcraft por la configuración del modo de compatibilidad. Desactiva el modo de compatibilidad para WoW.exe y Launcher.exe e intenta iniciar el juego de nuevo. Los pasos a seguir para desactivar el modo de compatibilidad se encuentran en: http://www.battle.net/support/article/8500085
134,MSG_GX_SLOW_SHADER_BUILDING_WARNING,Hay un problema de los controladores de GPU que puede ralentizar bastante la primera ejecución del juego mientras se activan los sombreados por primera vez. Este proceso puede tardar varios minutos.
135,MSG_INTEL_13TH_OR_14TH_GEN_MICROCODE_WARNING,World of Warcraft ha detectado que tu ordenador utiliza un procesador Intel de 13.ª o 14.ª generación que no tiene instaladas las actualizaciones adecuadas para solucionar posibles problemas de inestabilidad del procesador. Es muy recomendable que actualices la BIOS de tu placa base a la última versión con el microcódigo 0x12B de Intel o posterior.
136,MSG_MOTHERBOARD_BIOS_UPDATE,Consulta %s para obtener más información sobre la actualización de la BIOS de tu placa base.
137,MSG_MOTHERBOARD_INFO,"Nombre de la CPU: %s
Nombre de la placa base: %s
Fecha de salida de la BIOS: %s
Versión del microcódigo: 0x%llX"
