WarningText_lang,ID,SpellID,OverrideCriticalTimeRemaining,Priority,PlayerConditionID,SoundKitID,Field_10_1_5_50199_007
,2,358434,0,0,0,0,0
,4,388446,2000,1,0,0,0
,5,314124,0,0,0,12197,0
,6,251742,0,0,0,183768,0
¡Impacto!,10,1218203,0,1,0,0,0
,11,358608,0,0,0,0,0
,12,387623,0,0,0,0,0
,13,395256,3000,1,0,63968,0
,14,396363,4000,0,0,0,0
,19,369192,10000,0,0,0,0
¡La corrosión está a punto de corromper tu mente!,24,407406,5000,0,0,0,0
[DNT] Test Stacks,25,409063,15000,1,0,12202,2
¡La chatarra rodante colapsa!,27,461536,5000,0,0,0,0
¡Tu destino se está separando!,28,1224865,0,0,5793,0,15
¡Ola de choque cristalina ocurrirá pronto!,31,1243721,8000,0,0,0,0
¡Revestimiento de cristal ocurrirá pronto!,32,1227373,6000,0,0,0,0
¡Alleria está lista para disparar!,33,1233602,3000,0,0,0,0
¡Pavor a lo desconocido entrará en erupción pronto!,34,1225221,3000,0,0,0,0
¡El reshii planeador está casi agotado!,35,1235114,4000,0,0,0,0
¡A punto de que te electrocuten!,39,1246457,0,0,0,0,0
¡La gravedad comienza a abrumarte!,40,1234570,0,0,0,0,8
¡Alleria está lista para disparar!,41,1237623,3000,0,0,0,0
¡Agarre de la nada se está agotando!,42,1232470,4000,0,0,0,0
La extinción se acerca...,46,1257299,0,0,0,0,0
¡Fatalidad!,47,1217973,10000,0,0,0,0
Busca el Vacío o perece,48,1262972,0,0,0,0,0
Busca la Luz o perece,49,1262983,0,0,0,0,0
¡Objetivo fijado!,50,1218187,0,0,0,0,0
|TInterface\ICONS\SPELL_NZinsanity_ChasedByShadows.blp:20|t ¡Tu Marca de las Sombras está a punto de explotar!,51,1270497,2500,0,0,0,0
¡Expulsión del Vacío está a punto de entrar en erupción!,53,1283236,3000,0,0,0,0
