Name_lang,ID,StoreFrontID,OrderIndex,Icon,Field_11_0_7_57361_005
Mascotas,1,1,1,656556,1
Monturas,2,1,10,132261,3
Armas de fuego,3,1,40,1934251,2
Armas,4,1,30,1958262,2
Bisoño,5,1,50,4279080,2
Elegante,6,1,60,5519312,2
Cabeza,7,1,90,1941312,2
Corpulento,8,1,70,5559633,2
Tempestuoso,9,1,80,1941310,2
Tabardo,10,1,100,5690395,2
Espalda,13,1,110,2428524,2
Juguetes,14,1,15,237429,4
Otros,15,1,20,1542848,4
[PH] Test Category 1,16,2,10,6013778,1
[PH] Test Category 2,17,2,20,6074803,2
Armadura,18,3,0,1602705,2
Monturas,19,3,10,132261,3
Armas,20,3,30,1958262,2
Mascotas,21,3,1,656556,1
Decoración,22,3,20,132930,4
