Name_lang,Description_lang,ID,StoreFrontID,AccountStoreCategoryID,OrderIndex,Price,CurrencyTypesID,Field_11_0_7_57361_008,RefundDuration,Field_11_0_7_57361_010,Field_11_0_7_57361_011,SpellID,TransmogSetID,CreatureDisplayInfoID,UiModelSceneID,Icon
Félix,"|cFF00ccffMascota de The War Within|r|n|cFF1eff00Mascota de Plunderstorm|r|n|nDesbloquea la mascota Félix. En Plunderstorm, Da'kash Registro Siniestro puede invocar a tu mascota por ti.|n|n""Está muy emocionado de estar aquí"".",1,1,1,10,250,3139,0,14400,0,0,439475,0,118654,0,0
Burbujas,"|cFF00ccffMascota de The War Within|r|n|cFF1eff00Mascota de Plunderstorm|r|n|nDesbloquea la mascota Burbujas. En Plunderstorm, Da'kash Registro Siniestro puede invocar a tu mascota por ti.|n|n""¡Te siguió hasta tu casa!""|n|n|cFFFFFFFFMascota adicional: Tenacitas|r|n|n|CFFa335eeMascota de Classic|r|n|nDesbloquea la mascota Tenacitas, el Saqueador, en Cataclysm: Classic.|n|n""¡Cuidado con el filo!""",2,1,1,20,500,3139,0,0,0,0,439477,0,118078,0,0
Glamrok,"|cFF00ccffMascota de The War Within|r|n|cFF1eff00Mascota de Plunderstorm|r|n|nDesbloquea la mascota Glamrok. En Plunderstorm, Da'kash Registro Siniestro puede invocar a tu mascota por ti.|n|n""Un compañero amante del botín"".",3,1,1,30,1000,3139,0,14400,0,0,439478,0,118606,0,0
Fulgurejo,"|cFF00ccffMascota de The War Within|r
|cFF1eff00Mascota de Plunderstorm|r

Desbloquea la mascota Fulgurejo. En Plunderstorm, Da'kash Registro Siniestro puede invocar a tu mascota por ti.

""Atrapar con las pinzas todo lo que brilla es su estilo de vida"".",4,1,1,40,2000,3139,0,14400,4,0,0,0,124130,0,0
Semental de las mareas plateado,"|cFF00ccffMontura de The War Within|r|n|nDesbloquea la montura submarina Semental de las mareas plateado.|n|n""Huele a camarón"".",5,1,2,10,1500,3139,0,14400,0,0,437516,0,92255,965,0
Plumarino real,"|cFF00ccffMontura de The War Within|r|n|nDesbloquea la montura voladora Plumarino real.|n|n""Con todo el botín que has acumulado, sería una pena no tener un loro gigante"".",6,1,2,20,5000,3139,0,14400,0,0,437517,0,117981,80,0
Loro pirata,"|cFF00ccffMontura de The War Within|r|n|nDesbloquea la montura de dracoequitación Loro pirata.|n|n""El capitán te ha cedido su propio loro enorme y temperamental. ¡Buena suerte!""|n|n|cFFFFFFFFMontura adicional: Loro pirata|r|n|n|CFFa335eeMontura de Classic|r|n|nDesbloquea la montura voladora Loro pirata en Cataclysm: Classic.",7,1,2,30,5000,3139,0,0,0,0,437164,0,117262,80,0
Crocolisco de medianoche de amo del saqueo,"|cFF00ccffMontura de The War Within|r|n|nDesbloquea la montura Crocolisco de medianoche de amo del saqueo.|n|n""Un asiento de lujo hecho con cuero negro de alta calidad"".",8,1,2,40,5000,3139,0,14400,4,0,0,0,121170,80,0
Parloro,"|cFF00ccffMascota de The War Within|r|n|n|cFF1eff00Mascota de Plunderstorm|rDesbloquea la mascota Parloro. En Plunderstorm, Da'kash Registro Siniestro puede invocar a tu mascota por ti.|n|n""Irónicamente, no es un gran negociante"".",9,1,1,50,2000,3139,0,14400,4,0,0,0,124174,0,0
Daga letal,"|cFF00ccffApariencia de The War Within|r|n|cFF1eff00Apariencia de Plunderstorm|r|n|nDesbloquea la apariencia Daga letal. Para cambiar apariencias en Plunderstorm, consulta a Da'kash Registro Siniestro.|n|n""Ahora eres parte de la Tripulación de Pata de Barril. Aquí está tu daga, ¡ponte a saquear!"".",10,1,4,10,250,3139,0,14400,1,0,439389,3468,0,0,0
Sable de acero negro,"|cFF00ccffApariencia de The War Within|r|n|cFF1eff00Apariencia de Plunderstorm|r|n|nDesbloquea la apariencia Sable de acero negro. Para cambiar apariencias en Plunderstorm, consulta a Da'kash Registro Siniestro.|n|n""Forjado para la acción encarnizada en altamar"".",11,1,4,20,250,3139,0,14400,1,0,439391,3470,0,0,0
