AreaName_lang,ID,OrderIndex,PlayerConditionID,Field_11_1_5_59571_004,AreaID
Cámara de la luz perdida,1,0,68604,0,9994
Bancal de los Artesanos,2,1,63282,0,8670
Ancla al Agua,3,0,63448,0,9401
El Calabozo de Borrachos,4,0,63426,0,9617
Hundonado,5,0,5703,0,9617
Escondite de Heyman,6,0,63291,0,8502
El Bar de Arena,7,0,63292,0,8733
El Foso Aullante,8,0,5703,0,9698
Taberna de Torga,9,0,63306,0,8502
Barriga de Ballena,10,0,63374,0,8567
Guarida de Peones,11,0,65214,0,5484
Gruta de Grong,12,0,65990,0,9420
Gruta de Grong,13,0,65990,0,8731
Refugio,15,0,67602,0,9979
Refugio,16,0,67602,0,8717
Furia de Anduin,17,0,67138,0,10454
Navegante del Alba,18,0,67139,0,10454
Melodía de Tiffin,19,0,67140,0,10454
Corazón de León,20,0,67141,0,10454
Corazón de León,21,0,67141,0,10455
Melodía de Tiffin,22,0,67140,0,10455
Navegante del Alba,23,0,67139,0,10455
Furia de Anduin,24,0,67138,0,10455
Luz de los loa,25,0,68603,0,9994
Salón del Duque demente,27,0,73061,0,10985
Guarida de Costel,28,0,73506,0,10985
Mansión de esbirros,29,1,76787,0,10985
Trono del Primus,30,0,78035,0,11466
Ciudadela de la Duda,31,0,0,0,13311
Zerekriss,42,0,85380,0,11462
La Suturería,43,0,86352,0,13473
Zolramus,44,0,86354,0,13473
Salón de Arkoban,45,0,87430,0,13400
Cámara de tormentos: Jaina,46,0,87491,0,13404
Cámara de tormentos: Thrall,47,0,87550,0,13413
Círculo de Danza,48,0,88819,0,11510
Círculo de Danza,49,0,88819,0,12244
Círculo de Danza,50,0,88819,0,12243
Osario de los Desterrados,51,0,89786,0,13575
Templo de la Devoción,52,0,91076,0,11379
La Falla,53,0,91308,0,13196
La Falla,54,0,91308,0,11524
La Falla,55,0,91308,0,11528
La Falla,56,0,91308,0,11530
La Falla,57,0,91308,0,11400
La Falla,58,0,91308,0,13217
La Falla,59,0,91308,0,13216
La Falla,60,0,91308,0,13560
La Falla,61,0,91308,0,11526
La Falla,62,0,91308,0,13215
Foso de los Insolentes,63,0,91308,0,13432
La Falla,64,0,91308,0,11525
La Falla,65,0,91308,0,13222
La Falla,66,0,91308,0,11529
La Falla,67,0,91308,0,13223
La Falla,68,0,91308,0,13437
La Falla,69,0,91308,0,13218
La Falla,70,0,91308,0,13491
La Falla,71,0,91308,0,13492
La Falla,72,0,91308,0,11527
La Falla,73,0,91308,0,13219
La Falla,74,0,91308,0,13221
La Falla,75,0,91308,0,13570
La Falla,76,0,91308,0,13624
La Falla,77,0,91308,0,13625
La Falla,78,0,91308,0,13626
La Falla,79,0,91308,0,13627
La Falla,80,0,91308,0,13628
La Falla,81,0,91308,0,13629
La Falla,82,0,91308,0,13630
La Falla,83,0,91308,0,13631
La Falla,84,0,91308,0,13666
La Falla,85,0,91308,0,13673
La Falla,86,0,91308,0,13677
La Falla,87,0,91308,0,13538
Penitencia del Rey Caído,88,0,92820,0,13561
El Promontorio del Ojo,89,3,92897,0,13561
El Baño de Burbujas,90,0,102752,0,14158
El Antro del Errante,91,0,105179,0,13646
Bóvedas de Zskera: Ur,92,0,105458,0,14619
Bóvedas de Zskera: Az,93,0,105457,0,14619
Bóvedas de Zskera,94,0,108147,0,14619
Bóvedas de Zskera: Kx,95,0,106952,0,14619
Bóveda de Zskera: Ix,96,0,105459,0,14619
Campamento de Coalescencia: Ardescarcha,97,3,109548,0,13892
Campamento de Coalescencia: Ventoceniza,98,1,107864,0,13754
Campamento de Coalescencia: Ardescarcha,99,1,109548,0,13860
Petrihogar,100,0,111020,0,14875
Gran Muralla,101,1,125385,0,15362
Gran Muralla,103,1,125385,0,15364
Bancal de Majestuosidad,104,1,125954,0,15365
El Confín Ascendente,105,1,126053,0,15365
Arena Kili-zar,106,1,126056,0,15365
Emprender S.A.,107,0,127336,0,15351
Emprender S.A.,108,0,127336,0,15350
El Buscafortunas,109,0,128497,0,15347
