ID,SourceAlliance_lang,SourceHorde_lang,AzeriteEssenceID,Tier,MajorPowerDescription,MinorPowerDescription,MajorPowerActual,MinorPowerActual
5,"Banda El Palacio Eterno|n|cFFFFD200Combina:|r Relicario acuoso|n|cFFFFD200Botín:|r Radiancia de Azshara, La corte de la reina o Reina Azshara",,2,1,293019,294668,293019,294668
6,"Banda El Palacio Eterno|n|cFFFFD200Combina:|r Relicario acuoso|n|cFFFFD200Botín:|r Radiancia de Azshara, La corte de la reina o Reina Azshara",,2,2,294653,294687,298080,298082
7,"Banda El Palacio Eterno|n|cFFFFD200Combina:|r Relicario acuoso|n|cFFFFD200Botín:|r Radiancia de Azshara, La corte de la reina o Reina Azshara",,2,3,294650,294688,298081,298083
8,Banda El Palacio Eterno|n|cFFFFD200Botín:|r Reina Azshara - Mítico,,2,4,294655,294689,298081,298083
9,"Campos de batalla|n|cFFFFD200Misión:|r ""Asedio de los campos de batalla""|n|cFFFFD200PNJ de entrega:|r Mariscal Gabriel|n|cFFFFD200Ubicación:|r Muelles Aspafresno, Boralus","Campos de batalla|n|cFFFFD200Misión:|r ""Asedio de los campos de batalla""|n|cFFFFD200PNJ de entrega:|r Xander Silberman|n|cFFFFD200Ubicación:|r Mugambala",3,1,293031,294910,293031,294910
10,"Campos de batalla|n|cFFFFD200Logro:|r ""Camorrista del campo de batalla""|n|cFFFFD200Vendedor:|r Mariscal Gabriel|n|cFFFFD200Ubicación:|r Muelles Aspafresno, Boralus|n|cFFFFD200Costo:|r 25 Marcas de Honor","Campos de batalla|n|cFFFFD200Logro:|r ""Camorrista del campo de batalla""|n|cFFFFD200Vendedor:|r Xander Silberman|n|cFFFFD200Ubicación:|r Mugambala|n|cFFFFD200Costo:|r 25 Marcas de Honor",3,2,294906,294919,300009,300012
11,"Campos de batalla|n|cFFFFD200Logro:|r ""Estratega del campo de batalla""|n|cFFFFD200Vendedor:|r Mariscal Gabriel|n|cFFFFD200Ubicación:|r Muelles Aspafresno, Boralus|n|cFFFFD200Costo:|r 25 Marcas de Honor","Campos de batalla|n|cFFFFD200Logro:|r ""Estratega del campo de batalla""|n|cFFFFD200Vendedor:|r Xander Silberman|n|cFFFFD200Ubicación:|r Mugambala|n|cFFFFD200Costo:|r 25 Marcas de Honor",3,3,294907,294920,300010,300013
12,"Campos de batalla|n|cFFFFD200Logro:|r ""Maestro del campo de batalla""|n|cFFFFD200Vendedor:|r Mariscal Gabriel|n|cFFFFD200Ubicación:|r Muelles Aspafresno, Boralus","Campos de batalla|n|cFFFFD200Logro:|r ""Maestro del campo de batalla""|n|cFFFFD200Vendedor:|r Xander Silberman|n|cFFFFD200Ubicación:|r Mugambala",3,4,294908,294922,300010,300013
13,"Expediciones insulares|n|cFFFFD200Misión:|r ""Azerita para la Alianza""|n|cFFFFD200PNJ de entrega:|r Flynn Céfiro|n|cFFFFD200Ubicación:|r Muelles de Boralus|n","Expediciones insulares|n|cFFFFD200Misión:|r ""Azerita para la Horda""|n|cFFFFD200PNJ de entrega:|r Capitán Rez'okun|n|cFFFFD200Ubicación:|r Puerto de Zandalar",4,1,295186,295078,295186,295078
14,"Expediciones insulares|n|cFFFFD200Combina:|r Fragmentos del mapa del tesoro perdido de Zem'lan|n|cFFFFD200Botín:|r Expediciones insulares|n|cFFFFD200Mesa de misiones:|r ""Tesoro perdido del rey pirata""|n|cFFFFD200Ubicación:|r Muelles de Boralus","Expediciones insulares|n|cFFFFD200Combina:|r Fragmentos del mapa del tesoro perdido de Zem'lan|n|cFFFFD200Botín:|r Expediciones insulares|n|cFFFFD200Mesa de misiones:|r ""Tesoro perdido del rey pirata""|n|cFFFFD200Ubicación:|r Puerto de Zandalar",4,2,295209,295208,298628,298627
15,"Expediciones insulares|n|cFFFFD200Recoge:|r Informes de inteligencia de veta del mundo|n|cFFFFD200Recompensa de misión:|r ""Azerita para la Alianza""|n|cFFFFD200PNJ de entrega:|r Flynn Céfiro|n|cFFFFD200Mesa de misiones:|r ""Rastrear la veta del mundo""|n|cFFFFD200Ubicación:|r Muelles de Boralus","Expediciones insulares|n|cFFFFD200Recoge:|r Informes de inteligencia de veta del mundo|n|cFFFFD200Recompensa de misión:|r ""Azerita para la Alianza""|n|cFFFFD200PNJ de entrega:|r Capitán Rez'okun|n|cFFFFD200Mesa de misiones:|r ""Rastrear la veta del mundo""|n|cFFFFD200Ubicación:|r Puerto de Zandalar",4,3,295160,295165,299334,299333
16,"Expediciones insulares|n|cFFFFD200Misión:|r ""Azerita para la Alianza""|n|cFFFFD200PNJ de entrega:|r Flynn Céfiro|n|cFFFFD200Mesa de misiones:|r ""La última veta del mundo""|n|cFFFFD200Ubicación:|r Muelles de Boralus|n","Expediciones insulares|n|cFFFFD200Misión:|r ""Azerita para la Horda""|n|cFFFFD200PNJ de entrega:|r Capitán Rez'okun|n|cFFFFD200Mesa de misiones:|r ""La última veta del mundo""|n|cFFFFD200Ubicación:|r Puerto de Zandalar",4,4,295210,295166,299334,299333
17,Calabozos míticos|n|cFFFFD200Combina:|r Ánima de vida concentrada|n|cFFFFD200Botín:|r Jefes finales de calabozos,,5,1,295258,295246,295258,295246
18,Calabozos míticos|n|cFFFFD200Combina:|r Ánima de vida concentrada|n|cFFFFD200Botín:|r Jefes finales de calabozos,,5,2,295262,295251,299336,299335
