Code,FormatShort_lang,FormatLong_lang,LicenseAcceptText_lang,ID,NumericCode,Field_1_15_1_53009_006,Field_1_15_1_53009_007
USD,$%s,$%s,"Confirmación de usuario: al hacer clic en el botón Comprar ahora, confirmo que he leído y acepto las |HurlIndex:14|h|cff71d5ffCondiciones de venta|r|h y la |HurlIndex:15|h|cff71d5ffPolítica de privacidad|r|h y confirmo esta compra.",1,840,16,833
GBP,£%s,£%s,"Si haces clic en el botón Pagar ahora, aceptas las |HurlIndex:16|h|cff71d5ffCondiciones de venta|r|h y la entrega inmediata de tu pedido. Una vez que se haya iniciado el proceso de entrega, perderás el derecho a cancelar tu pedido.",2,826,16,836
KRW,%s*,%s monedas de batalla,"Confirmación de usuario: al hacer clic en el botón Comprar ahora, confirmo que he leído y acepto los términos y condiciones relativos a esta transacción (entre ellos las 
|HurlIndex:9|h|cff71d5ffCondiciones de venta|r|h, la |HurlIndex:8|h|cff71d5ffPolítica de reembolso|r|h y la |HurlIndex:13|h|cff71d5ffPolítica de privacidad|r|h) y confirmo esta compra.",3,410,48,834
EUR,€%s,€%s,"Si haces clic en el botón Pagar ahora, aceptas las |HurlIndex:16|h|cff71d5ffCondiciones de venta|r|h y la entrega inmediata de tu pedido. Una vez que se haya iniciado el proceso de entrega, perderás el derecho a cancelar tu pedido.",4,978,16,836
RUB,%s p.,%s p.,"Si haces clic en el botón Pagar ahora, aceptas las |HurlIndex:16|h|cff71d5ffCondiciones de venta|r|h y la entrega inmediata de tu pedido. Una vez que se haya iniciado el proceso de entrega, perderás el derecho a cancelar tu pedido.",5,643,16,836
COP,$%s,$%s,"Confirmación de usuario: al hacer clic en el botón Comprar ahora, confirmo que he leído y acepto las |HurlIndex:14|h|cff71d5ffCondiciones de venta|r|h y la |HurlIndex:15|h|cff71d5ffPolítica de privacidad|r|h y confirmo esta compra.",6,170,4,833
PEN,S/.%s,S/.%s,"Confirmación de usuario: al hacer clic en el botón Comprar ahora, confirmo que he leído y acepto las |HurlIndex:14|h|cff71d5ffCondiciones de venta|r|h y la |HurlIndex:15|h|cff71d5ffPolítica de privacidad|r|h y confirmo esta compra.",7,604,4,833
ARS,$%s,$%s,"Confirmación de usuario: al hacer clic en el botón Comprar ahora, confirmo que he leído y acepto las |HurlIndex:14|h|cff71d5ffCondiciones de venta|r|h y la |HurlIndex:15|h|cff71d5ffPolítica de privacidad|r|h y confirmo esta compra.",8,32,0,833
CLP,$%s,$%s,"Confirmación de usuario: al hacer clic en el botón Comprar ahora, confirmo que he leído y acepto las |HurlIndex:14|h|cff71d5ffCondiciones de venta|r|h y la |HurlIndex:15|h|cff71d5ffPolítica de privacidad|r|h y confirmo esta compra.",9,152,0,833
MXN,$%s,$%s,"Confirmación de usuario: al hacer clic en el botón Comprar ahora, confirmo que he leído y acepto las |HurlIndex:14|h|cff71d5ffCondiciones de venta|r|h y la |HurlIndex:15|h|cff71d5ffPolítica de privacidad|r|h y confirmo esta compra.",10,484,0,833
BRL,R$ %s,R$ %s,"Confirmación de usuario: al hacer clic en el botón Comprar ahora, confirmo que he leído y acepto las |HurlIndex:14|h|cff71d5ffCondiciones de venta|r|h y la |HurlIndex:15|h|cff71d5ffPolítica de privacidad|r|h y confirmo esta compra.",11,986,0,833
AUD,$%s,$%s,"Confirmación de usuario: al hacer clic en el botón Comprar ahora, confirmo que he leído y acepto las |HurlIndex:14|h|cff71d5ffCondiciones de venta|r|h y la |HurlIndex:15|h|cff71d5ffPolítica de privacidad|r|h y confirmo esta compra.",12,36,0,833
SGD,$%s,$%s,"Confirmación de usuario: al hacer clic en el botón Comprar ahora, confirmo que he leído y acepto las |HurlIndex:14|h|cff71d5ffCondiciones de venta|r|h y la |HurlIndex:15|h|cff71d5ffPolítica de privacidad|r|h y confirmo esta compra.",13,702,0,833
CPT,%s*,%s monedas de batalla,"Confirmación de usuario: al hacer clic en el botón Comprar ahora, confirmo que he leído y acepto las |HurlIndex:18|h|cff71d5ffCondiciones de venta|r|h y la |HurlIndex:19|h|cff71d5ffPolítica de privacidad|r|h y confirmo esta compra.",14,15,32,848
TPT,NT$%s,NT$%s,"Confirmación de usuario: al hacer clic en el botón Comprar ahora, confirmo que he leído y acepto las |HurlIndex:10|h|cff71d5ffCondiciones de venta|r|h y la |HurlIndex:20|h|cff71d5ffPolítica de privacidad|r|h y confirmo esta compra.",15,16,36,840
XTS,%s XTS,%s XTS,,16,963,2,960
XHG,,,,17,17,7,0
XXX,,,,18,999,7,0
XSG,,,,19,19,7,0
XPG,,,,20,20,7,0
XTU,,,,21,21,2,0
XTE,,,,22,22,2,0
XTK,,,,23,23,2,0
XTW,,,,24,24,2,0
XTC,,,,25,25,2,0
XDC,,,,26,26,7,0
XTX,,,,27,28,2,0
JPY,¥%s,¥%s,"Confirmación de usuario: al hacer clic en el botón Comprar ahora, confirmo que he leído y acepto las |HurlIndex:14|h|cff71d5ffCondiciones de venta|r|h y la |HurlIndex:15|h|cff71d5ffPolítica de privacidad|r|h y confirmo esta compra.",28,392,4,833
CAD,CAD %s,CAD %s,"Confirmación de usuario: al hacer clic en el botón Comprar ahora, confirmo que he leído y acepto las |HurlIndex:14|h|cff71d5ffCondiciones de venta|r|h y la |HurlIndex:15|h|cff71d5ffPolítica de privacidad|r|h y confirmo esta compra.",29,124,0,833
NZD,NZD %s,NZD %s,"Confirmación de usuario: al hacer clic en el botón Comprar ahora, confirmo que he leído y acepto las |HurlIndex:14|h|cff71d5ffCondiciones de venta|r|h y la |HurlIndex:15|h|cff71d5ffPolítica de privacidad|r|h y confirmo esta compra.",30,554,0,833
GEL,GEL %s,GEL %s,"Si haces clic en el botón Pagar ahora, aceptas las |HurlIndex:16|h|cff71d5ffCondiciones de venta|r|h y la entrega inmediata de tu pedido. Una vez que se haya iniciado el proceso de entrega, perderás el derecho a cancelar tu pedido.",31,981,16,836
TRY,TRY %s,TRY %s,"Si haces clic en el botón Pagar ahora, aceptas las |HurlIndex:16|h|cff71d5ffCondiciones de venta|r|h y la entrega inmediata de tu pedido. Una vez que se haya iniciado el proceso de entrega, perderás el derecho a cancelar tu pedido.",32,949,16,2020
KZT,KZT %s,KZT %s,"Si haces clic en el botón Pagar ahora, aceptas las |HurlIndex:16|h|cff71d5ffCondiciones de venta|r|h y la entrega inmediata de tu pedido. Una vez que se haya iniciado el proceso de entrega, perderás el derecho a cancelar tu pedido.",33,398,16,836
UAH,UAH %s,UAH %s,"Si haces clic en el botón Pagar ahora, aceptas las |HurlIndex:16|h|cff71d5ffCondiciones de venta|r|h y la entrega inmediata de tu pedido. Una vez que se haya iniciado el proceso de entrega, perderás el derecho a cancelar tu pedido.",34,980,16,836
HKD,HK$ %s,HK$ %s,"Confirmación de usuario: al hacer clic en el botón Comprar ahora, confirmo que he leído y acepto las |HurlIndex:10|h|cff71d5ffCondiciones de venta|r|h y la |HurlIndex:20|h|cff71d5ffPolítica de privacidad|r|h y confirmo esta compra.",35,344,16,840
AED,AED %s,AED %s,"Si haces clic en el botón Pagar ahora, aceptas las |HurlIndex:16|h|cff71d5ffCondiciones de venta|r|h y la entrega inmediata de tu pedido. Una vez que se haya iniciado el proceso de entrega, perderás el derecho a cancelar tu pedido.",38,784,16,836
BGN,%s лв,%s лв,"Si haces clic en el botón Pagar ahora, aceptas las |HurlIndex:16|h|cff71d5ffCondiciones de venta|r|h y la entrega inmediata de tu pedido. Una vez que se haya iniciado el proceso de entrega, perderás el derecho a cancelar tu pedido.",39,975,16,836
CHF,Fr. %s,Fr. %s,"Si haces clic en el botón Pagar ahora, aceptas las |HurlIndex:16|h|cff71d5ffCondiciones de venta|r|h y la entrega inmediata de tu pedido. Una vez que se haya iniciado el proceso de entrega, perderás el derecho a cancelar tu pedido.",40,756,16,836
CZK,CZK %s,CZK %s,"Si haces clic en el botón Pagar ahora, aceptas las |HurlIndex:16|h|cff71d5ffCondiciones de venta|r|h y la entrega inmediata de tu pedido. Una vez que se haya iniciado el proceso de entrega, perderás el derecho a cancelar tu pedido.",41,203,16,836
DKK,kr. %s,kr. %s,"Si haces clic en el botón Pagar ahora, aceptas las |HurlIndex:16|h|cff71d5ffCondiciones de venta|r|h y la entrega inmediata de tu pedido. Una vez que se haya iniciado el proceso de entrega, perderás el derecho a cancelar tu pedido.",42,208,16,836
ILS,ILS %s,ILS %s,"Si haces clic en el botón Pagar ahora, aceptas las |HurlIndex:16|h|cff71d5ffCondiciones de venta|r|h y la entrega inmediata de tu pedido. Una vez que se haya iniciado el proceso de entrega, perderás el derecho a cancelar tu pedido.",43,376,16,836
NOK,%s kr,%s kr,"Si haces clic en el botón Pagar ahora, aceptas las |HurlIndex:16|h|cff71d5ffCondiciones de venta|r|h y la entrega inmediata de tu pedido. Una vez que se haya iniciado el proceso de entrega, perderás el derecho a cancelar tu pedido.",44,578,16,836
PLN,%s zł,%s zł,"Si haces clic en el botón Pagar ahora, aceptas las |HurlIndex:16|h|cff71d5ffCondiciones de venta|r|h y la entrega inmediata de tu pedido. Una vez que se haya iniciado el proceso de entrega, perderás el derecho a cancelar tu pedido.",45,985,16,836
QAR,QAR %s,QAR %s,"Si haces clic en el botón Pagar ahora, aceptas las |HurlIndex:16|h|cff71d5ffCondiciones de venta|r|h y la entrega inmediata de tu pedido. Una vez que se haya iniciado el proceso de entrega, perderás el derecho a cancelar tu pedido.",46,634,16,836
RSD,%s din,%s din,"Si haces clic en el botón Pagar ahora, aceptas las |HurlIndex:16|h|cff71d5ffCondiciones de venta|r|h y la entrega inmediata de tu pedido. Una vez que se haya iniciado el proceso de entrega, perderás el derecho a cancelar tu pedido.",47,941,16,836
