Name_lang,ID,DyeColorCategoryID,GradientTextureIndex,ItemID,SwatchColorStart,SwatchColorEnd,SortOrder
Teca cálida,3,2,1,259053,-3761562,-14808573,300
Abedul básico,4,2,2,259078,-75605,-12571100,304
Marrón mezquite,5,2,3,259096,-6324389,-14873596,302
Pinar,6,2,4,259097,-5790596,-15396605,308
Leñoscuro,7,2,5,259098,-7372429,-16185590,307
Abedul de las Tierras Altas,8,2,6,259099,-2109778,-10463152,305
Tostado de roble sagrado,9,2,7,259100,-1653892,-14282491,303
Ocre pálido,10,2,8,259101,-4149098,-14806509,306
Caoba,11,2,9,259102,-9878988,-13428202,299
Duramen,12,2,10,259103,-7703477,-15398392,301
Aceromenta,13,3,52,259104,-4140594,-15724271,200
Cobre,14,3,53,259105,-3699899,-15660537,216
Oro zandalari,15,3,54,259106,-669635,-14218240,212
Latón,16,3,55,259107,-1847687,-15200255,210
Bronce,17,3,56,259108,-1595068,-10801390,214
Hierro Negro,18,3,57,259109,-7959152,-16316664,205
Acero kultirano,19,3,58,259110,-6105647,-15461613,202
Oro,20,3,59,258838,-2114016,-3835119,213
Garraférrea,21,3,60,259111,-9206155,-16052726,208
Oro oscuro,22,3,61,259112,-6520009,-15988990,211
Rojo Horda,23,1,102,259113,-5170146,-14351870,100
Verde frondoso,24,1,103,259114,-12607410,-16248059,132
Azul Alianza,25,1,104,259115,-12626542,-16447725,121
Violeta Kirin Tor,26,1,105,259116,-7451976,-15726821,107
Amarillo furiarena,27,1,106,259117,-4875226,-14937339,150
Calabaza Elwynn,28,1,107,259118,-1408997,-9879781,163
Fucsia Tormenta Abisal,29,1,108,259119,-4695372,-14283993,105
Blanco hueso,30,1,109,259120,-1592,-5990278,153
Negro obsidium,31,1,110,259121,-12564915,-16711423,191
Marrón terráneo,32,1,111,259122,-9086921,-15660023,160
Gris Stormheim,33,1,112,259123,-9146519,-15659508,192
Verde salviargenta,34,1,113,259124,-6244468,-14275551,138
Verde Un'Goro,35,1,114,259125,-14714011,-16247535,130
Violeta Vacío,36,1,115,259126,-10405966,-15856364,108
Rojo flor de fuego,37,1,116,259127,-5685473,-15268092,170
Arena Kalimdor,38,1,117,259128,-3366567,-14937593,159
Azul céfirus,39,1,118,259129,-8074523,-14726823,123
Lila arrullanoche,40,1,119,259130,-6586406,-13557167,109
Arcavino,41,1,120,259131,-5552003,-14415090,104
Marrón pellejo de kodo,42,1,121,259132,-6003902,-14415349,162
Verde Revolcafango,43,1,122,259133,-6841541,-15986428,139
Ensoñación Esmeralda,44,1,123,259134,-10569071,-16246510,131
Azul medianoche,45,1,124,259135,-12693806,-16250079,122
Verde azulado vórtice,46,1,125,259136,-5711133,-15917536,124
Amarillo solea,47,1,126,259137,-2665,-1849512,152
Oro sabana,48,1,127,259138,-1851307,-6129407,151
Rosa gilneano,49,1,128,259139,-5887417,-15203320,102
Amatista baya lunar,50,1,129,259140,-8501643,-15530480,106
Gris pardo Vol'dun,51,1,130,259141,-9015724,-15331064,154
Óxido Trinquete,52,1,131,259142,-9225937,-15267834,172
Verde moho de tumba,53,1,132,259143,-10786983,-16183799,137
Ciruela Renegado,54,1,133,259144,-9215364,-15725039,113
Marrón Fauces de Madera,55,1,134,259145,-9610414,-15199471,155
Azul marino Nazjatar,56,1,135,259146,-11775890,-16053233,120
Verde Colinas Pardas,57,1,136,259147,-11573440,-15985656,133
Verde azulado maresabio,58,1,137,259148,-12746368,-16116973,125
Mármol altonato,59,1,138,259149,-2568760,-14147555,193
Raíz de tierra,60,1,139,259150,-8688086,-16054010,140
Rojo marregal profundo,61,1,140,259151,-9885913,-15858427,190
Nogal de las Tierras del Interior,62,1,141,259152,-8042424,-15661048,173
Gris lirio crepuscular,63,1,142,259153,-5465645,-10859651,110
Rojo amapola de lluvia,64,1,143,259154,-1610899,-14152684,103
