ID,TutorialText_lang,SpellID,ActionBarOverrideSpellID,SpellLabel,UiTextureKitID,UiPriority
1,¡Habilidad de zona de fortaleza desbloqueada!|n|nPuedes arrastrar este ícono a tu barra de acción.,161691,170108,0,5289,0
2,¡Habilidad de zona kyriana desbloqueada!|n|nPuedes arrastrar este ícono a tu barra de acción.,313347,313335,0,5290,100
3,¡Habilidad de zona kyriana desbloqueada!|n|nPuedes arrastrar este ícono a tu barra de acción.,326526,326532,0,5290,200
4,¡Habilidad de zona de fortaleza desbloqueada!|n|nPuedes arrastrar este ícono a tu barra de acción.,161691,170097,0,5289,0
5,¡Habilidad de zona de fortaleza desbloqueada!|n|nPuedes arrastrar este ícono a tu barra de acción.,161691,170109,0,5289,0
6,¡Habilidad de zona de fortaleza desbloqueada!|n|nPuedes arrastrar este ícono a tu barra de acción.,161691,166499,0,5291,0
7,¡Habilidad de zona de fortaleza desbloqueada!|n|nPuedes arrastrar este ícono a tu barra de acción.,161691,166498,0,5291,0
8,¡Habilidad de zona de fortaleza desbloqueada!|n|nPuedes arrastrar este ícono a tu barra de acción.,161691,161693,0,5292,0
9,¡Habilidad de zona de fortaleza desbloqueada!|n|nPuedes arrastrar este ícono a tu barra de acción.,161691,161694,0,5293,0
10,¡Habilidad de zona de fortaleza desbloqueada!|n|nPuedes arrastrar este ícono a tu barra de acción.,161691,168474,0,5294,0
11,¡Habilidad de zona de fortaleza desbloqueada!|n|nPuedes arrastrar este ícono a tu barra de acción.,161691,166502,0,5295,0
12,¡Habilidad de zona de fortaleza desbloqueada!|n|nPuedes arrastrar este ícono a tu barra de acción.,161691,162131,0,5296,0
13,¡Habilidad de zona de fortaleza desbloqueada!|n|nPuedes arrastrar este ícono a tu barra de acción.,161691,168478,0,5297,0
14,¡Habilidad de zona de fortaleza desbloqueada!|n|nPuedes arrastrar este ícono a tu barra de acción.,161691,171333,0,5298,0
15,¡Habilidad de zona de fortaleza desbloqueada!|n|nPuedes arrastrar este ícono a tu barra de acción.,161691,171334,0,5298,0
16,¡Habilidad de zona de fortaleza desbloqueada!|n|nPuedes arrastrar este ícono a tu barra de acción.,161691,166500,0,5295,0
17,¡Habilidad de zona de fortaleza desbloqueada!|n|nPuedes arrastrar este ícono a tu barra de acción.,161691,162130,0,5299,0
18,,211390,0,193,5300,0
19,,251463,0,321,0,0
20,,264739,0,391,0,0
21,,314955,0,851,5300,0
22,¡Habilidad de zona venthyriana desbloqueada!|n|nPuedes arrastrar este ícono a tu barra de acción.,313347,315593,0,5303,100
23,¡Habilidad de zona venthyriana desbloqueada!|n|nPuedes arrastrar este ícono a tu barra de acción.,326526,329350,0,5303,200
24,¡Habilidad de zona venthyriana desbloqueada!|n|nPuedes arrastrar este ícono a tu barra de acción.,313347,329887,0,5303,100
26,¡Habilidad de zona de los noctifeéricos desbloqueada!|n|nPuedes arrastrar este ícono a tu barra de acción.,313347,331114,0,5310,100
27,¡Habilidad de zona de los noctifeéricos desbloqueada!|n|nPuedes arrastrar este ícono a tu barra de acción.,313347,331119,0,5310,100
28,¡Habilidad de zona de los noctifeéricos desbloqueada!|n|nPuedes arrastrar este ícono a tu barra de acción.,326526,331120,0,5310,200
29,¡Habilidad de zona de los necroseñores desbloqueada!|n|nPuedes arrastrar este ícono a tu barra de acción.,313347,334387,0,5311,100
30,¡Habilidad de zona de los necroseñores desbloqueada!|n|nPuedes arrastrar este ícono a tu barra de acción.,326526,334388,0,5311,200
31,¡Habilidad de zona venthyriana desbloqueada!|n|nPuedes arrastrar este ícono a tu barra de acción.,326526,340716,0,5303,200
32,¡Habilidad de zona kyriana desbloqueada!|n|nPuedes arrastrar este ícono a tu barra de acción.,326526,340757,0,5290,200
33,¡Habilidad kyriana desbloqueada!|n|nPuedes arrastrar este ícono a tu barra de acción.,313347,340835,0,5290,100
34,¡Habilidad insignia kyriana desbloqueada!|n|nPuedes arrastrar este ícono a tu barra de acción.,326526,341085,0,5290,200
35,¡Habilidad de los necroseñores desbloqueada!|n|nPuedes arrastrar este ícono a tu barra de acción.,313347,341090,0,5311,100
36,¡Habilidad insignia de los necroseñores desbloqueada!|n|nPuedes arrastrar este ícono a tu barra de acción.,326526,341091,0,5311,200
37,¡Habilidad venthyriana desbloqueada!|n|nPuedes arrastrar este ícono a tu barra de acción.,313347,341093,0,5303,100
38,¡Habilidad insignia venthyriana desbloqueada!|n|nPuedes arrastrar este ícono a tu barra de acción.,326526,341092,0,5303,200
39,¡Habilidad de Ardenweald desbloqueada!|n|nPuedes arrastrar este ícono a tu barra de acción.,313347,341086,0,5310,100
40,¡Habilidad insignia de Ardenweald desbloqueada!|n|nPuedes arrastrar este ícono a tu barra de acción.,326526,341089,0,5310,200
41,Habilidad de ensamblaje disponible|n|nPuedes arrastrar este ícono a tu barra de acción.,347013,0,1156,5311,100
44,Habilidad disponible|n|nPuedes arrastrar este ícono a tu barra de acción.,356550,0,1312,5311,100
45,Habilidad de Torghast disponible|n|nPuedes arrastrar este ícono a tu barra de acción.,357857,0,1332,5405,90
46,,264739,358145,0,5310,0
47,,264739,358022,0,5290,0
48,,264739,358150,0,5311,0
49,,264739,358157,0,5303,0
50,¡Habilidad de zona de los necroseñores desbloqueada!|n|nPuedes arrastrar este ícono a tu barra de acción.,313347,362180,0,5311,100
51,¡Has desbloqueado la habilidad de invocar a Pocopoc!|n|nPuedes arrastrar este ícono a tu barra de acción.,360078,362639,0,5421,100
52,[PH] Reuse ME,0,0,0,5303,100
53,,0,0,0,5428,90
54,¡Habilidad shikaar desbloqueada!|n|nPuedes arrastrar este ícono a tu barra de acción.,376280,0,1533,5469,100
55,¡Habilidad shikaar desbloqueada!|n|nPuedes arrastrar este ícono a tu barra de acción.,384522,0,1758,5469,100
57,Lanza la pelota a la meta.,385265,0,1779,5428,1
58,Ayuda de Celormu disponible |n |nPuedes arrastrar este ícono a tu barra de acción.,385535,0,2291,5471,100
59,Recargar vigor|n |nPuedes arrastrar este ícono a tu barra de acción.,409295,409302,0,5471,100
60,Restablecer posición|n |nPuedes arrastrar este ícono a tu barra de acción.,409349,409350,0,5471,101
61,Dispárale al barril con la pistola de Flynn,248082,0,2797,5299,100
62,Asistencia de calabozo|n|nPuedes arrastrar este ícono a tu barra de acción.,426756,426758,0,5428,100
65,[PH] This is the ability you use for companion extra actions. |n |nYou can drag this to your action bar.,433878,0,0,5299,0
66,[PH] This is the ability you use for scenario extra actions. |n |nYou can drag this to your action bar.,434240,0,0,5299,0
67,¡Habilidad de cronotravesía desbloqueada!|n|nPuedes arrastrar este ícono a tu barra de acción.,436521,0,3174,5556,103
68,¡Habilidad de cronotravesía desbloqueada!|n|nPuedes arrastrar este ícono a tu barra de acción.,436524,0,3175,5556,104
69,¡Habilidad de cronotravesía desbloqueada!|n|nPuedes arrastrar este ícono a tu barra de acción.,439053,0,3233,5556,101
70,¡Habilidad de cronotravesía desbloqueada!|n|nPuedes arrastrar este ícono a tu barra de acción.,439052,0,3234,5556,100
71,¡Habilidad de pacto desbloqueada!|n|nPuedes arrastrar este ícono a tu barra de acción.,441963,0,3337,5556,103
72,Asistencia de montura |n |nPuedes arrastrar este ícono a tu barra de acción.,452327,452324,0,5428,99
73,,452458,452461,0,5421,99
74,,453793,453801,0,5421,0
75,,454364,454368,0,5421,0
76,,454610,454611,0,5421,0
77,,454618,454620,0,5421,0
78,,454697,454698,0,5421,0
79,,454702,454703,0,5421,0
80,,454496,454709,0,5421,0
81,,454895,454896,0,5421,0
82,,459018,459019,0,5421,0
83,,459078,459079,0,5421,0
84,,463978,463979,0,5421,0
85,,463987,463989,0,5421,0
86,,464027,464028,0,5421,0
87,,464035,464037,0,5421,0
90,¡Rompenucas G-99 desbloqueado!|n|nPuedes arrastrar este ícono a tu barra de acción.,1215279,1215281,0,5295,100
91,¡Habilidad de cronotravesía desbloqueada!|n|nPuedes arrastrar este ícono a tu barra de acción.,1232808,0,4935,5556,104
