Name_lang,Description_lang,ID,HouseLevelDataID,Field_12_0_0_63967_004,IconFileDataID
Colección de habitaciones iniciales,Empieza a construir tu hogar con muchas formas básicas de habitación. ¡Te damos la bienvenida a casa!,11,35,0,4217590
Decoración de exteriores,Puedes colocar 200 puntos de decoración en tu patio.,12,35,1,8164790
Hoguera armilar,"Obtendrás una hoguera armilar, un dispositivo impresionante capaz de manipular la luz ambiental dentro y alrededor de la casa de su dueño, ya sea para atenuarla o intensificarla.|n|nPuedes comprar copias adicionales del último arquitecto en tu vecindario.",23,52,0,7487068
Exteriores de casa de tamaño mediano,Ahora puedes usar exteriores de tamaño mediano para tu casa.,24,53,0,7252953
Bonificaciones de presupuesto para colocación de habitaciones y decoraciones,"Los presupuestos para colocación de habitaciones y colocación de decoraciones para este nivel han aumentado significativamente (+10 para habitaciones, +500 para decoraciones).",26,55,0,135769
Bonificaciones de presupuesto para colocación de habitaciones y decoraciones,"El presupuesto para colocación de habitaciones y el presupuesto para colocación de decoraciones para este nivel han aumentado significativamente (+10 para habitaciones, +500 para decoraciones).",27,56,0,135769
Decoración de exteriores aumentada,"Ahora puedes colocar 50 puntos más de decoración en tu patio, hasta un total de 250.",30,30,0,8164790
Decoración de exteriores aumentada,"Ahora puedes colocar 50 puntos más de decoración en tu patio, hasta un total de 300.",38,34,0,8164790
Decoración de exteriores aumentada,"Ahora puedes colocar 50 puntos más de decoración en tu patio, hasta un total de 350.",39,55,1,8164790
Tesoros de tierras distantes,"Visita al último arquitecto en tu vecindario una vez a la semana para obtener una esfera de almacenamiento arcano, que contiene una pieza aleatoria de decoración de una selección especial de su colección.",40,66,0,7137527
Bonificaciones de presupuesto para colocación de habitaciones y decoraciones,"El presupuesto para colocación de habitaciones y el presupuesto para colocación de decoraciones para este nivel han aumentado significativamente (+10 para habitaciones, +500 para decoraciones).",41,67,0,135769
Exteriores de casa grandes,Ahora puedes usar exteriores grandes para tu casa.,42,68,0,7252953
