ID,ClassName_lang,ClassID,PriceModifier,Flags
1,Consumible,0,0.25,0
2,Contenedor,1,0.25,0
3,Arma,2,0.2,1
4,Gema,3,0.25,0
5,Armadura,4,0.2,0
6,Componente,5,0.25,0
7,Proyectil,6,0.25,0
8,Habilidad comercial,7,0.25,0
9,Mejora de objetos,8,0.25,0
10,Receta,9,0.25,0
11,Dinero (OBSOLETO),10,0.25,0
12,Carcaj,11,0.25,0
13,Misión,12,0.25,0
14,Llave,13,0.25,0
15,Permanente (OBSOLETO),14,0.25,0
16,Miscelánea,15,0.25,0
17,Glifo,16,0.25,0
18,Mascotas de duelo,17,0.25,0
19,Ficha de WoW,18,0.25,0
145,Profesión,19,0,0
147,Viviendas,20,0,0
