ID,Prefix_lang,Middle_lang,Suffix_lang,NeighborhoodMapID
1,Iracundo,Desgarro,Descanso,2
2,Tórrido,Desierto,Archipiélago,2
3,Férreo,Sepulcro,Abismo,2
4,Subterráneo,Estanque,Cerro,2
5,Oscuro,Dragador,Desfiladero,2
6,Pétreo,Fuego,Barranco,2
19,Feliz,Arroyo,Valle,1
55,Falso,Prueba,Terreno,4
61,Soñoliento,Fogón,Viñedo,1
62,Sagrado,León,Archipiélago,1
63,Azul,Oleaje,Islote,1
64,Frío,Vapor,Puerto,1
65,Silencioso,Viento,Refugio,1
66,Dorado,Fulgor,Santuario,1
67,Sosiego,Océano,Punto,1
68,Grandioso,Mar,Descanso,1
69,Exhausto,Velamen,Pueblo,1
70,Salado,Acopio,Cerro,1
71,Precursor,Banderín,Desembarco,1
72,Glauco,Don,Enclave,1
73,Viejo,Roble,Amarradero,1
74,Nuevo,Viaje,Puesto de avanzada,1
75,Sombrío,Pesar,Caserío,1
76,Prometido,Anclaje,Puerto,1
77,Despejado,Cielo,Condado,1
78,Pálido,Polvo,Litoral,1
81,Seco,Pimpollo,Golfo,2
82,Místico,Peñón,Islote,2
83,Chamuscado,Polvo,Refugio,2
84,Brillante,Sol,Bastión,2
86,Agrietado,Peñasco,Pináculo,2
87,Rojo,Jabalí,Risco,2
88,Alto,Verano,Jardín,2
89,Terroso,Sostén,Raudal,2
90,Veloz,Peregrino,Amparo,2
91,Libre,Destino,Poblado,2
92,Quebradizo,Colmillo,Oasis,2
93,Afligido,Exilio,Escollo,2
94,Filoso,Ripio,Asentamiento,2
