ID,Name_lang,EnumID
1,Habilidad,0
2,Inspiración,1
3,Inventiva,2
4,Delicadeza,3
5,Destreza,4
6,Percepción,5
7,Velocidad de fabricación,6
8,Fabricación múltiple,7
9,Unlock Reagent Slot (DNT - write manually!),8
10,Inspiración,9
11,Inventiva,10
12,Delicadeza,11
13,Destreza,12
14,Percepción,13
15,Velocidad de fabricación,14
16,Fabricación múltiple,15
17,Destreza,16
18,Gather Range Rating (DNT - write manually!),17
19,additional items crafted with Multicraft (DNT - write manually!),18
20,basic reagents gathered from Finesse (DNT - write manually!),19
21,bonus Crafting Skill from Inspiration (DNT - write manually!),20
22,reagents saved from Resourcefulness (DNT - write manually!),21
23,Reducir dificultad,22
24,Aumentar dificultad,23
25,Modificar puntos de habilidad obtenidos,24
26,Trait Ranks By Points-Modifier Label (DNT),25
27,Ingenio,26
28,reduce concentration cost (DNT - write manually),27
29,Dummy Effect For # Tokenization (DNT),28
30,Ingenio,29
31,Ingenuity Refund Increase (DNT - write manually!),30
