ID,Name_lang,Description_lang,CovenantID,Level,Icon,Field_10_2_6_53840_005,UiOrder,SpellID
1074,Daga letal,"|cFF00ccffApariencia de Dragonflight|r|n|cFF1eff00Apariencia de Plunderstorm|r|n|nDesbloquea la apariencia Daga letal. Para cambiar apariencias en Plunderstorm, consulta a Da'kash Registro Siniestro.|n|n""Ahora eres parte de la Tripulación de Pata de Barril. Aquí está tu daga, ¡ponte a saquear!""",23,1,2175564,0,0,0
1075,Guantes de bisoño,"|cFF00ccffApariencia de Dragonflight|r|n|nDesbloquea la apariencia Guantes de bisoño.|n|n""Guantes de cuero para que puedas asir el botín.""",23,2,1063260,0,0,439457
1076,Botas de paso firme,"|cFF00ccffApariencia de Dragonflight|r|n|nDesbloquea la apariencia Botas de paso firme.|n|n""Para que no pierdas el equilibrio en tierra firme ni en altamar.""",23,3,590806,0,0,439448
1077,Calzones acolchados,"|cFF00ccffApariencia de Dragonflight|r|n|nDesbloquea la apariencia Calzones acolchados.|n|n""Un nuevo par de pantalones para amortiguar el aterrizaje.""",23,4,5489011,0,0,439451
1078,Mandoble calcificado,"|cFF00ccffApariencia de Dragonflight|r|n|cFF1eff00Apariencia de Plunderstorm|r|n|nDesbloquea la apariencia Mandoble calcificado. Para cambiar apariencias en Plunderstorm, consulta a Da'kash Registro Siniestro.|n|n""Una espada es como una daga, pero más larga.""",23,5,2182692,0,0,439390
1231,Camisa de hilo de algodón,"|cFF00ccffApariencia de Dragonflight|r|n|cFF1eff00Apariencia de Plunderstorm|r|n|nDesbloquea la apariencia Camisa de hilo de algodón.|n|nTambién desbloquea el atuendo de Bisoño harapiento en Plunderstorm. Para cambiar atuendos, consulta a Da'kash Registro Siniestro.",23,6,4279080,0,0,439453
1232,Capa de vagador,"|cFF00ccffApariencia de Dragonflight|r|n|nDesbloquea la apariencia Capa de vagador.|n|n""Hay quienes prefieren permanecer en las sombras.""",23,7,2124014,0,0,439455
1233,Cañón de cobre,"|cFF00ccffApariencia de Dragonflight|r|n|cFF1eff00Apariencia de Plunderstorm|r|n|nDesbloquea la apariencia Cañón de cobre. Para cambiar apariencias en Plunderstorm, consulta a Da'kash Registro Siniestro.|n|n""Saquear es más fácil con un cañón a tu lado.""",23,8,304333,0,0,439393
1234,Gorro de lana calentito,"|cFF00ccffApariencia de Dragonflight|r|n|nDesbloquea la apariencia Gorro de lana calentito.|n|n""Incluso el pirata más curtido tiene frío de vez en cuando.""",23,9,1676426,0,0,439445
1235,Semental de las mareas plateado,"|cFF00ccffMontura de Dragonflight|r|n|nDesbloquea la montura submarina Semental de las mareas plateado.|n|n""Huele a camarón"".",23,10,2741477,0,0,437516
1236,Burbujas,"|cFF00ccffMascota de Dragonflight|r|n|cFF1eff00Mascota de Plunderstorm|r|n|nDesbloquea la mascota Burbujas. En Plunderstorm, Da'kash Registro Siniestro puede invocar a tu mascota por ti.|n|n""¡Te siguió hasta tu casa!""",23,11,2027915,0,0,439477
1237,Recortes de estafador,"|cFF00ccffApariencia de Dragonflight|r|n|nDesbloquea la apariencia Recortes de estafador.|n|n""Para quienes tengan destrezas manuales.""",23,12,1026773,0,0,439458
1238,Sable de acero negro,"|cFF00ccffApariencia de Dragonflight|r|n|cFF1eff00Apariencia de Plunderstorm|r|n|nDesbloquea la apariencia Sable de acero negro. Para cambiar apariencias en Plunderstorm, consulta a Da'kash Registro Siniestro.|n|n""Forjado para la acción encarnizada en altamar.""",23,13,960919,0,0,439391
1239,Cueros silenciosos,"|cFF00ccffApariencia de Dragonflight|r|n|nDesbloquea la apariencia Cueros silenciosos.|n|n""A veces, la mejor ofensiva es esconderse.""",23,14,590806,0,0,439450
1240,Calzas tejidas a mano,"|cFF00ccffApariencia de Dragonflight|r|n|nDesbloquea la apariencia Calzas tejidas a mano.|n|n""Un regalo del capitán. ¡Hechas a tu medida!"".",23,15,1981728,0,0,439452
1241,Multidisparo maravilloso,"|cFF00ccffApariencia de Dragonflight|r|n|cFF1eff00Apariencia de Plunderstorm|r|n|nDesbloquea la apariencia Multidisparo maravilloso. Para cambiar apariencias en Plunderstorm, consulta a Da'kash Registro Siniestro.|n|n""No apuntes a la cara.""",23,16,135628,0,0,439394
1242,Jubón carmesí refinado,"|cFF00ccffApariencia de Dragonflight|r|n|cFF1eff00Apariencia de Plunderstorm|r|n|nDesbloquea la apariencia Jubón carmesí refinado.|n|nTambién desbloquea el atuendo de Bisoño elegante en Plunderstorm. Para cambiar atuendos, consulta a Da'kash Registro Siniestro.",23,17,5519312,0,0,439454
1243,Cuchilla de hierro sangrienta,"|cFF00ccffApariencia de Dragonflight|r|n|cFF1eff00Apariencia de Plunderstorm|r|n|nDesbloquea la apariencia Cuchilla de hierro sangrienta. Para cambiar apariencias en Plunderstorm, consulta a Da'kash Registro Siniestro.|n|n""¡Un hacha sangrienta para un pirata sangriento!""",23,18,1092278,0,0,439392
1244,Mantón impermeable,"|cFF00ccffApariencia de Dragonflight|r|n|nDesbloquea la apariencia Mantón impermeable.|n|n""Dice 'impermeable', no 'a prueba de'. No te arrojes al lago"".",23,19,2124014,0,0,439456
1245,Plumarino real,"|cFF00ccffMontura de Dragonflight|r|n|nDesbloquea la montura voladora Plumarino real.|n|n""Con todo el botín que has acumulado, sería una pena no tener un loro gigante.""",23,20,4395379,0,0,437517
1246,Sombrero de capitán de la tormenta,"|cFF00ccffApariencia de Dragonflight|r|n|nDesbloquea la apariencia Sombrero de capitán de la tormenta.|n|n""¡Un sombrero digno del capitán en la tormenta!""",23,21,1676418,0,0,439446
1247,Sello de oro de amo del saqueo,"|cFF00ccffApariencia de Dragonflight|r|n|cFF1eff00Apariencia de Plunderstorm|r|n|nDesbloquea la apariencia Sello de oro de amo del saqueo. Para cambiar apariencias en Plunderstorm, consulta a Da'kash Registro Siniestro.|n|n""¡Alza el báculo del amo del saqueo y reúne una tripulación para saquear!""",23,22,5581310,0,0,439382
1248,Puños de amo del saqueo,"|cFF00ccffApariencia de Dragonflight|r|n|nDesbloquea la apariencia Puños de amo del saqueo.|n|n""Puños dorados dignos del mejor de los piratas.""",23,23,5559628,0,0,439375
1249,Bolsa de bonos saqueada,|cFF00ccffRecompensa de Dragonflight|r|n|nDesbloquea 250 bonos de comerciante en el alijo de recolector de Ventormenta u Orgrimmar.,23,24,975746,0,0,437507
1250,Cincha dorada de amo del saqueo,"|cFF00ccffApariencia de Dragonflight|r|n|nDesbloquea la apariencia Cincha dorada de amo del saqueo.|n|n""La enorme hebilla de calavera dorada le da el toque final a todo el conjunto.""",23,25,5559626,0,0,439373
1251,Saqueadores de amo del saqueo,"|cFF00ccffApariencia de Dragonflight|r|n|nDesbloquea la apariencia Saqueadores de amo del saqueo.|n|n""Son muy sedosos.""",23,26,5559630,0,0,439377
1252,Cortacuellos de amo del saqueo,"|cFF00ccffApariencia de Dragonflight|r|n|cFF1eff00Apariencia de Plunderstorm|r|n|nDesbloquea la apariencia Cortacuellos de amo del saqueo. Para cambiar apariencias en Plunderstorm, consulta a Da'kash Registro Siniestro.|n|n""Una herramienta necesaria en el arsenal de todo señor de los piratas.""",23,27,5580802,0,0,439386
1253,Trotafangos de amo del saqueo,"|cFF00ccffApariencia de Dragonflight|r|n|nDesbloquea la apariencia Trotafangos de amo del saqueo.|n|n""No te gustaría que se llenen de fango.""",23,28,5559627,0,0,439372
1254,Calzas elegantes de amo del saqueo,"|cFF00ccffApariencia de Dragonflight|r|n|nDesbloquea la apariencia Calzas elegantes de amo del saqueo.|n|n""Ahora sí puedes decir que tienes los pantalones más elegantes"".",23,29,5559632,0,0,439378
1255,Glamrok,"|cFF00ccffMascota de Dragonflight|r|n|cFF1eff00Mascota de Plunderstorm|r|n|nDesbloquea la mascota Glamrok. En Plunderstorm, Da'kash Registro Siniestro puede invocar a tu mascota por ti.|n|n""Un compañero amante del botín.""",23,30,5559624,0,0,439478
1256,Estoque elegante de amo del saqueo,"|cFF00ccffApariencia de Dragonflight|r|n|cFF1eff00Apariencia de Plunderstorm|r|n|nDesbloquea la apariencia Estoque elegante de amo del saqueo. Para cambiar apariencias en Plunderstorm, consulta a Da'kash Registro Siniestro.|n|n""Para apuñalar.""",23,31,5581649,0,0,439383
1257,Cañón de mano de amo del saqueo,"|cFF00ccffApariencia de Dragonflight|r|n|cFF1eff00Apariencia de Plunderstorm|r|n|nDesbloquea la apariencia Cañón de mano de amo del saqueo. Para cambiar apariencias en Plunderstorm, consulta a Da'kash Registro Siniestro.|n|n""Huele a oro y a pólvora.""",23,32,5581325,0,0,439388
1258,Cofre de bonos saqueado,|cFF00ccffRecompensa de Dragonflight|r|n|nDesbloquea 500 bonos de comerciante en el alijo de recolector de Ventormenta u Orgrimmar.,23,33,4696085,0,0,437510
1259,Chaleco de amo del saqueo,"|cFF00ccffApariencia de Dragonflight|r|n|nDesbloquea la apariencia Chaleco de amo del saqueo.|n|n""Los chalecos le quedan bien a todo el mundo.""",23,34,5559633,0,0,439370
1260,Mantón de amo del saqueo,"|cFF00ccffApariencia de Dragonflight|r|n|nDesbloquea la apariencia Mantón de amo del saqueo.|n|n""Por supuesto, en tonos rojo y oro para que combine.""",23,35,5559629,0,0,439379
