ID,Name_lang,AreaTableID,Type,Flags,UiTextureKitID,UiScenarioDisplayInfoID
15,Unga Ingoo,0,0,0,0,0
39,Cripta de los Reyes Olvidados,0,0,0,0,0
40,Aldea Verdemar,0,0,0,0,0
44,Templo del Dragón de Jade,0,1,18,0,0
45,Cervecería del Trueno,0,1,1,0,0
46,Monasterio del Shadopan,0,1,1,0,0
48,Puerta del Sol Poniente,0,1,1,0,0
49,Asedio del Templo de Niuzao,0,1,1,0,0
50,Palacio Mogu'shan,0,1,1,0,0
51,Scholomance,0,1,1,0,0
52,Cámaras Escarlata,0,1,1,0,0
53,Monasterio Escarlata,0,1,1,0,0
58,Arena de la Aniquilación,0,0,0,0,0
63,Festival de la Cerveza Lunar,0,0,0,0,0
65,Cervezas y Truenos,0,0,0,0,0
68,Templo de Kotmogu,0,0,0,0,0
70,Caída de Theramore,0,0,0,0,0
71,Caída de Theramore,0,0,0,0,0
72,Caída de Theramore,0,0,0,0,0
179,Una Daga en la Oscuridad,0,0,0,0,0
180,Isla Diamante,0,0,0,0,0
181,Asalto a Zan'vess,0,0,0,0,0
182,Batalla en Alta Mar,0,0,0,0,0
183,Templanza,0,0,0,0,0
184,Desembarco del León,0,0,0,0,0
187,Punto de Dominio,0,0,0,0,0
200,Tras la Cosecha Oscura,0,0,0,0,0
201,Punto de Dominio,0,0,0,0,0
203,Asalto a Zan'vess,0,0,0,0,0
204,¡Abajo la Muralla!,0,0,0,0,0
205,Muelle Aguaturbia,0,0,0,0,0
206,Asalto a Zeb'tula,0,0,0,0,0
207,¡Hacia los Cielos!,0,0,0,0,0
208,La Caída de Shan Bu,0,0,0,0,0
209,¡Abajo la Muralla!,0,0,0,0,0
210,Sangre en la Nieve,0,0,0,0,0
211,La Forja del Trueno,0,0,0,0,0
212,Asalto a Shaol'mara,0,0,0,0,0
215,Los Tesoros del Rey del Trueno,0,0,0,0,0
216,Corazón Oscuro de Pandaria,0,0,0,0,0
219,Los Secretos de Sima Ígnea,0,0,0,0,0
237,Terreno de Pruebas: elige una prueba,0,0,2,0,0
239,Batalla en Alta Mar,0,0,0,0,0
247,Plantilla de Gesta,0,0,0,0,0
248,Terreno de Pruebas,0,0,2,0,0
254,Gesta prototipo,0,0,2,0,0
256,Muerte del Buey,0,0,0,0,0
257,Torneo Celestial,0,0,0,0,0
269,El Ingrediente Secreto,0,0,0,0,0
275,La purga de Grommar,0,0,0,0,0
278,La hora de los fideos,0,0,0,0,0
294,Horado Rajacieno,0,0,0,0,0
318,Las minas de Draenor,0,0,0,0,0
320,Final de Gorgrond,0,0,0,0,0
322,Dawson's Creek,0,0,0,0,0
323,Gesta Villahueso,0,0,0,0,0
324,La batalla de Paso del Trueno,0,0,0,0,0
329,Cumbre de Roca Negra superior,0,3,26,0,0
331,La batalla por Shattrath,0,0,0,0,0
333,Cavernas de Brazanegra,0,3,10,0,0
423,Trecho Celestial,0,1,18,0,0
425,Minas de escoria Machacasangre,0,1,1,0,0
426,Muelles de hierro,0,1,18,0,0
427,Auchindoun,0,1,1,0,0
428,Cementerios de Sombraluna,0,1,18,0,0
429,Depósito Riel Siniestro,0,1,19,0,0
430,El Sempibrote,0,1,18,0,0
432,Cumbre de Roca Negra superior,0,1,1,0,0
449,Defensa de Karabor,0,0,0,0,0
450,El destino de Karabor,0,0,0,0,0
499,Algo se acerca resonando por aquí,0,0,0,0,0
508,El poderío de la Alianza,0,0,0,0,0
509,El poder de la Horda,0,0,0,0,0
510,Las Mazmorras,0,3,10,0,0
511,Sima Ígnea,0,3,10,0,0
515,Cuevas de los Lamentos,0,3,10,0,0
516,Castillo de Colmillo Oscuro,0,3,10,0,0
523,Castillo de Colmillo Oscuro,0,3,10,0,0
524,Asedio del Templo de Niuzao,0,3,10,0,0
525,Asedio del Templo de Niuzao,0,3,10,0,0
526,Puerta del Sol Poniente,0,3,10,0,0
527,Puerta del Sol Poniente,0,3,10,0,0
528,Palacio Mogu'shan,0,3,10,0,0
531,Monasterio del Shadopan,0,3,10,0,0
535,Monasterio del Shadopan,0,3,10,0,0
536,Palacio Mogu'shan,0,3,10,0,0
537,Cervecería del Trueno,0,3,10,0,0
538,Cervecería del Trueno,0,3,10,0,0
539,Templo del Dragón de Jade,0,3,10,0,0
540,Templo del Dragón de Jade,0,3,10,0,0
542,Cavernas Roca Negra,0,3,10,0,0
545,Cavernas Roca Negra,0,3,10,0,0
547,Fin de los Tiempos,0,3,10,0,0
548,Trono de las Mareas,0,3,10,0,0
550,Trono de las Mareas,0,3,10,0,0
551,La Cumbre del Vórtice,0,3,10,0,0
552,La Cumbre del Vórtice,0,3,10,0,0
553,Grim Batol,0,3,10,0,0
554,Grim Batol,0,3,10,0,0
555,Ciudad Perdida de los Tol'vir,0,3,10,0,0
556,Zul'Gurub,0,3,10,0,0
557,Ciudad Perdida de los Tol'vir,0,3,10,0,0
558,Cámaras de los Orígenes,0,3,10,0,0
565,Cámaras de los Orígenes,0,3,10,0,0
566,La Forja de Almas,0,3,10,0,0
567,Pozo de la Eternidad,0,3,10,0,0
568,La Forja de Almas,0,3,10,0,0
569,Foso de Saron,0,3,10,0,0
570,Hora del Crepúsculo,0,3,10,0,0
571,Foso de Saron,0,3,18,0,0
572,Cámaras de Reflexión,0,3,10,0,0
573,Cámaras de Reflexión,0,3,10,0,0
574,Zul'Aman,0,3,10,0,0
575,El Oculus,0,3,10,0,0
576,El Oculus,0,3,10,0,0
577,Pináculo de Utgarde,0,3,10,0,0
579,Pináculo de Utgarde,0,3,10,0,0
580,Cámaras de Relámpagos,0,3,10,0,0
581,Cámaras de Relámpagos,0,3,10,0,0
582,Las Cámaras de Piedra,0,3,10,0,0
583,La Matanza de Stratholme,0,3,10,0,0
584,Las Cámaras de Piedra,0,3,10,0,0
585,La Matanza de Stratholme,0,3,10,0,0
586,Gundrak,0,3,10,0,0
587,Gundrak,0,3,10,0,0
588,El Bastión Violeta,0,3,10,0,0
589,El Bastión Violeta,0,3,10,0,0
590,Fortaleza de Drak'Tharon,0,3,10,0,0
591,Fortaleza de Drak'Tharon,0,3,10,0,0
592,Ahn'kahet: El Antiguo Reino,0,3,10,0,0
593,Ahn'kahet: El Antiguo Reino,0,3,10,0,0
594,Azjol-Nerub,0,3,10,0,0
595,Azjol-Nerub,0,3,10,0,0
596,Fortaleza de Utgarde,0,3,10,0,0
597,Fortaleza de Utgarde,0,3,10,0,0
598,El Nexo,0,3,10,0,0
599,El Nexo,0,3,10,0,0
605,El Nexo,0,3,10,0,0
606,Laberinto de las Sombras,0,3,10,0,0
607,Salas Arrasadas,0,3,10,0,0
