ID,EffectDescription_lang,AuraDescription_lang,SpellEffectType,AuraEffectType,PointsSign,TargetType,SchoolMask,EffectOrderIndex,AuraOrderIndex
1,Inflige $s@effectindex p. de daño físico a un enemigo.,,2,0,1,3,1,50,50
2,Inflige $s@effectindex p. de daño sagrado a un enemigo.,,2,0,1,3,2,50,50
3,Inflige $s@effectindex p. de daño de fuego a un enemigo.,,2,0,1,3,4,50,50
4,Inflige $s@effectindex p. de daño de naturaleza a un enemigo.,,2,0,1,3,8,50,50
5,Inflige $s@effectindex p. de daño de escarcha a un enemigo.,,2,0,1,3,16,50,50
6,Inflige $s@effectindex p. de daño de las sombras a un enemigo.,,2,0,1,3,32,50,50
7,Inflige $s@effectindex p. de daño arcano a un enemigo.,,2,0,1,3,64,50,50
8,Inflige $s@effectindex p. de daño de caos a un enemigo.,,2,0,1,3,127,50,50
9,Inflige $s@effectindex p. de daño físico a los enemigos que están en un radio de $A@effectindex m de la zona de impacto.,,2,0,1,5,1,50,50
10,Inflige $s@effectindex p. de daño sagrado a los enemigos que están en un radio de $A@effectindex m de la zona de impacto.,,2,0,1,5,2,50,50
11,Inflige $s@effectindex p. de daño de fuego a los enemigos que están en un radio de $A@effectindex m de la zona de impacto.,,2,0,1,5,4,50,50
12,Inflige $s@effectindex p. de daño de naturaleza a los enemigos que están en un radio de $A@effectindex m de la zona de impacto.,,2,0,1,5,8,50,50
13,Inflige $s@effectindex p. de daño de escarcha a los enemigos que están en un radio de $A@effectindex m de la zona de impacto.,,2,0,1,5,16,50,50
14,Inflige $s@effectindex p. de daño de las sombras a los enemigos que están en un radio de $A@effectindex m de la zona de impacto.,,2,0,1,5,32,50,50
15,Inflige $s@effectindex p. de daño arcano a los enemigos que están en un radio de $A@effectindex m de la zona de impacto.,,2,0,1,5,64,50,50
16,Inflige $s@effectindex p. de daño de caos a los enemigos que están en un radio de $A@effectindex m de la zona de impacto.,,2,0,1,5,127,50,50
17,Inflige $s@effectindex p. de daño físico a los enemigos que están en un radio de $A@effectindex m.,,2,0,1,7,1,50,50
18,Inflige $s@effectindex p. de daño sagrado a los enemigos que están en un radio de $A@effectindex m.,,2,0,1,7,2,50,50
19,Inflige $s@effectindex p. de daño de fuego a los enemigos que están en un radio de $A@effectindex m.,,2,0,1,7,4,50,50
20,Inflige $s@effectindex p. de daño de naturaleza a los enemigos que están en un radio de $A@effectindex m.,,2,0,1,7,8,50,50
21,Inflige $s@effectindex p. de daño de escarcha a los enemigos que están en un radio de $A@effectindex m.,,2,0,1,7,16,50,50
22,Inflige $s@effectindex p. de daño de las sombras a los enemigos que están en un radio de $A@effectindex m.,,2,0,1,7,32,50,50
23,Inflige $s@effectindex p. de daño arcano a los enemigos que están en un radio de $A@effectindex m.,,2,0,1,7,64,50,50
24,Inflige $s@effectindex p. de daño de caos a los enemigos que están en un radio de $A@effectindex m.,,2,0,1,7,127,50,50
25,Inflige $s@effectindex p. de daño físico a un enemigo cada $t@effectindex s durante $d.,Inflige $s@effectindex p. de daño físico cada $t@effectindex s.,6,3,1,3,1,50,50
26,Inflige $s@effectindex p. de daño sagrado a un enemigo cada $t@effectindex s durante $d.,Inflige $s@effectindex p. de daño sagrado cada $t@effectindex s.,6,3,1,3,2,50,50
27,Inflige $s@effectindex p. de daño de fuego a un enemigo cada $t@effectindex s durante $d.,Inflige $s@effectindex p. de daño de fuego cada $t@effectindex s.,6,3,1,3,4,50,50
28,Inflige $s@effectindex p. de daño de naturaleza a un enemigo cada $t@effectindex s durante $d.,Inflige $s@effectindex p. de daño de naturaleza cada $t@effectindex s.,6,3,1,3,8,50,50
29,Inflige $s@effectindex p. de daño de escarcha a un enemigo cada $t@effectindex s durante $d.,Inflige $s@effectindex p. de daño de escarcha cada $t@effectindex s.,6,3,1,3,16,50,50
30,Inflige $s@effectindex p. de daño de las sombras a un enemigo cada $t@effectindex s durante $d.,Inflige $s@effectindex p. de daño de las sombras cada $t@effectindex s.,6,3,1,3,32,50,50
31,Inflige $s@effectindex p. de daño arcano a un enemigo cada $t@effectindex s durante $d.,Inflige $s@effectindex p. de daño arcano cada $t@effectindex s.,6,3,1,3,64,50,50
32,Inflige $s@effectindex p. de daño de caos a un enemigo cada $t@effectindex s durante $d.,Inflige $s@effectindex p. de daño de caos cada $t@effectindex s.,6,3,1,3,127,50,50
33,Aturde al enemigo y lo incapacita para moverse o atacar durante $d.,Aturdido.,6,12,0,3,0,0,0
34,Aumenta la velocidad de ataque y lanzamiento de todos los aliados en un radio de $A@effectindex m del impacto un $s@effectindex% durante $d.,Aumenta la velocidad de ataque y lanzamiento un $s@effectindex%.,6,193,1,6,0,0,0
