ID,Name_lang,TrophyTypeID,GameObjectDisplayInfoID,PlayerConditionID
1,Maestro de ápices,3,20529,28227
3,Maestro artesano de Draenor,3,19152,27762
4,Defensor de Draenor,4,19153,28169
5,Exterminador de mascotas de Draenor,3,20514,28226
9,Asaltante de Draenor mítico,3,19207,28220
10,Asalto de Draenor mítico,4,19209,28220
11,Maestro artesano de Draenor,4,19573,27762
12,Defensor de Draenor,3,20403,28169
13,Exterminador de mascotas de Draenor,4,20528,28226
14,Maestro de ápices,4,20530,28227
15,Estatua nada especial,0,10782,24827
16,El rey en verde,4,23436,30838
17,El rey en verde,3,23502,30838
18,Capítulo IV: oscuridad encarnada,3,26914,34184
19,Exterminador de mascotas de Draenor,0,20514,27108
20,Capítulo IV: oscuridad encarnada,4,26914,34184
