Title_lang,Subtitle_lang,InstructionText_lang,SubIcon_lang,TitleTooltip_lang,SubtitleTooltip_lang,EventToastID,PlayerConditionID,UiTextureAtlasMemberID,UiTextureKitID,EventType,DisplayType,EventAsset,Field_9_1_0_38312_011,IconFileID,UiWidgetSetID,ExtraUiWidgetSetID,TitleTooltipUiWidgetSetID,SubtitleTooltipUiWidgetSetID,ShowSoundKitID,HideSoundKitID,Field_10_2_5_52554_021
Nivel %d,Alcanzado,,,,,1,117398,0,0,0,2,0,0,0,0,0,0,0,0,0,0
,¡Calabozo desbloqueado!,,,,,2,117398,12015,0,2,3,0,0,0,0,0,0,0,0,0,0
,¡Has desbloqueado una habilidad!,,,,,3,117398,12014,0,1,3,0,0,0,0,0,0,0,0,0,0
,¡Has desbloqueado una banda!,,,,,4,92737,12015,0,3,3,0,0,0,0,0,0,0,0,0,0
,Escenario nuevo,,,,,5,0,0,5554,14,6,0,0,0,0,0,0,0,0,0,0
,,,,,,7,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
,Subir de nivel,,,,,8,0,0,0,8,3,0,0,0,0,0,0,0,0,0,0
,¡Nueva habilidad disponible!,,,,,9,0,0,0,9,3,0,0,0,0,0,0,0,0,0,0
Has capturado,,,,,,10,0,0,0,7,5,0,0,0,0,0,0,0,0,0,0
%s%s,,,,,,11,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0
Despojo en área,¡Función desbloqueada!,Despojar un cadáver también despojará los cadáveres cercanos.,Has desbloqueado el despojo en área,,,12,90425,12015,0,15,3,0,0,1022948,0,0,0,0,183581,0,0
Salón de Skoldus,Piso %19812w,,,,,14,79354,0,5281,17,6,354094,0,0,0,0,0,0,0,0,0
Corredores Retorcidos,Piso %19812w,,,,,15,79355,0,5281,17,6,354094,0,0,0,0,0,0,0,0,0
Cámaras de Fractura,Piso %19812w,,,,,16,79363,0,5281,17,6,354094,0,0,0,0,0,0,0,0,0
La Fragua de Almas,Piso %19812w,,,,,17,79365,0,5281,17,6,354094,0,0,0,0,0,0,0,0,0
Intersticio Despiadado,Piso %19812w,,,,,18,79368,0,5281,17,6,354094,0,0,0,0,0,0,0,0,0
Mort'regar,Piso %19812w,,,,,19,79366,0,5281,17,6,354094,0,0,0,0,0,0,0,0,0
Buscador de calabozos,¡Función desbloqueada!,,Has desbloqueado una nueva función: |cffFF4E00|Hlfd:|h[Buscador de calabozos]|h|r,,,20,90424,12015,0,15,3,0,0,397907,0,0,0,0,0,0,0
Campos de batalla,¡Función desbloqueada!,,Has desbloqueado una nueva función: |cffFF4E00|Hpvpbgs:|h[Campos de batalla]|h|r,,,21,90427,12015,0,15,3,0,0,132147,0,0,0,0,0,0,0
Especialización,¡Función desbloqueada!,,Has desbloqueado una nueva función: |cffFF4E00|Hspecpane:|h[Especializaciones]|h|r,,,22,90428,12015,0,15,3,0,0,132222,0,0,0,0,0,0,0
Talentos,¡Función desbloqueada!,,Has desbloqueado una nueva función: |cffFF4E00|Htalentpane:|h[Talentos]|h|r,,,23,90429,12015,0,15,3,0,0,132222,0,0,0,0,0,0,0
Talentos de JcJ,¡Función desbloqueada!,,Has desbloqueado una nueva función: |cffFF4E00|Htalentpanet:|h[Talentos de JcJ]|h|r,,,24,90430,12015,0,15,3,0,0,132147,0,0,0,0,0,0,0
Equipo de montura,¡Función desbloqueada!,,Has desbloqueado una nueva función: |cffFF4E00|Hmountequipment:|h[Equipo de montura]|h|r,,,25,5793,12015,0,15,3,0,0,1534178,0,0,0,0,0,0,0
Misiones de mundo,¡Función desbloqueada!,Abre tu mapa de mundo para ver las misiones de mundo,"Has desbloqueado una nueva función: |cffFF4E00|Hworldquest:|h[Misiones de mundo]|h|r
Abre el mapa para verlas",,,26,0,12015,0,12,3,43341,0,1064187,0,0,0,0,0,0,0
La Parte Alta,Piso %19812w,,,,,27,79372,0,5281,17,6,354094,0,0,0,0,0,0,0,0,0
Salón de Arkoban,Piso %19812w,,,,,28,90416,0,5281,17,6,354094,0,0,0,0,0,0,0,0,0
Cámara de tormentos: Jaina,Piso %19812w,,,,,29,90417,0,5281,17,6,354094,0,0,0,0,0,0,0,0,0
Cámara de tormentos: Thrall,Piso %19812w,,,,,30,90418,0,5281,17,6,354094,0,0,0,0,0,0,0,0,0
Cámara de tormentos: Anduin,Piso %19812w,,,,,31,90420,0,5281,17,6,354094,0,0,0,0,0,0,0,0,0
Bóvedas Adamantinas,Piso %19812w,,,,,32,0,0,5281,17,6,358253,0,0,0,0,0,0,0,0,0
Catacumbas Fervientes,Piso %19812w,,,,,33,90422,0,5281,17,6,354094,0,0,0,0,0,0,0,0,0
Osario de los Desterrados,Piso %19812w,,,,,34,90423,0,5281,17,6,354094,0,0,0,0,0,0,0,0,0
Completo,|cFFFFFFFFPuntaje final: %1921c|r |n|cFF1eff00Conocimiento de la torre obtenido: %1922c |TInterface\ICONS\Spell_Broker_Orb.BLP:16:16|t|r,,,,,37,0,0,5388,17,8,354027,0,0,511,503,0,0,183157,183155,0
Montar en las Fauces,Desbloqueado,,,,,39,0,12015,0,12,3,63994,0,853211,0,0,0,0,183581,0,0
Piso 1 completo,,,,,,40,90752,0,5388,16,6,354067,0,0,509,0,0,0,0,0,0
Incompleto,|cFFFFFFFFPuntaje final: %1921c|r |n|cFF1eff00Conocimiento de la torre obtenido: %1922c |TInterface\ICONS\Spell_Broker_Orb.BLP:16:16|t|r,,,,,42,34450,0,5388,17,8,356246,0,0,511,521,0,0,0,0,0
Bóvedas Adamantinas completadas,|cFF1eff00Bonificación de conocimiento de la torre obtenido: %1946c |TInterface\ICONS\Spell_Broker_Orb.BLP:16:16|t|r,,,,,43,34450,0,5388,17,6,356432,0,0,0,0,0,0,0,0,0
Completo,|cFFFFFFFFPuntaje final: %1921c|r |n|cFF1eff00Conocimiento de la torre obtenido: %1922c |TInterface\ICONS\Spell_Broker_Orb.BLP:16:16|t|r|nConocimiento de la torre al máximo,,,,,44,34450,0,5388,17,8,356596,0,0,511,503,0,517,0,0,0
Incompleto,|cFFFFFFFFPuntaje final: %1921c|r |n|cFF1eff00Conocimiento de la torre obtenido: %1922c |TInterface\ICONS\Spell_Broker_Orb.BLP:16:16|t|r|nConocimiento de la torre al máximo,,,,,45,34450,0,5388,17,8,356597,0,0,511,521,0,517,0,0,0
Piso 2 completo,,,,,,47,90752,0,5388,16,6,357992,0,0,518,0,0,0,0,0,0
Piso 3 completo,,,,,,48,90752,0,5388,16,6,357993,0,0,519,0,0,0,0,0,0
Piso 4 completo,,,,,,49,90752,0,5388,16,6,357994,0,0,520,0,0,0,0,0,0
¡Impecable!,|cFFFFFFFFPuntaje final: %1921c|r |n|cFF1eff00Conocimiento de la torre obtenido: %1922c |TInterface\ICONS\Spell_Broker_Orb.BLP:16:16|t|r,,,,,50,0,0,5388,17,8,358449,0,0,511,503,0,0,183157,183155,0
,¡Campo de batalla desbloqueado!,,,,,51,117398,12015,0,4,3,0,0,0,0,0,0,0,0,0,0
Impecable,|cFFFFFFFFPuntaje final: %1921c|r |n|cFF1eff00Conocimiento de la torre obtenido: %1922c |TInterface\ICONS\Spell_Broker_Orb.BLP:16:16|t|r|nConocimiento de la torre al máximo,,,,,52,34450,0,5388,17,8,358450,0,0,511,503,0,517,0,0,0
Combatiente I,¡Mejoras de equipo de JcJ desbloqueadas!,,,,,60,0,12015,0,20,7,2,0,2023045,0,0,0,0,0,0,0
