ID,FeatureDescription_lang,FeatureIcon,ParentID
1,Domina la nueva clase Cazador de demonios,1260827,2
2,Combate hasta el nivel 110 en las Islas Quebradas,1064187,2
4,¡Embárcate en cientos de misiones nuevas!,236669,5
5,Combate hasta el nivel 100 en el mundo de Draenor,1033987,5
6,Construye y mejora tu fortaleza,1033989,5
7,¡Embárcate en cientos de misiones nuevas!,236669,4
8,Lucha hasta el nivel 70,236567,4
9,"Desbloquea nueve expansiones, incluida Dragonflight",1064187,4
10,Recluta a razas aliadas,413576,6
11,Lucha hasta el nivel 120 en Kul Tiras y Zandalar,1064187,6
12,Sube a un personaje hasta el nivel 110,1033988,6
116,Lucha hasta el nivel 60 en las Tierras de las Sombras,236567,115
117,Únete a un Pacto y domina su poder,3726261,115
118,"Asciende por Torghast, la Torre de los Condenados",3257863,115
122,Lucha hasta el nivel 70 en las Islas Dragón,1064187,135
123,Domina la nueva clase Evocador dracthyr,4696175,135
124,Surca los cielos con la dracoequitación,4640496,135
125,Comienza la aventura de la saga del alma del mundo,1064187,143
126,Lucha hasta el nivel 80 y obtén nuevos y poderosos talentos de héroe,135981,143
127,Explora abismos con un compañero PNJ,1786405,143
131,Precompra Midnight y continúa la épica historia de La saga del alma del mundo,1778229,149
132,"Zambúllete en The War Within ahora y descubre los nuevos abismos, calabozos y bandas",6025441,149
133,Consigue las llaves de tu casa y colecciona decoraciones para convertirla en tu hogar,7252953,149
