Name_lang,ID,Parent,Ui_order
Statistiques,1,-1,17
Joueur contre Joueur,21,1,10
Tours de force,81,-1,14
Personnages,92,-1,1
Joueur contre Joueur,95,-1,5
Quêtes,96,-1,2
Exploration,97,-1,3
Morts,122,1,3
Victimes,128,1,2
Personnage,130,1,1
Social,131,1,7
Compétences,132,1,5
Quêtes,133,1,4
Voyages,134,1,6
Créatures,135,128,1
Victoires honorables,136,128,2
Coups fatals,137,128,3
Richesse,140,130,1
Consommables,145,130,2
Arènes cotées,152,21,1
Champs de bataille,153,21,2
En extérieur,154,21,3
Évènements mondiaux,155,-1,9
Voile d'hiver,156,155,9
Sanssaint,158,155,7
Jardin des nobles,159,155,3
Fête lunaire,160,155,1
Solstice d'été,161,155,5
Fête des Brasseurs,162,155,6
Semaine des enfants,163,155,4
Arène,165,95,17
Donjons et raids,168,-1,6
Métiers,169,-1,7
Cuisine,170,169,12
Pêche,171,169,13
Métiers,172,15234,6
Métiers,173,132,2
Compétences secondaires,178,132,1
De l'amour dans l'air,187,155,2
Réputation,201,-1,8
Royaumes de l'Est,14777,97,1
Kalimdor,14778,97,2
Outreterre,14779,97,3
Norfendre,14780,97,4
Vallée d'Alterac,14801,95,5
Bassin Arathi,14802,95,3
Œil du cyclone,14803,95,4
Goulet des Chanteguerres,14804,95,2
The Burning Crusade,14805,168,2
Donjons de Lich King,14806,168,3
Donjons et raids,14807,1,9
Classique,14808,168,1
Classique,14821,14807,1
The Burning Crusade,14822,14807,2
Wrath of the Lich King,14823,14807,3
Royaumes de l'Est,14861,96,1
Outreterre,14862,96,3
Norfendre,14863,96,4
Classique,14864,201,1
The Burning Crusade,14865,201,2
Wrath of the Lich King,14866,201,3
Joug-d'hiver,14901,95,8
Raids de Lich King,14922,168,4
Tournoi d'Argent,14941,15301,1
Bienfaits du pèlerin,14981,155,8
L’île des Conquérants,15003,95,7
Donjons de Cataclysm,15067,168,5
Raids de Cataclysm,15068,168,6
Cataclysm,15069,97,5
Cataclysm,15070,96,5
Archéologie,15071,169,14
Cataclysm,15072,201,4
Bataille de Gilnéas,15073,95,9
Pics-Jumeaux,15074,95,10
Tol Barad,15075,15301,2
Guilde,15076,-1,16
Quêtes,15077,15076,2
Joueur contre Joueur,15078,15076,3
Donjons et raids,15079,15076,4
Métiers,15080,15076,5
Kalimdor,15081,96,2
Classique,15082,15079,1
Donjons de Cataclysm,15083,15079,5
The Burning Crusade,15084,15079,2
Donjons de Lich King,15085,15079,3
Raids de Lich King,15086,15079,4
Raids de Cataclysm,15087,15079,6
Général,15088,15076,1
Réputation,15089,15076,6
Champs de bataille,15090,15078,1
Arène,15091,15078,2
Champs de bataille cotés,15092,95,16
Tours de force de guilde,15093,15076,7
Cataclysm,15096,14807,4
Foire de Sombrelune,15101,155,10
Donjons de Mists of Pandaria,15106,168,7
Raids de Mists of Pandaria,15107,168,8
Pandarie,15110,96,6
Pandarie,15113,97,6
Pandarie,15114,201,5
Combats de mascottes,15117,-1,10
Collections,15118,15117,1
Bataille,15119,15117,2
Niveau,15120,15117,3
Donjons de Mists of Pandaria,15153,15079,7
Raids de Mists of Pandaria,15154,15079,8
Mines d’Éclargent,15162,95,11
Temple de Kotmogu,15163,95,12
Mists of Pandaria,15164,14807,5
Héritage,15176,1,13
Gorge de Vent-Caverneux,15218,95,14
Combats de mascottes,15219,1,11
Draenor,15220,96,7
Ordalie,15222,15301,4
Ordalie,15227,1,12
Donjons de Warlords of Draenor,15228,168,9
Raids de Warlords of Draenor,15231,168,10
Draenor,15232,201,6
