ID,Name_lang,Description_lang,IconFileDataID,PetTypeEnum,Cooldown,BattlePetVisualID,Flags
7,Main d’Alexander,Se rue sur l’adversaire pour lui infliger des dégâts.,132109,2,0,0,0
70,Heal Back Line Test,"Heal’s back line 50, but has a 2-round cooldown",135915,0,2,0,0
71,Damage Test,,135807,6,0,0,0
72,MultiEffect Test,,135817,0,0,0,0
73,Multi Turn Test,"Mord la cible et lui inflige [StandardDamage(1,1)] points de dégâts immédiatement, puis [StandardDamage(2,1)] points de dégâts au tour suivant.

Dure [numTurns()] |4tour:tours;.",0,1,0,0,0
74,MultiEffect and Multi Turn Test,,0,1,0,0,0
77,Piège puissant,Tentative pour capturer une mascotte disposant de moins de 35% de points de vie. Chances de capture augmentées de 25% à chaque essai raté.,646380,0,0,0,6
78,Apply Timed Dot Test,,0,0,5,0,0
79,Aura Damage10 Test,,0,-1,0,0,0
80,Apply Aura Test,,237179,0,0,0,0
81,Aura Bomb 75 Test,,0,0,0,0,0
82,Apply Dot until cancel test,,0,6,0,0,0
83,Apply Pad Aura Test,,460858,2,0,0,0
84,PadAuraTest,,132325,-1,0,104,0
85,Apply Stun test,,135891,1,0,0,0
86,Stun Aura Test,asdfasdfasdf,135906,-1,0,103,0
87,Appliquer le verrouillage des échanges,,460694,9,0,0,0
88,Aura de verrouillage des échanges,,132089,-1,0,0,0
97,Tir étourdissant,,0,6,0,0,0
110,Morsure,"|cffffffffChances de toucher :|r [StandardAccuracy(1,1)] 

Mord l’adversaire et lui inflige [StandardDamage(1,1)] points de dégâts [School()].",132127,7,0,0,0
111,Coup de poing,"|cffffffffChances de toucher :|r [StandardAccuracy(1,1)] 

Frappe l’adversaire et lui inflige [StandardDamage(1,1)] points de dégâts [School()].",132298,0,0,0,0
112,Coup de bec,"|cffffffffChances de toucher :|r [StandardAccuracy(1,1)] 

Frappe l’adversaire avec un bec aiguisé et lui inflige [StandardDamage(1,1)] points de dégâts [School()].",133707,2,0,0,0
