ID,TutorialText_lang,SpellID,ActionBarOverrideSpellID,SpellLabel,UiTextureKitID,UiPriority
1,Compétence de zone de fief débloquée !|n|nVous pouvez la faire glisser dans votre barre d’actions.,161691,170108,0,5289,0
2,Technique de zone kyriane débloquée !|n|nVous pouvez la faire glisser dans votre barre d’actions.,313347,313335,0,5290,100
3,Technique de zone kyriane débloquée !|n|nVous pouvez la faire glisser dans votre barre d’actions.,326526,326532,0,5290,200
4,Compétence de zone de fief débloquée !|n|nVous pouvez la faire glisser dans votre barre d’actions.,161691,170097,0,5289,0
5,Compétence de zone de fief débloquée !|n|nVous pouvez la faire glisser dans votre barre d’actions.,161691,170109,0,5289,0
6,Compétence de zone de fief débloquée !|n|nVous pouvez la faire glisser dans votre barre d’actions.,161691,166499,0,5291,0
7,Compétence de zone de fief débloquée !|n|nVous pouvez la faire glisser dans votre barre d’actions.,161691,166498,0,5291,0
8,Compétence de zone de fief débloquée !|n|nVous pouvez la faire glisser dans votre barre d’actions.,161691,161693,0,5292,0
9,Compétence de zone de fief débloquée !|n|nVous pouvez la faire glisser dans votre barre d’actions.,161691,161694,0,5293,0
10,Compétence de zone de fief débloquée !|n|nVous pouvez la faire glisser dans votre barre d’actions.,161691,168474,0,5294,0
11,Compétence de zone de fief débloquée !|n|nVous pouvez la faire glisser dans votre barre d’actions.,161691,166502,0,5295,0
12,Compétence de zone de fief débloquée !|n|nVous pouvez la faire glisser dans votre barre d’actions.,161691,162131,0,5296,0
13,Compétence de zone de fief débloquée !|n|nVous pouvez la faire glisser dans votre barre d’actions.,161691,168478,0,5297,0
14,Compétence de zone de fief débloquée !|n|nVous pouvez la faire glisser dans votre barre d’actions.,161691,171333,0,5298,0
15,Compétence de zone de fief débloquée !|n|nVous pouvez la faire glisser dans votre barre d’actions.,161691,171334,0,5298,0
16,Compétence de zone de fief débloquée !|n|nVous pouvez la faire glisser dans votre barre d’actions.,161691,166500,0,5295,0
17,Compétence de zone de fief débloquée !|n|nVous pouvez la faire glisser dans votre barre d’actions.,161691,162130,0,5299,0
18,,211390,0,193,5300,0
19,,251463,0,321,0,0
20,,264739,0,391,0,0
21,,314955,0,851,0,0
22,Technique de zone venthyr débloquée !|n|nVous pouvez la faire glisser dans votre barre d’actions.,313347,315593,0,5303,100
23,Technique de zone venthyr débloquée !|n|nVous pouvez la faire glisser dans votre barre d’actions.,326526,329350,0,5303,200
24,Technique de zone venthyr débloquée !|n|nVous pouvez la faire glisser dans votre barre d’actions.,313347,329887,0,5303,100
26,Technique de zone des Faë nocturnes débloquée !|n|nVous pouvez la faire glisser dans votre barre d’actions.,313347,331114,0,5310,100
27,Technique de zone des Faë nocturnes débloquée !|n|nVous pouvez la faire glisser dans votre barre d’actions.,313347,331119,0,5310,100
28,Technique de zone des Faë nocturnes débloquée !|n|nVous pouvez la faire glisser dans votre barre d’actions.,326526,331120,0,5310,200
29,Technique de zone des Nécro-seigneurs débloquée !|n|nVous pouvez la faire glisser dans votre barre d’actions.,313347,334387,0,5311,100
30,Technique de zone des Nécro-seigneurs débloquée !|n|nVous pouvez la faire glisser dans votre barre d’actions.,326526,334388,0,5311,200
31,Technique de zone venthyr débloquée !|n|nVous pouvez la faire glisser dans votre barre d’actions.,326526,340716,0,5303,200
32,Technique de zone kyriane débloquée !|n|nVous pouvez la faire glisser dans votre barre d’actions.,326526,340757,0,5290,200
33,Technique kyriane débloquée !|n|nVous pouvez la faire glisser dans votre barre d’actions.,313347,340835,0,5290,100
34,Technique kyriane distinctive débloquée !|n|nVous pouvez la faire glisser dans votre barre d’actions.,326526,341085,0,5290,200
35,Technique des Nécro-seigneurs débloquée !|n|nVous pouvez la faire glisser dans votre barre d’actions.,313347,341090,0,5311,100
36,Technique distinctive des Nécro-seigneurs débloquée !|n|nVous pouvez la faire glisser dans votre barre d’actions.,326526,341091,0,5311,200
37,Technique venthyr débloquée !|n|nVous pouvez la faire glisser dans votre barre d’actions.,313347,341093,0,5303,100
38,Technique venthyr distinctive débloquée !|n|nVous pouvez la faire glisser dans votre barre d’actions.,326526,341092,0,5303,200
39,Technique de Sylvarden débloquée !|n|nVous pouvez la faire glisser dans votre barre d’actions.,313347,341086,0,5310,100
40,Technique distinctive de Sylvarden débloquée !|n|nVous pouvez la faire glisser dans votre barre d’actions.,326526,341089,0,5310,200
41,Technique d’assemblage disponible|n|nVous pouvez la faire glisser dans votre barre d’actions.,347013,0,1156,5311,100
44,Technique disponible|n|nVous pouvez la faire glisser dans votre barre d’actions.,356550,0,1312,5311,100
45,Technique de Tourment disponible|n|nVous pouvez la faire glisser dans votre barre d’actions.,357857,0,1332,5405,90
46,,264739,358145,0,5310,0
47,,264739,358022,0,5290,0
48,,264739,358150,0,5311,0
49,,264739,358157,0,5303,0
50,Technique de zone des Nécro-seigneurs débloquée !|n|nVous pouvez la faire glisser dans votre barre d’actions.,313347,362180,0,5311,100
51,Invocation de Pocopoc débloquée !|n|nVous pouvez la faire glisser dans votre barre d’actions.,360078,362639,0,5421,100
52,[PH] Reuse ME,0,0,0,5303,100
53,,0,0,0,5428,90
54,Technique shikaar débloquée !|n|nVous pouvez la faire glisser dans votre barre d’actions.,376280,0,1533,5469,100
55,Technique shikaar débloquée !|n|nVous pouvez la faire glisser dans votre barre d’actions.,384522,0,1758,5469,100
57,Lancez la balle dans un but.,385265,0,1779,5428,1
58,L’aide de Célormu est disponible.|n |nVous pouvez la faire glisser dans votre barre d’actions.,385535,0,2291,5471,100
59,Recharge de vigueur|n |nVous pouvez la faire glisser dans votre barre d’actions.,409295,409302,0,5471,100
60,Réinitialisation de position|n |nVous pouvez la faire glisser dans votre barre d’actions.,409349,409350,0,5471,101
61,Tirez sur le tonneau avec le pistolet de Flynn.,248082,0,2797,5299,100
62,Aide en donjon |n |nVous pouvez la faire glisser dans votre barre d’actions.,426756,426758,0,5428,100
65,[PH] This is the ability you use for companion extra actions. |n |nYou can drag this to your action bar.,433878,0,0,5299,0
66,[PH] This is the ability you use for scenario extra actions. |n |nYou can drag this to your action bar.,434240,0,0,5299,0
67,Technique de Cours du temps débloquée !|n|nVous pouvez la faire glisser dans votre barre d’actions.,436521,0,3174,5556,103
68,Technique de Cours du temps débloquée !|n|nVous pouvez la faire glisser dans votre barre d’actions.,436524,0,3175,5556,104
69,Technique de Cours du temps débloquée !|n|nVous pouvez la faire glisser dans votre barre d’actions.,439053,0,3233,5556,101
70,Technique de Cours du temps débloquée !|n|nVous pouvez la faire glisser dans votre barre d’actions.,439052,0,3234,5556,100
71,Technique de pacte débloquée !|n|nVous pouvez la faire glisser dans votre barre d’actions.,441963,0,3337,5556,103
72,Assistance des montures |n |nVous pouvez faire glisser ceci dans votre barre d’actions.,452327,452324,0,5428,99
73,,452458,452461,0,5421,99
74,,453793,453801,0,5421,0
75,,454364,454368,0,5421,0
76,,454610,454611,0,5421,0
77,,454618,454620,0,5421,0
78,,454697,454698,0,5421,0
79,,454702,454703,0,5421,0
80,,454496,454709,0,5421,0
81,,454895,454896,0,5421,0
82,,459018,459019,0,5421,0
83,,459078,459079,0,5421,0
84,,463978,463979,0,5421,0
85,,463987,463989,0,5421,0
86,,464027,464028,0,5421,0
87,,464035,464037,0,5421,0
90,G-99 Ventraterre débloqué !|n|nVous pouvez le faire glisser dans votre barre d’actions.,1215279,1215281,0,5295,100
