ID,Text_lang,SortIndex,Min_level,Max_level,ContentTuningID
201,"|cffffd100Astuce :|r annulez l’incantation d’un sort en vous déplaçant, en sautant ou en appuyant sur la touche <Échap>.",2,20,250,0
222,|cffffd100Astuce :|r faites un <Ctrl>+clic sur un objet pour voir quelle serait votre apparence si vous le portiez.,4,20,250,0
223,|cffffd100Astuce :|r un objet dont le nom apparaît en gris est de piètre qualité et devrait le plus souvent être vendu à un marchand.,5,6,250,0
224,|cffffd100Astuce :|r un objet dont le nom apparaît en blanc est utile aux joueurs d’une certaine façon. Il peut être utilisé ou vendu à l’hôtel des ventes.,6,20,250,0
225,"|cffffd100Astuce :|r vous pouvez envoyer du courrier aux autres joueurs de votre royaume, ou même à vos autres personnages, à partir de n’importe quelle boîte aux lettres du jeu.",7,20,250,0
226,|cffffd100Astuce :|r faites un <Maj>+clic sur un objet pour créer un lien vers cet objet dans la fenêtre de discussion.,8,30,250,0
227,|cffffd100Astuce :|r reconfigurez les raccourcis de vos barres d’actions en accédant au menu Raccourcis avec la touche <Échap>.,11,15,250,0
229,"|cffffd100Astuce :|r si une cible apparaît grisée sur votre minicarte, c’est qu’elle se trouve dans une grotte ou un bâtiment où vous n’êtes pas.",12,11,49,0
230,"|cffffd100Astuce :|r le système des emotes vous permet d’accomplir de nombreuses actions amusantes. Par exemple, tapez /danser pour danser.",17,25,250,0
231,|cffffd100Astuce :|r accédez au menu Interface en appuyant sur la touche <Échap> afin de personnaliser les options du jeu.,20,10,49,0
234,|cffffd100Astuce :|r l’icône Courrier qui apparaît à côté de votre minicarte vous informe que vous avez reçu un nouveau message. Rendez-vous à une boîte aux lettres pour le consulter.,21,10,250,0
235,|cffffd100Astuce :|r ajoutez des barres d’actions supplémentaires à votre interface de jeu en accédant au menu Interface avec la touche <Échap>.,22,250,250,0
236,"|cffffd100Astuce :|r si vous maintenez la touche Maj enfoncée tout en cliquant droit sur une cible pour prendre le butin, vous prendrez automatiquement tout le butin se trouvant sur la cible.",23,10,49,0
237,"|cffffd100Astuce :|r si vous avez aimé jouer avec quelqu’un, ajoutez-le à votre liste de contacts !",27,20,250,0
240,"|cffffd100Astuce :|r si vous ne voulez plus qu’un joueur vous parle, cliquez sur son nom avec le bouton droit et sélectionnez Ignorer. Vous pourrez toujours changer d’avis par la suite.",159,10,250,0
241,"|cffffd100Astuce :|r ciblez les membres de votre groupe à l’aide des touches Fonction. F1 vous cible vous-même, F2 cible le deuxième coéquipier, et ainsi de suite.",31,40,250,0
242,"|cffffd100Astuce :|r si vous êtes poli en groupe, vous aurez plus de chances d’être invité à nouveau !",30,0,0,0
243,"|cffffd100Astuce :|r pour obtenir des informations supplémentaires sur une faction, cliquez sur son nom dans l’onglet de réputation.",32,0,0,0
244,|cffffd100Astuce :|r un monstre avec une étoile sous son portrait est un monstre rare qui détient un trésor de valeur supérieure à la moyenne.,33,15,250,0
245,"|cffffd100Astuce :|r lorsque vous consultez la carte, utilisez la molette de la souris pour zoomer sur une zone afin de la regarder de plus près.",36,0,0,0
251,|cffffd100Astuce :|r terminer des quêtes et des donjons est le meilleur moyen de gagner des niveaux.,45,10,40,0
254,|cffffd100Astuce :|r masquez l’interface à l’aide des touches <Alt>+W avant de faire une capture d’écran avec <Impr écran>.,44,0,0,0
256,"|cffffd100Astuce :|r faites un clic droit sur la carte pour afficher le continent, puis le monde, et un clic gauche pour revenir à une vue plus locale.",40,1,20,0
