ID,Name_lang,UiTextureAtlasMemberID,UiTextureKitID
3,Combat,3475,0
4,Générique,3475,0
5,Récupération,3567,0
6,Logistique,3580,0
7,Faune,3572,0
8,Commerce,3575,0
9,Construction,3578,0
10,Approvisionnement,3568,0
11,Recrutement,3583,0
12,Entraînement,3574,0
13,Patrouille,3582,0
14,Recherche,3574,0
15,Défense,3577,0
16,Exploration,3476,0
17,Siège,3570,0
18,Alchimie,3571,0
19,Forge,3474,0
20,Enchantement,3566,0
21,Ingénierie,3581,0
22,Calligraphie,3579,0
23,Joaillerie,3576,0
24,Travail du cuir,3584,0
25,Couture,3573,0
35,Trésor,3575,0
36,Combat de mascottes,3572,0
37,Navire - Combat,4613,174
38,Navire - Carburant (inutilisé),4614,175
39,Navire - Entraînement,4617,178
40,Navire - Trésor,4618,179
41,Ship-SiegeA,4615,176
42,Ship-SiegeH,4616,177
46,Reconnaissance,3582,0
47,Navire - Bonus,4897,220
48,Navire - Légendaire,4931,221
49,Navire - SiègeIHA,5016,224
50,Navire - SiègeIHH,5017,223
51,Soutien de zone - Alliance,5597,244
52,L’invasion,3577,224
53,Arme prodigieuse : mission de moine,4929,221
54,Generic (7.0),3475,0
55,7.0 Tutorial,4929,221
57,Soutien de région : Horde,5598,245
58,Arme prodigieuse : mission de chaman,4929,221
59,Arme prodigieuse : mission de druide,4929,221
60,Arme prodigieuse : mission de mage,4929,221
61,Arme prodigieuse : mission de chasseur,4929,221
63,Arme prodigieuse : mission de paladin,4929,221
64,Arme prodigieuse : mission de démoniste,4929,221
65,Arme prodigieuse : mission de chasseur de démons,4929,221
66,Arme prodigieuse : mission de voleur,4929,221
67,Arme prodigieuse : mission de prêtre,4929,221
68,Arme prodigieuse : mission de chevalier de la mort,4929,221
69,Arme prodigieuse : mission de guerrier,4929,221
70,7.0 Class Hall - Campaign Missions,6130,0
71,7.0 Class Hall - Generic Missions,6132,0
72,7.0 Class Hall - Treasure Missions,6128,0
73,7.0 Class Hall - Special Reward Missions,6131,0
74,7.0 Class Hall - Quest Missions,6130,0
75,7.0 Class Hall - Treasure Missions - Dungeon,6128,0
76,7.0 Class Hall - Treasure Missions - Raid,6128,0
79,7.2 Broken Shore - Generic Missions,6132,0
80,8.0 - Generic Missions,7747,0
81,8.0 - Stealth,7749,0
82,8.0 - Quick Strike,7748,0
83,8.0 - Long Campaign,8046,0
184,8.0 - Hub Unlock,7746,0
185,8.1 - Treasure Map,8778,0
186,8.2 - Holiday Mission,7746,0
187,8.2 - Deep Sea,9262,0
188,8.2 Azerite Essence - Treasure,8778,0
189,9.0 Encounter - Maldraxxus,6128,0
190,9.0 Encounter - Ardenweald,4929,0
191,9.0 Encounter - Revendreth,7748,0
192,9.0 Encounter - Bastion,6130,0
193,9.0 Rencontre - Tazavesh,6128,0
194,9.0 Rencontre - Assaut de l’Antre,6128,0
195,9.0 Encounter - Treasure,6128,0
196,Combats 9.2 - Zereth Mortis,6128,0
