ID,Question_lang
28,Le MJ a-t-il apporté une réponse ou une solution adaptée à votre question/problème ?
29,L’information fournie était-elle facile à comprendre et/ou à appliquer ?
30,"Au cours de vos échanges, le MJ était-il informé, poli et compréhensif ?"
31,Quelle note donneriez-vous au temps de réponse à votre requête ?
32,Quelle note donneriez-vous quant à votre expérience avec le MJ qui vous a aidé dans votre requête ?
33,"En vous basant sur votre expérience de l’assistance en jeu, recommanderiez-vous WoW à d’autres personnes ?"
35,"Suite à cette expérience avec le service clientèle de Blizzard, seriez-vous prêt à recommander les produits et services de Blizzard à vos amis ?"
36,Votre problème est-il résolu ?
37,"De manière générale, mon expérience avec le service clientèle de Blizzard était :"
38,Le délai de réponse du service d’assistance de Blizzard était :
39,Le professionnalisme de ce représentant de Blizzard était :
40,Les explications de ce représentant de Blizzard étaient :
41,"De manière générale, l’aide de ce représentant de Blizzard était :"
42,"Dans l’ensemble, à quel point êtes-vous satisfait(e) de World of Warcraft?"
43,Comptez-vous continuer à jouer à World of Warcraft à l’avenir ?
44,Comptez-vous recommander World of Warcraft à un ami ?
45,À quel point êtes-vous satisfait(e) du service fourni par votre conseiller lors de votre dernier contact avec Blizzard ?
46,Le conseiller a bien compris la raison pour laquelle j’ai contacté Blizzard.
47,Le conseiller a accordé de l’importance à mon cas.
48,Le conseiller a fourni des réponses claires et informatives.
49,Le conseiller a expliqué comment mon problème allait être traité.
50,Mon problème a été résolu.
51,Êtes-vous satisfait(e) du temps qu’il vous a fallu attendre avant d’entrer en contact avec un conseiller ?
52,Combien de fois avez-vous contacté Blizzard pour que votre problème soit résolu ?
53,Le conseiller possédait les connaissances nécessaires à la résolution de mon problème.
