CustomGossipDescriptionString_lang,CompletedOptionDescriptionString_lang,ID,GossipMenuID,UiTextureKitID
"La salle de Skoldus est l’un des nombreux quartiers pénitentiaires de Tourment. Le veilleur Skoldus y tourmente ses prisonniers et les éventuels intrus capturés dans son domaine à grand renfort de bêtes monstrueuses, de chaînes et de pièges en tout genre.",Récompense reçue. Terminez à nouveau cet échelon pour obtenir une petite quantité de cendres d’âme supplémentaires.,1,26048,5352
,,2,26191,5336
,,3,26192,5336
"Les chambres aux Fractures abritent les prisonniers venus des autres royaumes de l’Ombreterre, qui y sont soumis à d’éternels tourments alors qu’on leur brise les os encore et encore. Délivrez ces pauvres âmes et elles se retourneront contre leurs tortionnaires.",Récompense reçue. Terminez à nouveau cet échelon pour obtenir une petite quantité de cendres d’âme supplémentaires.,4,26375,5354
"Suspendu entre les flèches vertigineuses de Tourment, l’interstice Cœur-Algide abrite le repaire des Kyrians antreliges qui attaquent depuis les airs afin de précipiter les intrus dans les abîmes ténébreux en contrebas.",Récompense reçue. Terminez à nouveau cet échelon pour obtenir une petite quantité de cendres d’âme supplémentaires.,5,26377,5355
"À l’instar du terrain changeant et accidenté de Mort’regar, les âmes qui y sont piégées sont devenues méconnaissables. Les troupes du Geôlier les soumettent à des expériences nécromantiques visant à les transformer en monstruosités.",Récompense reçue. Terminez à nouveau cet échelon pour obtenir une petite quantité de cendres d’âme supplémentaires.,6,26378,5353
"Réservés aux plus dévoués serviteurs du Geôlier, les étages supérieurs sont gardés par des soldats d’élite antreliges et leurs alliés venthyrs, qui veillent au bon fonctionnement des plus puissantes défenses de leur maître.",Récompense reçue. Terminez à nouveau cet échelon pour obtenir une petite quantité de cendres d’âme supplémentaires.,7,26379,5357
"Comme leur nom l’indique, les couloirs Distordus serpentent selon un tracé imprévisible à travers l’ensemble des nombreux quartiers pénitentiaires de Tourment. Rares sont ceux qui s’y aventurent à survivre à la longue et périlleuse ascension de ces 18 étages gardés par toutes sortes de serviteurs du Geôlier.",Récompense reçue,8,26380,5358
"Les âmes condamnées sont conduites aux forges des Âmes où elles sont fondues pour fabriquer des armes et armures destinées à l’armée du Geôlier. Prudence, car les flammes y sont omniprésentes.",Récompense reçue. Terminez à nouveau cet échelon pour obtenir une petite quantité de cendres d’âme supplémentaires.,9,26376,5356
"La salle de Skoldus est l’un des nombreux quartiers pénitentiaires de Tourment. Le veilleur Skoldus y tourmente ses prisonniers et les éventuels intrus capturés dans son domaine à grand renfort de bêtes monstrueuses, de chaînes et de pièges en tout genre.",Récompense reçue. Terminez à nouveau cet échelon pour obtenir une petite quantité de cendres d’âme supplémentaires.,10,26655,5352
"Les chambres aux Fractures abritent les prisonniers venus des autres royaumes de l’Ombreterre, qui y sont soumis à d’éternels tourments alors qu’on leur brise les os encore et encore. Délivrez ces pauvres âmes et elles se retourneront contre leurs tortionnaires.",Récompense reçue. Terminez à nouveau cet échelon pour obtenir une petite quantité de cendres d’âme supplémentaires.,11,26656,5354
"Les âmes condamnées sont conduites aux forges des Âmes où elles sont fondues pour fabriquer des armes et armures destinées à l’armée du Geôlier. Prudence, car les flammes y sont omniprésentes.",Récompense reçue. Terminez à nouveau cet échelon pour obtenir une petite quantité de cendres d’âme supplémentaires.,12,26657,5356
"Suspendu entre les flèches vertigineuses de Tourment, l’interstice Cœur-Algide abrite le repaire des Kyrians antreliges qui attaquent depuis les airs afin de précipiter les intrus dans les abîmes ténébreux en contrebas.",Récompense reçue. Terminez à nouveau cet échelon pour obtenir une petite quantité de cendres d’âme supplémentaires.,13,26658,5355
"À l’instar du terrain changeant et accidenté de Mort’regar, les âmes qui y sont piégées sont devenues méconnaissables. Les troupes du Geôlier les soumettent à des expériences nécromantiques visant à les transformer en monstruosités.",Récompense reçue. Terminez à nouveau cet échelon pour obtenir une petite quantité de cendres d’âme supplémentaires.,14,26659,5353
"Réservés aux plus dévoués serviteurs du Geôlier, les étages supérieurs sont gardés par des soldats d’élite antreliges et leurs alliés venthyrs, qui veillent au bon fonctionnement des plus puissantes défenses de leur maître.",Récompense reçue. Terminez à nouveau cet échelon pour obtenir une petite quantité de cendres d’âme supplémentaires.,15,26660,5357
"Comme leur nom l’indique, les couloirs Distordus serpentent selon un tracé imprévisible à travers l’ensemble des nombreux quartiers pénitentiaires de Tourment. Rares sont ceux qui s’y aventurent à survivre à la longue et périlleuse ascension de ces 18 étages gardés par toutes sortes de serviteurs du Geôlier.|n|nLa boîte aux mille tours est inopérante en ces lieux.",Récompense reçue,16,26661,5358
,,17,25967,5283
,,18,26513,5283
,,19,26517,5287
,,20,26516,5285
,,21,26514,5302
,,22,26131,5283
,,23,26132,5302
,,24,26133,5287
,,25,26041,5285
,,26,26324,5283
,,27,26323,5283
,,28,26327,5283
,,29,26322,5283
,,30,26326,5283
,,31,26328,5287
,,32,26342,5287
,,33,26344,5287
,,34,26341,5287
,,35,26343,5287
,,36,26346,5302
,,37,26347,5302
,,38,26348,5302
,,39,26345,5302
,,40,26349,5302
,,41,26356,5285
,,42,26355,5285
,,43,26358,5285
,,44,26354,5285
,,45,26357,5285
"Récemment découverts, les caveaux Impitoyables retiennent certains des prisonniers les plus honnis par le Geôlier.",Récompense reçue. Terminez à nouveau cet échelon pour obtenir une petite quantité de cendres d’âme supplémentaires.,46,26812,5354
Vous combattez des créatures sur 8 étages et des boss dans chaque aile de Tourment. Les combats se corsent au fil de votre ascension.|n|nIl est conseillé de venir en groupe.|n|nLa boîte aux mille tours est inopérante en ces lieux.,Récompense reçue,47,27436,5358
Vous combattez des créatures sur 8 étages et des boss dans chaque aile de Tourment. Les combats se corsent au fil de votre ascension.|n|nIl est conseillé de venir en groupe.|n|nLa boîte aux mille tours est inopérante en ces lieux.,Récompense reçue,48,27491,5358
,,50,32917,5551
,,51,32924,5551
,,52,33048,5551
,,53,33148,5551
,,54,33198,5551
,,56,33340,5551
,,57,33398,5551
,,58,33426,5551
,,59,33664,5551
,,60,33804,5551
,,61,33912,5551
,,63,33965,5551
,,64,34040,5551
,,65,36702,5551
,,66,37069,5551
,,68,37309,5551
