ID,Description_lang
1,"La foire de Sombrelune est installée dans la sublime forêt d'Elwynn.

Rendez visite à Silas Sombrelune et sa troupe, jouez à des jeux qui mettront à l'épreuve votre esprit et vos nerfs, et découvrez des visions exotiques venues des quatre coins d'Azeroth… et au-delà !"
2,"Azeroth est en fête ! Vous pouvez admirer un feu d’artifice toutes les heures dans les capitales, et ce pendant toute la nuit !"
4,"Un tournoi de pêche qui se déroule le long des côtes de la vallée de Strangleronce. Pêchez autant de courbines que possible !

Serez-vous l’un des premiers à attraper quarante poissons et à gagner un prix ? Les courbines peuvent être pêchées pendant deux heures après le début du concours, mais il faudra être rapide pour gagner !"
8,"D'abord célébrée par les nains, la fête des Brasseurs attire aujourd'hui toutes les races d'Azeroth !

Rendez-vous dans le camp de l'Alliance, à l'extérieur de Forgefer, ou dans le camp de la Horde, à l'extérieur d'Orgrimmar, et joignez-vous à la fête !"
9,"Il y a quelque chose dans l’air dans les grandes villes d’Azeroth. Les artisans ont organisé le Gala des cadeaux, où les habitants peuvent acheter des gages d’affection et de gentillesse pour leurs proches."
10,"Un moment de joie et de fête, dédié à la plus chaude saison de l'année."
11,"Lorsque le soleil se couche, la fin du solstice est célébrée toutes les heures par des feux d'artifice époustouflants.

Pour voir le spectacle, rendez-vous dans n'importe quelle capitale ou à Baie-du-Butin."
12,"Montrez à un orphelin à quoi ressemble la vie d’un héros ! Rendez visite à la directrice de l’orphelinat Rossignol à Hurlevent, à la directrice de l’orphelinat Plainteguerre à Orgrimmar, à Miss Hérikorde à Shattrath, à la directrice de l’orphelinat Aria à Dalaran, à l’éducateur Padae à Dazar’alor ou à la directrice de l’orphelinat Westerson à Boralus et réalisez les rêves d’un enfant !"
13,"Le Grand-père Hiver se rend dans les villes de Forgefer et d'Orgrimmar, avec l'aimable autorisation des Gourmandises Fumebois. Et dans tout Azeroth, c'est la saison de la bonne humeur !"
14,La fête du Jardin des nobles est arrivée. Les terres où chaque jeune héros teste ses forces pour la première fois cachent toutes des œufs remplis de trésors. Combien arriverez-vous à en trouver ?
15,"La Sanssaint célèbre la séparation entre les Réprouvés et le Fléau.

La fête et l'espièglerie règnent tandis que les aubergistes d'Azeroth distribuent bonbons et blagues à qui le leur demande."
16,La fête des Moissons permet de rendre hommage à ceux qui ont sacrifié leur vie pour aider leurs amis et leurs alliés. Des festins sont organisés à Orgrimmar et Forgefer en l'honneur de ces héros disparus.
17,"Chaque année, les druides de Reflet-de-lune commémorent la victoire de leur cité sur un mal ancien. Pendant la fête lunaire, les citoyens d’Azeroth ont l’occasion de rendre hommage à leurs anciens en écoutant leurs avis, en participant à de splendides festins et bien entendu… en tirant des feux d’artifice !"
18,"Lancée par les nains, la fête des Brasseurs célèbre aujourd'hui la bière et la fête partout dans le monde."
21,"Le capitaine DeMeza fait voile sur la ville gobeline de Baie-du-Butin. Elle recrute des amoureux de la terre dans les rangs de ses boucaniers.

Si vous vous sentez une âme de pirate, rendez-lui visite ou allez parler à ses hommes de main dans les capitales !"
22,La bataille pour la vallée d'Alterac s'intensifie. Un plus grand honneur est donné à ceux qui prêtent allégeance à leur seigneur et qui se battent à Alterac.
23,La bataille pour le bassin Arathi s'intensifie. Un plus grand honneur est donné à ceux qui prêtent allégeance à leur seigneur et qui se battent en Arathor.
24,La bataille pour l'Œil du cyclone s'intensifie. Un plus grand honneur est donné à ceux qui prêtent allégeance à leur seigneur et qui se battent dans l'Œil.
25,La bataille pour le goulet des Chanteguerres s'intensifie. Un plus grand honneur est donné à ceux qui prêtent allégeance à leur seigneur et qui se battent dans le goulet.
26,"La foire de Sombrelune est installée au pied des Pitons-du-Tonnerre.

Rendez visite à Silas Sombrelune et sa troupe, jouez à des jeux qui mettront à l'épreuve votre esprit et vos nerfs, et découvrez des visions exotiques venues des quatre coins d'Azeroth… et au-delà !"
27,"La foire de Sombrelune est installée à l'extérieur de Shattrath.

Rendez visite à Silas Sombrelune et sa troupe, jouez à des jeux qui mettront à l'épreuve votre esprit et vos nerfs, et découvrez des visions exotiques venues des quatre coins d'Azeroth… et au-delà !"
41,La bataille pour le rivage des Anciens s'intensifie. Un plus grand honneur est donné à ceux qui prêtent allégeance à leur seigneur et qui se battent sur le rivage des Anciens.
61,"Le départ pour le courroux du roi-liche se fera le 13 novembre.

Des vaisseaux de l'Alliance prendront la mer depuis les ports de Menethil et Hurlevent.

Des zeppelins de la Horde largueront leurs amarres à l'extérieur d'Orgrimmar et de Fossoyeuse.

À bientôt en Norfendre..."
81,"À l'occasion du Jour des morts, les gens se rassemblent dans les cimetières pour célébrer et chérir la mémoire de leurs proches disparus.

Les festivités se déroulent dans les cimetières des grandes villes, où les participants se réunissent pour cuisiner, danser, ou encore pour se déguiser."
101,"Les Bienfaits du pèlerin est un moment où l'on se rappelle que la chance nous a souri, et où l'on partage son repas avec tous ceux qui nous entourent."
121,La bataille pour l'île des Conquérants s'intensifie. Un plus grand honneur est donné à ceux qui prêtent allégeance à leur seigneur et qui se battent sur l'île.
141,Test test
161,"Les Kalu'aks organisent un tournoi de pêche tous les quelques jours en Norfendre. Attrapez en premier un requin pointe-noire et gagnez le respect des Kalu'ak, ainsi qu'une incroyable récompense !"
162,"La bataille de Gilnéas se poursuit dans la fière cité d'antan, dont les envahisseurs réprouvés tentent d'arracher le contrôle aux défenseurs maudits quartier après quartier."
163,"Pendant plus de vingt ans, les nains du clan Marteau-Hardi et les Orcs gueules-de-dragon se sont affrontés pour les vallées fertiles des hautes-terres orientales des royaumes de l'Est."
164,Les champs de bataille à 10 contre 10 sont disponibles. Rejoignez un groupe avec 9 autres joueurs et inscrivez-vous en file d'attente pour un champ de bataille coté dans le menu JcJ pour gagner des points de conquête.
165,Les champs de bataille à 15 contre 15 sont disponibles. Rejoignez un groupe avec 14 autres joueurs et inscrivez-vous en file d'attente pour un champ de bataille coté dans le menu JcJ pour gagner des points de conquête.
166,Les champs de bataille à 25 contre 25 sont disponibles. Rejoignez un groupe avec 24 autres joueurs et inscrivez-vous en file d'attente pour un champ de bataille coté dans le menu JcJ pour gagner des points de conquête.
188,"C’est l’anniversaire de World of Warcraft !

L’équipe de développement du jeu vous remercie de prendre plaisir à parcourir les terres d’Azeroth et au-delà en sa compagnie."
201,"La foire de Sombrelune est ouverte !

Rendez visite à Silas Sombrelune et sa troupe, jouez à des jeux qui mettront à l'épreuve votre esprit et vos nerfs, et découvrez des visions exotiques venues des quatre coins d'Azeroth… et au-delà !"
204,"Dans le but de s’enrichir davantage, la KapitalRisk a réussi à vendre les droits d’exploitation des mines d’Éclargent à l’Alliance ET à la Horde ! Maintenant, les mercenaires engagés par les deux opérations minières rivales de Forgefer et de Baille-Fonds s’affrontent pour les précieuses ressources..."
205,"Les agents du Lotus doré ont découvert d’antiques artéfacts puissants longtemps enfermés dans le temple de Kotmogu. Les moines tushui et huojin combattent dans le but de s’octroyer des appareils dont on ne sait toujours rien, et enrôlent tous les alliés qu’ils trouvent dans l’Alliance et la Horde."
215,"Dans la vallée des Quatre vents, les mines du nouveau champ de bataille, la gorge de Vent-Caverneux, mesurent la victoire non en nombre d’ennemis tués, mais en or."
217,"Pendant toute la durée de cet évènement, vos mascottes gagnent deux fois plus d’expérience ! Faites-les combattre sans attendre !"
218,"Pendant toute la durée de cet évènement, le fait de vaincre des ennemis dans un donjon héroïque ou mythique de niveau 100 augmentera votre réputation auprès de l’une des factions de Draenor."
219,"Pendant toute la durée de cet évènement, les champs de bataille aléatoires vous font gagner plus de points d’honneur. À vous la gloire !"
220,"Pendant cet évènement, les personnages-joueurs de niveau 10 ou supérieur peuvent rejoindre la file d’attente d’un donjon des Marcheurs du temps, ce qui adapte les donjons et les récompenses au niveau de votre personnage-joueur, pour revisiter des donjons de l’extension Wrath of the Lich King.

Ainsi, vous pouvez former un groupe de raid de 10 à 30 joueurs, puis parler à Vormu à Dalaran, au Norfendre, pour accéder à Ulduar en version Marcheurs du temps."
221,"Pendant toute la durée de cet évènement, les escarmouches en arène vous font gagner plus de points d’honneur. Répondez à l’appel du combat !"
222,"Pendant cet évènement, les personnages-joueurs de niveau 10 ou supérieur peuvent rejoindre la file d’attente d’un donjon des Marcheurs du temps, ce qui adapte les donjons et les récompenses au niveau de votre personnage-joueur, pour revisiter des donjons de l’extension Burning Crusade.

Ainsi, vous pouvez former un groupe de raid de 10 à 30 joueurs, puis parler à Vormu à Shattrath, en Outreterre, pour accéder au Temple noir en version Marcheurs du temps."
