Name_lang,Description_lang,ID,JournalEncounterID,CreatureDisplayInfoID,FileDataID,OrderIndex,UiModelSceneID
Glubtok,,358,89,37410,522228,0,9
Hélix Engrecasse,,359,90,33002,522234,0,9
Faucheur 5000,,360,91,35606,522225,0,9
Amiral Grondéventre,,361,92,35739,522189,0,9
« Capitaine » Macaron,,362,93,1305,522210,0,9
Vanessa VanCleef,,365,95,32806,522278,0,9
Baron Ashbury,,366,96,34610,522205,0,9
Baron d’Argelaine,,367,97,37288,522206,0,9
Commandant Printeval,,368,98,37287,522213,0,9
Seigneur Walden,,369,99,34612,522249,0,9
Seigneur Godfrey,,370,100,34611,522247,0,9
Dame Naz’jar,,371,101,34342,522245,0,9
Commandant Ulthok,,372,102,84332,522214,0,9
Torve-esprit Ghur’sha,,373,103,32259,522253,0,9
Ozumat,,374,104,34135,522259,0,9
Rom’ogg Broie-les-Os,,375,105,33147,522266,0,9
"Corla, héraut du Crépuscule",,376,106,31546,522216,0,9
Karsh Plielacier,,377,107,31710,522244,0,9
La Belle,,378,108,34433,522207,0,9
Seigneur ascendant Obsidius,,379,109,36465,522201,0,9
Corborus,,380,110,33477,522215,0,9
Peau-de-Pierre,,381,111,36476,522271,0,9
Ozruk,,382,112,36475,522258,0,9
Grande prêtresse Azil,,383,113,26448,522237,0,9
Grand vizir Ertan,,384,114,35181,522229,0,9
Altairus,,385,115,34265,522192,0,9
Asaad,,386,116,35388,522200,0,9
Général Husam,,387,117,34743,523205,0,9
Augh,,388,118,37339,522203,1,9
Claque-Mâchoire,,389,118,33438,522246,0,9
Grand prophète Barim,,390,119,34744,522239,0,9
Siamat,,394,122,35388,522269,0,9
Gardien du temple Anhuur,,424,124,35067,522272,0,9
Enrageterre Ptah,,425,125,31450,522219,0,9
Anraphet,,426,126,34580,522195,0,65
Isiset,,427,127,33465,522241,0,66
Ammunae,,428,128,32943,522194,0,66
Setesh,,429,129,33055,522267,0,66
Rajh,,430,130,33177,522262,0,66
Général Umbriss,,431,131,31498,522227,0,9
Maître-forge Throngus,,432,132,33429,522226,0,66
Drahga Brûle-Ombre,,433,133,31792,522218,0,9
Valiona,,434,133,31795,522276,1,9
Erudax,,435,134,33428,522222,0,9
Argaloth,,463,139,35426,522198,0,9
Occu’thar,,464,140,37876,523207,0,9
Nezir,Seigneur du vent du Nord,555,154,35232,522256,1,9
Anshal,Seigneur du vent d'Ouest,556,154,35233,522196,0,9
Rohash,Seigneur du vent d'Est,557,154,35234,522265,2,9
Al’akir,,558,155,35248,522191,0,9
Halfus Brise-Wyrm,,559,156,34816,522232,0,66
Valiona,,560,157,34812,522277,1,9
Theralion,,561,157,34813,522274,0,9
Terrastra,Ascendant conseiller de la terre,562,158,34824,522273,3,9
Monstruosité en élémentium,L'ensemble des ascendants conseillers,563,158,34825,522221,4,9
Ignacious,Ascendant conseiller de la flamme,564,158,34821,522240,1,9
Feludius,Ascendant conseiller de l'eau,565,158,34822,522224,0,9
Arion,Ascendant conseiller de l'air,566,158,34823,522199,2,9
Cho’gall,,587,167,34576,522212,0,9
Sinestra,,588,168,34335,522270,0,9
Electron,,589,169,32688,522220,2,9
Toxitron,,590,169,32684,522275,3,9
Magmatron,,591,169,32685,522250,0,9
Arcanotron,,592,169,32687,522197,1,9
Magmagueule,,593,170,37993,522251,0,9
Atramédès,,594,171,34547,522202,0,9
Chimaeron,,595,172,33308,522211,0,9
Maloriak,,596,173,33186,522252,0,9
Onyxia,,599,174,32569,522257,1,9
Nefarian,,600,174,32716,522255,0,9
Grand prêtre Venoxis,,601,175,37788,522236,0,9
Seigneur sanglant Mandokir,,602,176,37816,522209,0,9
Gri’lek,,603,177,8390,522230,0,9
Hazza’rah,,604,178,37832,522233,0,9
Renataki,,605,179,37830,522263,0,9
Wushoolay,,606,180,37831,522279,0,9
Grande prêtresse Kilnara,,607,181,37805,522238,0,9
Zanzil,,616,184,37813,522280,0,9
Jin’do le Briseur de dieux,,617,185,37789,522243,0,9
Akil’zon,,618,186,21630,522190,0,9
Nalorakk,,619,187,21631,522254,0,9
Jan’alai,,620,188,21633,522242,0,9
Halazzi,,621,189,21632,522231,0,9
Seigneur des maléfices Malacrass,,622,190,22332,522235,0,9
Daakara,,623,191,38118,522217,0,9
Beth’tilac,,624,192,38227,522208,0,9
Seigneur Rhyolith,,625,193,38414,522248,0,9
Alysrazor,,626,194,38446,522193,0,9
Shannox,,627,195,38448,522268,0,9
Chambellan Forteramure,,628,197,37953,522223,0,9
Ragnaros,,629,198,37875,522261,0,280
Dadais chancelant,,630,90,33003,523206,1,9
Baleroc,,770,196,38621,522204,0,9
Echo de Tyrande,,817,283,39617,571749,0,9
Murozond,Le seigneur de l’Infini,827,289,38931,536059,0,9
Aile de mort,,855,318,35268,536056,0,9
Hagara la Lieuse des tempêtes,,856,317,39318,536057,0,9
Arcurion,,862,322,35978,571743,0,9
Écho de Sylvanas,,864,323,38655,571748,0,9
Reine Azshara,,865,291,39391,571747,0,9
Seigneur de guerre Zon’ozz,,867,324,39138,536061,0,9
Ultraxion,,875,331,39099,571750,0,9
Yor’sahj l’Insomniaque,,876,325,39101,536062,0,9
Maître de guerre Corne-Noire,,877,332,39399,571752,0,9
Morchok,,881,311,39094,536058,0,9
Peroth’arn,,895,290,39182,536060,0,9
Alizabal,,896,339,21252,571742,0,9
Archevêque Benedictus,,899,341,38991,536053,0,9
Écho de Baine,,900,340,38791,571744,0,9
Écho de Jaina,,903,285,38802,571745,0,9
Asira Fauchelaube,,904,342,38995,536054,0,9
Aile de mort,,905,333,40087,536055,0,9
Mannoroth,,913,292,38996,571746,0,9
Capitaine Varo’then,,914,292,39127,571746,1,9
Grande Interrogatrice Gerstahn,,942,369,8761,607644,0,9
Seigneur Roccor,,943,370,5781,607697,0,9
Maître-chien Grebmar,,944,371,9212,607647,0,9
Pyromancien Blé-du-savoir,,945,373,8762,607749,0,9
Seigneur Incendius,,946,374,1204,607694,0,63
Gardien Stilgiss,,947,375,9089,607814,0,9
Fineous Sombrevire,,948,376,8704,607602,0,9
Bael’Gar,,949,377,12162,607549,0,9
Général Forgehargne,,950,378,8756,607610,0,9
