ID,Title_lang,BodyText_lang,JournalEncounterID,OrderIndex,ParentSectionID,FirstChildSectionID,NextSiblingSectionID,Type,IconCreatureDisplayInfoID,UiModelSceneID,SpellID,IconFileDataID,Flags,IconFlags,DifficultyMask
816,Piétinement puissant,"Throngus frappe le sol du pied, provoquant l’Eboulement des murs de Grim Batol. Il n’effectuera pas de Piétinement puissant s’il a équipé son bouclier.",132,1,0,0,817,2,0,0,0,132368,0,0,-1
817,Éboulement,"Une fois que le Piétinement puissant de Throngus a affaibli les murs de Grim Batol, des morceaux de roche commencent à tomber sur un personnage-joueur choisi au hasard dans une zone de $74986A1 mètres de rayon. Les personnages-joueurs qui restent dans cette zone subissent $74986s1 points de dégâts physiques par seconde.",132,2,0,0,818,2,0,0,0,132153,0,0,-1
818,Choix d’une arme,"Throngus a plusieurs armes redoutables à sa disposition. Régulièrement au cours de la rencontre, il choisit de façon aléatoire un énorme bouclier, deux épées ou une dangereuse masse. L’arme choisie lui confère de nouvelles techniques pendant une courte durée lors de la rencontre.",132,3,0,0,819,1,0,0,0,134400,0,0,-1
819,Techniques de bouclier,,132,4,0,820,823,0,0,0,0,0,1,0,-1
820,Phalange individuelle,Throngus pointe aléatoirement son bouclier vers une nouvelle cible toutes les 10 s. Les dégâts infligés à Throngus par un personnage-joueur se tenant devant le bouclier sont réduits de $74909s1%.,132,5,819,0,821,2,0,0,0,331053,0,2,-1
821,Flèche enflammée,"Tant que Throngus est équipé d’un bouclier, des archers tirent en permanence des flèches enflammées depuis les fenêtres en hauteur sur des personnages-joueurs choisis au hasard. Chaque flèche enflammée inflige $74944s1 points de dégâts de Feu.",132,6,819,0,822,2,0,0,0,132312,0,0,-1
822,Bouclier incendiaire,Un cône de flammes de 60 degrés jaillit du bouclier de Throngus et inflige $90830s1 points de dégâts de Feu par seconde à toute cible ennemie enveloppée par les flammes.,132,7,819,0,0,2,0,0,0,134982,2,8,14
823,Techniques à l’épée,,132,8,0,824,828,0,0,0,0,0,1,0,-1
824,Double-lames,"Throngus équipe une épée en flammes dans chaque main, ce qui lui confère une technique permettant d'attaquer simultanément avec chaque arme. Ses dégâts de mêlée sont diminués de $74981s3% pendant ce temps.",132,9,823,0,825,2,0,0,0,132147,0,0,-1
825,Rosser,Throngus attaquera parfois deux fois de plus quand il attaque avec ses épées.,132,10,823,0,826,2,0,0,0,132152,0,0,-1
826,Rugissement désorientant,"Throngus pousse un puissant rugissement qui réduit les vitesses d’attaque et d’incantation des personnages-joueurs de $74976s1%. Ces derniers peuvent dissiper cet effet en lançant un sort ou en utilisant une technique. $[!2,4

En mode héroïque, le Rugissement désorientant réduit les vitesses d'attaque et d'incantation des personnages-joueurs de 150%, et chaque fois qu'un personnage-joueur lance un sort ou utilise une technique, le montant de la réduction baisse de $74976s1%.$]",132,11,823,0,827,2,0,0,0,132352,0,0,-1
827,Flammes ardentes,"Les lames ardentes brûlent la cible des attaques en mêlée de Throngus et infligent $90764s1 points de dégâts de Feu toutes les $90764t1 s pendant $90764d. Cet effet se cumule, mais peut être dissipé en un coup.",132,12,823,0,0,2,0,0,0,135822,2,140,14
828,Techniques de masse,,132,13,0,829,0,0,0,0,0,0,1,0,-1
829,Encombré,"Le poids extrême de la masse dont est équipé Throngus diminue sa vitesse de déplacement de $75007s2%, mais augmente les dégâts de son attaque en mêlée de $75007s1%.",132,14,828,0,830,2,0,0,0,133490,0,1,-1
830,Heurt d’empalement,"Throngus saute sur une cible aléatoire, l’empalant sur sa masse et lui infligeant $75056s3 points de dégâts physiques toutes les $75056t3 s pendant $75056d.",132,15,828,0,831,2,0,0,0,133490,0,0,-1
831,Gerbe de lave,"Quand Throngus se déplace avec sa masse embrasée, il laisse des gerbes de feu sur le sol. Elles infligent $90754s1 points de dégâts de Feu par seconde à tout personnage-joueur qui se tient dedans.",132,16,828,0,0,2,0,0,0,135822,2,8,14
