ID,DisplayName_lang,Description_lang,Field_9_0_1_33978_001,MatQualityWeight,Field_10_0_0_44649_004
1,Définir la Hâte,"Les plans, patrons et recettes d’armure et d’accessoire rares et légendaires de Shadowlands.",0,0,0
3,TEST ONLY,,1,0,0
5,Définir la Maîtrise,"Les plans, patrons et recettes d’armure et d’accessoire rares et légendaires de Shadowlands.",0,0,0
6,Définir le score de Coup critique,"Les plans, patrons et recettes d’armure et d’accessoire rares et légendaires de Shadowlands.",0,0,0
7,Définir la Polyvalence,"Les plans, patrons et recettes d’armure et d’accessoire rares et légendaires de Shadowlands.",0,0,0
8,Augmentation du niveau d’objet,,0,0,0
11,Ceinture desserrée,,0,0,0
15,Définir la série,,0,0,0
17,Utiliser,,1,0,0
18,Augmentation du niveau d’objet,De nombreuses recettes d’équipement antérieures à Shadowlands.,0,0,0
25,Divers,,0,0,0
29,Changement de niveau d’objet,La plupart des recettes d’équipement de Shadowlands.,0,0,0
30,Augmentation du niveau d’objet,De nombreuses recettes d’équipement antérieures à Shadowlands.,0,0,0
31,Augmentation du niveau d’objet,De nombreuses recettes d’équipement antérieures à Shadowlands.,0,0,0
32,Augmentation du niveau d’objet,De nombreuses recettes d’équipement antérieures à Shadowlands.,0,0,0
33,Augmentation du niveau d’objet,De nombreuses recettes d’équipement antérieures à Shadowlands.,0,0,0
35,Monture en éléthium,,0,0,0
36,Afficher le texte ici.,,1,0,0
37,Micro-condensateur nécrostatique,,0,0,0
38,Ceinturon renforcé,,0,0,0
39,Bourse d’artisan,,0,0,0
40,Accélérateurs hydrodynamiques,,0,0,0
41,Plume somptueuse,,0,0,0
42,Patte de lapin ténébreuse,,0,0,0
44,Bourse d’alchimiste,,0,0,0
45,Changement de niveau d’objet,"La plupart des plans, patrons et recettes d’armure et d’accessoire de Shadowlands.",0,0,0
46,Augmentation du niveau d’objet,"Les plans, patrons et recettes d’armure et d’accessoire bleus (rares) de Shadowlands.",0,0,0
50,Changement de niveau d’objet,"Les plans, patrons et recettes d’armure et d’accessoire dignes de devenir légendaires de Shadowlands.",0,0,0
51,Augmentation du niveau d’objet,"Les plans, patrons et recettes d’armure et d’accessoire bleus (rares) de Shadowlands.",0,0,0
52,Augmentation du niveau d’objet,"Les plans, patrons et recettes d’armure et d’accessoire bleus (rares) de Shadowlands.",0,0,0
53,Augmentation du niveau d’objet,"Les plans, patrons et recettes d’armure et d’accessoire bleus (rares) de Shadowlands.",0,0,0
54,Augmentation du niveau d’objet,"Les plans, patrons et recettes d’armure et d’accessoire bleus (rares) de Shadowlands.",0,0,0
55,Changement de niveau d’objet,"Les plans, patrons et recettes d’armure et d’accessoire dignes de devenir légendaires de Shadowlands.",0,0,0
56,Ajout de noyau des Progéniteurs,"Les plans, patrons et recettes d’armure et d’accessoire bleus (rares) de Shadowlands.",0,0,0
57,Test Ore,,1,20,1
59,Minerai de draconium,,0,10,1
60,Minerai de khaz’gorite,,0,14,1
61,Minerai de sérévite,,0,3,1
62,Alliage en fusion primordial,,0,48,1
63,Alliage de givrefeu,,0,48,1
64,Alliage calciné d’obsidienne,,0,78,1
65,Alliage ardent,,0,33,1
66,Test Optional Reagent with Quality 01,Most Dragon Isles Test with Recipes. (DNT),0,0,0
67,Test Optional Reagent with Quality 02,Most Dragon Isles Test with Recipes. (DNT),0,0,0
68,Test Finishing Reagent,Test finishing reagent slot (DNT),0,0,2
69,Test Finishing Reagent with Quality 01,Test finishing reagent slot (DNT),0,0,2
71,Hochenblume,,0,3,1
72,Fiole draconique,,0,11,1
73,Saxifrage,,0,6,1
74,Pavot à bulle,,0,6,1
75,Écorce tordue,,0,6,1
76,Potion élémentaire de puissance,,0,22,1
77,Omnium Draconis,,0,12,1
78,Convergence primordiale,,0,39,1
79,Flasque de polyvalence tiède,,0,32,1
80,Flasque de chaos élémentaire,,0,35,1
81,Potion de focalisation gelée,,0,21,1
83,Changement de niveau d’objet,"Les plans, patrons et recettes d’armure et d’accessoire de rang 1 de Shadowlands dignes de devenir légendaires.",0,0,0
84,10.0 Optional Reagent - Season 1 - End Game Upgrade,"Des plans, patrons et recettes pour de l’équipement épique des îles aux Dragons fabriqué avec une étincelle d’ingéniosité.",0,0,0
85,Blindage renforcé,Used with Dragon Isles crafted gear for Cantrip. (DNT),0,0,0
87,Pointes d’armure,"Des plans, patrons et recettes pour la plupart des armures épiques sans embellissement des îles aux Dragons.",0,10,0
88,10.0 Optional Reagent - Outdoor Upgrade Leveling - Non Weapon,"Des plans, patrons et recettes pour la plupart des armures et accessoires bleus (rares) des îles aux Dragons.",0,0,0
89,Potion élémentaire fugace de puissance,,0,0,1
90,Boisson étrangement trouble,,0,0,1
91,Chaudron des Pookas,,0,42,1
92,Flasque d’œil de cyclone,,0,35,1
93,Flasque d’air immobile,,0,35,1
94,Flasque de préservation gelée,,0,36,1
95,Flasque glacée de rage corruptrice,,0,36,1
96,Flasque d’isolation chargée,,0,36,1
97,Flasque de préparation rafraîchissante,,0,0,1
98,Flasque de renforcement statique,,0,33,1
99,Flasque d’adresse gazéifiée,,0,17,1
100,Flasque de finesse fumante,,0,17,1
101,Flasque d’empressement chargée,,0,32,1
102,Potion de fatalité gelée,,0,27,1
103,Flasque de perception cristalline,,0,17,1
104,Putrescence en bouteille,,0,25,1
106,Potion de clarté glacée,,0,23,1
108,Agent de canalisation neurale résiduel,,0,23,1
109,Suspension de spores délicate,,0,23,1
110,Potion de soins rafraîchissante,,0,11,1
111,Potion élémentaire de puissance ultime,,0,32,1
112,Potion de mana gazéifiée,,0,14,1
114,Potion du zéphyr assourdi,,0,21,1
115,Potion de bourrasques,,0,20,1
116,Potion de révélation choquante,,0,20,1
118,Chaudron de potion de puissance,,0,691,1
119,Chaudron de potion de puissance ultime,,0,946,1
120,Encens de sagacité,,0,29,1
121,Encens soporifique,,0,14,1
122,Encens d’exultation,,0,14,1
123,Encens de ferveur,,0,14,1
124,Potion élémentaire fugace de puissance ultime,,0,0,1
125,Draconium fluidique stable,Nombreux plans de forge et d’armures de mailles des îles aux Dragons.,0,0,2
126,Sel de couvée,Nombreux plans et recettes d’artisanat pour des armures en cuir des îles aux Dragons.,0,0,2
127,Huile tord-flammes,Nombreux plans de forge et d’armures en cuir des îles aux Dragons.,0,0,2
128,Amélioration de potion d’agitation,Recettes de potions d’alchimie des îles aux Dragons.,0,0,2
129,Ornementation de flasque réactive,Recettes de flasques d’alchimie des îles aux Dragons.,0,0,2
130,Inhibiteur d’absorption de potion,"Des plans, patrons et recettes pour la plupart des équipements épiques sans embellissement des îles aux Dragons.",0,0,0
131,Poche de saveur alchimique,"Des plans, patrons et recettes pour la plupart des équipements épiques sans embellissement des îles aux Dragons.",0,0,0
133,Clairvoyance illustre,Recettes des îles aux Dragons particulièrement complexes et difficiles à réaliser.,0,0,2
134,Clairvoyance illustre inférieure,Recettes d’artisanat des îles aux Dragons pour des objets simples et petits.,0,0,2
135,Définir le score de Coup critique et la Hâte,Nombreux plans et recettes d’artisanat pour de l’équipement des îles aux Dragons.,0,0,0
137,Rubis régalien,,0,25,1
138,Saphir mystique,,0,25,1
139,Émeraude chatoyante,,0,25,1
140,Onyx fracturé,,0,25,1
141,Ambre d’éternité,,0,15,1
142,Alexstraszite,,0,108,1
143,Malygite,,0,108,1
144,Ysémeraude,,0,108,1
145,Neltharite,,0,108,1
146,Nozdorite,,0,88,1
147,Diamant insondable,,0,254,1
149,Lentille sans monture,,0,26,1
151,Pierre luisante,,0,21,1
152,Sable de séchage,Majorité des techniques de calligraphie des îles aux Dragons.,0,0,2
153,Bond féroce,Majorité des techniques de calligraphie des îles aux Dragons.,0,0,2
154,Fermoir chatoyant,,0,20,1
155,Prisme de projection,,0,31,1
156,Cuir résistant,,0,2,1
157,Écailles adamantines,,0,2,1
158,Peau dense,,0,31,1
159,Peau écailleuse lustrée,,0,31,1
160,Peau ardente,,0,42,1
161,Écailles ardentes,,0,42,1
162,Peau froidemort,,1,45,1
163,Écailles grillesèches,,1,45,1
170,Écailles brilleterres,,0,45,1
171,Écailles morsure-de-givre,,0,45,1
172,Peau tourbebourbe,,0,45,1
173,Peau carcan-de-pierre,,0,45,1
175,Poussière de gemme soyeuse,,0,20,1
176,Harmonie élémentaire,,0,291,1
364,Chiffon de polissage abrasif,Majorité des dessins de joaillerie des îles aux Dragons.,0,0,2
365,Chiffon de polissage chatoyant,Majorité des dessins de joaillerie des îles aux Dragons.,0,0,2
366,Fil de broderie ardent,Majorité des patrons de broderies et vêtements de couture des îles aux Dragons.,0,0,2
367,Fil de broderie chromatique,Majorité des patrons de broderies et vêtements de couture des îles aux Dragons.,0,0,2
368,Fil de broderie scintillant,Majorité des patrons de broderies et vêtements de couture des îles aux Dragons.,0,0,2
369,Fil ensorcelé chatoyant,,0,123,1
370,Fil ensorcelé gelé,,0,218,1
371,Fil ensorcelé temporel,,0,218,1
372,Doublure en soie bleue,"Des plans, patrons et recettes pour la plupart des équipements épiques sans embellissement des îles aux Dragons.",0,0,0
373,Empiècement sanglant,Majorité des recettes sanglantes d’empiècements sanglants (mod spécial) des îles aux Dragons.,0,0,0
374,Bandelettes de bronze,"Des plans, patrons et recettes pour la plupart des armes et objets tenus en main gauche épiques sans embellissement des îles aux Dragons.",0,0,0
375,Rouleau de trame-sauvage,,0,9,1
376,Rouleau de trame-d’azur,,0,117,1
377,Rouleau d’étoffe-du-temps,,0,117,1
378,Rouleau de trame-sauvage chatoyante,,0,54,1
379,Rouleau de trame-sauvage ardente,,0,29,1
380,Bobine de fil sauvage,,0,4,1
388,Définir la Polyvalence et la Maîtrise,Nombreux plans et recettes d’artisanat pour de l’équipement des îles aux Dragons.,0,0,0
389,Définir la Maîtrise et la Hâte,Nombreux plans et recettes d’artisanat pour de l’équipement des îles aux Dragons.,0,0,0
390,Définir la Polyvalence et la Hâte,Nombreux plans et recettes d’artisanat pour de l’équipement des îles aux Dragons.,0,0,0
391,Définir le score de Coup critique et la Maîtrise,Nombreux plans et recettes d’artisanat pour de l’équipement des îles aux Dragons.,0,0,0
392,Définir la Polyvalence et le score de Coup critique,Nombreux plans et recettes d’artisanat pour de l’équipement des îles aux Dragons.,0,0,0
393,Pièce d’armure toxique,"Les plans, patrons et recettes pour la plupart des armures en cuir et mailles épiques sans embellissement des îles aux Dragons.",0,0,0
394,Ornements de croc,"Des plans, patrons et recettes pour la plupart des armes et objets tenus en main gauche épiques sans embellissement des îles aux Dragons.",0,0,0
395,Passion de la terre,Majorité des recettes de passion de la terre des îles aux Dragons.,0,5,1
396,Fondant au chocolat,Recettes de plats des îles aux Dragons.,0,0,2
399,Minerai prismatique,,0,2,1
400,10.0 Optional Reagent - Outdoor Upgrade Dungeon - All,"Les plans, patrons et recettes d’équipement bleu (rares) des îles aux Dragons.",0,0,0
401,DEPRECATED [DNT],,0,0,2
403,Couteau de cuisine incroyablement tranchant,Des recettes de plats en portion individuelle des îles aux Dragons.,0,0,2
404,Salade d’accompagnement,Des recettes de plats en portion individuelle des îles aux Dragons.,0,0,2
405,Encre florissante,,0,14,1
406,Encre cosmique,,0,42,1
407,Encre flamboyante,,0,14,1
408,Encre sereine,,0,14,1
409,Encre brunie,,0,24,1
410,Pigment serein,,0,16,1
411,Pigment flamboyant,,0,16,1
412,Pigment florissant,,0,16,1
413,Pigment chatoyant,,0,6,1
414,Poignée de boulons en sérévite,,0,7,1
415,Torsade de ressort foudroyante,,0,9,1
416,Poudre d’explosion semperardente,,0,13,1
417,Rouages huilés,,0,26,1
418,Condensateur à décharge,,0,51,1
419,Châssis de machine renforcé,,0,75,1
420,Fusibles de sécurité divers,,0,19,1
422,10.0 Inscription - Optional Reagent - Azurescale Sigil,"Des plans, patrons et recettes des îles aux Dragons pour des boîtes de suite de Sombrelune.",0,0,0
424,Pisto-bottes draconiques,,0,60,1
425,Déplaceur gravitationnel,,0,20,1
426,Rune refroidie,,0,34,1
427,Écorce tordue runique,,0,46,1
429,Définir l’inspiration,"Des plans, patrons et recettes pour la plupart des outils d’artisanat des îles aux Dragons.",0,0,0
430,Contenant à combustion de créature,,0,21,1
431,Charge de déconstruction primordiale,,0,22,1
432,Fusibles de sécurité pour bricolage,Plans de lunettes et brassards épiques d’ingénierie des îles aux Dragons.,0,0,0
433,Unité de prévention des défaillances critiques,Plans de lunettes et brassards épiques d’ingénierie des îles aux Dragons.,0,0,0
434,Tube de condensateur à ressort,Plans de lunettes et brassards épiques d’ingénierie des îles aux Dragons.,0,0,0
435,Rouage tranchant,Plans de lunettes et brassards épiques d’ingénierie des îles aux Dragons.,0,0,0
436,Rouage cliquetant rapidement,Plans de lunettes et brassards épiques d’ingénierie des îles aux Dragons.,0,0,0
437,Rouage soigneusement réglé,Plans de lunettes et brassards épiques d’ingénierie des îles aux Dragons.,0,0,0
438,Rouage tous usages,Plans de lunettes et brassards épiques d’ingénierie des îles aux Dragons.,0,0,0
439,Fils reliés aléatoirement,Majorité des plans d’ingénierie des îles aux Dragons.,0,0,2
440,Suralimenteur surchargé,Majorité des plans d’ingénierie des îles aux Dragons.,0,0,2
441,Chargeur de fléchettes curatives,"Des plans, patrons et recettes pour la plupart des équipements épiques sans embellissement des îles aux Dragons.",0,0,0
442,10.0 Inscription - Optional Reagent - Emberscale Sigil,"Des plans, patrons et recettes des îles aux Dragons pour des boîtes de suite de Sombrelune.",0,0,0
443,10.0 Inscription - Optional Reagent - Bronzescale Sigil,"Des plans, patrons et recettes des îles aux Dragons pour des boîtes de suite de Sombrelune.",0,0,0
444,10.0 Inscription - Optional Reagent - Sagescale Sigil,"Des plans, patrons et recettes des îles aux Dragons pour des boîtes de suite de Sombrelune.",0,0,0
445,10.0 Inscription - Optional Reagent - Jetscale Sigil,"Des plans, patrons et recettes des îles aux Dragons pour des boîtes de suite de Sombrelune.",0,0,0
450,Définir l’ingéniosité,"Des plans, patrons et recettes pour la plupart des outils d’artisanat des îles aux Dragons.",0,0,0
451,Définir la fabrication multiple,"Des plans, patrons et recettes pour la plupart des outils d’artisanat des îles aux Dragons.",0,0,0
452,Définir la vitesse d’artisanat,"Des plans, patrons et recettes pour la plupart des outils d’artisanat des îles aux Dragons.",0,0,0
453,Définir la finesse,"Des plans, patrons et recettes pour la plupart des outils de récupération des îles aux Dragons.",0,0,0
454,Définir la perception,"Des plans, patrons et recettes pour la plupart des outils de récupération des îles aux Dragons.",0,0,0
455,Définir l’adresse,"Des plans, patrons et recettes pour la plupart des outils de récupération des îles aux Dragons.",0,0,0
459,Essence de forgeacier,Armes de forge de Draenor.,0,0,0
460,Essence de véracier,Armure de forge de Draenor.,0,0,0
461,Pignon de Grasmaillon,Lunettes d’ingénierie de Draenor.,0,0,0
462,Gâchette en vérifer,Armes à feu d’ingénierie de Draenor.,0,0,0
463,Essence brunie,Armure de travail du cuir de Draenor.,0,0,0
464,Essence de trame-sort,Armure de couture de Draenor.,0,0,0
465,Cristal d’arme,Armes de calligraphie de Draenor.,0,0,0
467,Poudre d’embellissement multifonction d’Eskrokar,"Des plans, patrons et recettes pour la plupart des équipements épiques sans embellissement des îles aux Dragons.",0,0,0
468,Trophée de conquête supérieur,"Objets épiques pour les emplacements de tête, de torse ou de jambes pouvant être fabriqués avec une étincelle d’ombreflamme.",0,0,0
469,Trophée de conquête,"Objets épiques pour les emplacements d’épaules, de mains, de taille ou de pieds pouvant être fabriqués avec une étincelle d’ombreflamme.",0,0,0
470,Trophée de conquête inférieur,"Objets épiques pour les emplacements de cou, de dos, de poignets ou de doigts pouvant être fabriqués avec une étincelle d’ombreflamme.",0,0,0
471,Cimier d’honneur supérieur,"Objets épiques pour les emplacements de tête, de torse ou de jambes pouvant être fabriqués avec une étincelle d’ombreflamme.",0,0,0
472,Cimier d’honneur,"Objets épiques pour les emplacements d’épaules, de mains, de taille ou de pieds pouvant être fabriqués avec une étincelle d’ombreflamme.",0,0,0
473,Cimier d’honneur inférieur,"Objets épiques pour les emplacements de cou, de dos, de poignets ou de doigts pouvant être fabriqués avec une étincelle d’ombreflamme.",0,0,0
474,10.0 Professions - Shared - Season 1 Upgrade,,2,0,0
475,10.1 Professions - Shared - Season 2 Upgrade,,2,0,0
