ID,Name_lang,Description_lang,ToastDescription_lang,CovenantID,Level,Icon,Flags,UiOrder,ItemID,SpellID,MountID,TransmogID,TransmogSetID,CharTitlesID,GarrFollowerID,TransmogIllusionID,QuestID,PlayerConditionID
18,,Adressez-vous à la guetteuse Vespérine pour recruter cet aventurier.,Nouvel aventurier disponible,3,4,0,0,0,0,0,0,0,0,0,1283,0,64508,0
19,Amélioration de lien d’âme : Niya,Permet d’accéder à la troisième rangée de traits de lien d’âme de Niya.,Rang de lien d’âme de Niya débloqué,3,3,3684884,2,0,0,0,0,0,0,0,0,0,64508,0
22,Amélioration de lien d’âme : Niya,Permet d’accéder à la quatrième rangée de traits de lien d’âme de Niya.,Rang de lien d’âme de Niya débloqué,3,7,3684884,2,0,0,0,0,0,0,0,0,0,64508,0
23,,Adressez-vous à la guetteuse Vespérine pour recruter cet aventurier.,Nouvel aventurier disponible,3,12,0,0,0,0,0,0,0,0,0,1285,0,64508,0
25,Amélioration de lien d’âme : Tisse-Rêves,Permet d’accéder à la quatrième rangée de traits de lien d’âme de Tisse-Rêves.,Rang de lien d’âme de Tisse-Rêves débloqué,3,9,3684882,2,0,0,0,0,0,0,0,0,0,64508,0
28,Amélioration de lien d’âme : Tisse-Rêves,Permet d’accéder à la cinquième rangée de traits de lien d’âme de Tisse-Rêves.,Rang de lien d’âme de Tisse-Rêves débloqué,3,13,3684882,2,1,0,0,0,0,0,0,0,0,0,0
29,,Ce souvenir récupéré deviendra disponible à l’achat auprès de l’intendant de renom.,Nouveau souvenir récupéré disponible,3,14,0,0,0,183249,0,0,0,0,0,0,0,64508,0
31,Amélioration de lien d’âme : Niya,Permet d’accéder à la cinquième rangée de traits de lien d’âme de Niya.,Rang de lien d’âme de Niya débloqué,3,10,3684884,2,0,0,0,0,0,0,0,0,0,64508,0
32,,Adressez-vous à la guetteuse Vespérine pour recruter cet aventurier.,Nouvel aventurier disponible,3,17,0,0,1,0,0,0,0,0,0,1284,0,0,0
33,Récompenses d’expéditions,Le niveau d’objet de vos récompenses d’expéditions est augmenté.,Niveau d’objet maximum en expédition augmenté,3,10,236668,0,1,0,0,0,0,0,0,0,0,63220,88686
