ID,Name_lang,AreaTableID,Type,Flags,UiTextureKitID
15,Unga Ingou,0,0,0,0
39,Crypte des Rois oubliés,0,0,0,0
40,Pierre-Verte,0,0,0,0
44,Temple du Serpent de jade,0,1,18,0
45,Brasserie Brune d’Orage,0,1,1,0
46,Monastère des Pandashan,0,1,1,0
48,Porte du Soleil couchant,0,1,1,0
49,Siège du temple de Niuzao,0,1,1,0
50,Palais Mogu’shan,0,1,1,0
51,Scholomance,0,1,1,0
52,Salles Écarlates,0,1,1,0
53,Monastère Écarlate,0,1,1,0
58,Arène de l’Annihilation,0,0,0,0
63,Festival de Brasse-Lune,0,0,0,0
65,Une bière foudroyante,0,0,0,0
68,Temple de Kotmogu,0,0,0,0
70,La chute de Theramore,0,0,0,0
71,La chute de Theramore,0,0,0,0
72,La chute de Theramore,0,0,0,0
179,Une dague dans la nuit,0,0,0,0
180,L’île Diamant,0,0,0,0
181,L’assaut de Zan’vess,0,0,0,0
182,Bataille en haute mer,0,0,0,0
183,Un peu de patience,0,0,0,0
184,Le territoire du Lion,0,0,0,0
187,La halte de la Domination,0,0,0,0
200,À la poursuite de la Moisson noire,0,0,0,0
201,La halte de la Domination,0,0,0,0
203,L’assaut de Zan’vess,0,0,0,0
204,Démolissez ce mur !,0,0,0,0
205,Débarcadère de la mer des Tempêtes,0,0,0,0
206,L’assaut de Zeb’tula,0,0,0,0
207,En route vers les cieux !,0,0,0,0
208,La chute de Shan Bu,0,0,0,0
209,Démolissez ce mur !,0,0,0,0
210,Du sang dans la neige,0,0,0,0
211,La forge du Tonnerre,0,0,0,0
212,L’assaut de Shaol’mara,0,0,0,0
215,Le fabuleux trésor du roi-tonnerre,0,0,0,0
216,Le sombre cœur de la Pandarie,0,0,0,0
219,Les secrets de Ragefeu,0,0,0,0
237,Ordalie : Sélectionner une épreuve,0,0,2,0
239,Bataille en haute mer,0,0,0,0
247,Modèle de scénario,0,0,0,0
248,Ordalie,0,0,2,0
254,Scénario prototype,0,0,2,0
256,Mort du buffle,0,0,0,0
257,Tournoi des Astres vénérables,0,0,0,0
269,Trouver l’ingrédient secret,0,0,0,0
275,La purge de Grommar,0,0,0,0
278,L’heure des nouilles,0,0,0,0
294,Kraal de Tranchebauge,0,0,0,0
318,Les mines de Draenor,0,0,0,0
320,Phase finale de Gorgrond,0,0,0,0
322,Dawson,0,0,0,0
323,Scénario d’Osville,0,0,0,0
324,La bataille du passage du Tonnerre,0,0,0,0
329,Sommet du pic Rochenoire,0,3,26,0
331,La bataille de Shattrath,0,0,0,0
333,Profondeurs de Brassenoire,0,3,10,0
423,Orée-du-Ciel,0,1,1,0
425,Mine de la Masse-Sanglante,0,1,1,0
426,Quais de Fer,0,1,18,0
427,Auchindoun,0,1,1,0
