Description_lang,Title_lang,ID,ScenarioID,CriteriatreeID,RewardQuestID,RelatedStep,Supersedes,OrderIndex,Flags,VisibilityPlayerConditionID,WidgetSetID
Amenez le maître brasseur Bo au chaudron de brassage d’Unga Ingou.,Escorter le maître brasseur Bo,24,15,21004,0,0,0,0,0,0,0
Apportez 200 brassejungles d’Unga au chaudron de brassage.,Remplir le chaudron de brassage,25,15,27707,0,0,0,1,0,0,0
Terrassez le capitaine Ouk.,Vaincre le capitaine Ouk,26,15,21008,0,0,0,2,0,0,0
Terrassez le chef pandashan.,Mettre fin à la terreur,114,39,21048,0,0,0,0,0,0,0
Enfoncez-vous dans les profondeurs de la crypte et fouillez le niveau inférieur.,Fouiller la crypte,115,39,22065,0,0,0,2,0,0,0
Terrassez les monstres qui attaquent les villageois de Pierre-Verte.,Sauver les villageois,116,40,20975,0,0,0,0,0,0,0
Terrassez Hui le Vengeur.,Vaincre Hui le Vengeur,117,40,20982,0,0,0,4,0,0,0
Trouvez les barils de bière volée dans la forêt et rapportez-les au dojo du village.,Récupérer les barils volés,118,40,21059,0,0,0,2,0,0,0
Terrassez les troupes corrompues du sha dans le temple du Serpent de jade.,Temple du Serpent de jade,123,44,21078,0,0,0,0,0,0,0
Terrassez les troupes qui sèment le chaos dans la brasserie Brune d’Orage.,Brasserie Brune d’Orage,124,45,21087,0,0,0,0,0,0,0
Terrassez les troupes qui s’opposent à vous dans le monastère des Pandashan.,Monastère des Pandashan,125,46,21095,0,0,0,0,0,0,0
Terrassez les troupes mantides qui assaillent la porte du Soleil couchant.,Porte du Soleil couchant,127,48,21100,0,0,0,0,0,0,0
Terrassez les troupes mantides qui assiègent le temple de Niuzao.,Siège du temple de Niuzao,128,49,21105,0,0,0,0,0,0,0
,Palais Mogu’shan,129,50,21110,0,0,0,0,0,0,0
Terrassez les troupes nécromantiques de la Scholomance.,Scholomance,130,51,21120,0,0,0,0,0,0,0
Terrassez les troupes de la Croisade écarlate.,Salles Écarlates,131,52,21130,0,0,0,0,0,0,0
Rendez-vous dans le quartier des Maçons et réveillez les villageois inconscients.,Sauver les maçons de Pierre-Verte,132,40,21126,0,0,0,3,0,0,0
Terrassez les troupes de la Croisade écarlate dans leur monastère.,Monastère Écarlate,133,53,21134,0,0,0,0,0,0,0
"Invoquez et terrassez la puissante tortue-dragon, Écaille-Balafrée.",Ecaille-balafrée,138,58,21323,0,0,0,0,0,0,0
"Invoquez et terrassez l’horreur qui rôde dans la neige et mange les grumelots, Jol’Grum.",Jol’Grum,139,58,21325,0,0,0,1,0,0,0
"Invoquez et terrassez l’esprit du feu espiègle, Liuyang.",Petite Liuyang,140,58,21327,0,0,0,2,0,0,0
"Invoquez et terrassez le guerrier yaungol errant, Chagan Sabot-de-Feu.",Chagan Sabot-de-Feu,141,58,21332,0,0,0,3,0,0,0
"Invoquez et terrassez l’adversaire final, puis réclamez votre récompense auprès de Wodin !",Vaincre l’adversaire final !,142,58,21334,0,0,0,4,0,0,0
Aidez les assistants du maître brasseur Giclette à rassembler les ingrédients de la Ravigote de Kun-Lai.,Le festival de Brasse-Lune,154,63,21845,0,0,0,0,0,0,0
Arrêtez l’invasion bataari sur Binan.,L’attaque yaungole !,155,63,21849,0,0,0,2,0,0,0
Terrassez le porteguerre Qobi.,Porteguerre Qobi,156,63,21851,0,0,0,3,0,0,0
Enquêtez sur les apparitions de yaungols.,Le rapport des éclaireurs,157,63,21853,0,0,0,1,0,0,0
Aidez Blanche à brasser sa célèbre bière qui détone.,Faire de la bière détonante,159,65,21993,0,0,0,0,0,0,0
Escortez Blanche le long de la route de Patte-du-Tonnerre.,Faire route vers Patte-du-Tonnerre,160,65,21995,0,0,0,1,0,0,0
Terrassez Borokhula le Destructeur.,Sauver le refuge Patte-du-Tonnerre,161,65,21999,0,0,0,2,0,0,0
Détruisez l’abomination de colère.,Détruire le sha,166,39,21050,0,0,0,3,0,0,0
"Terrassez le général Zhun, héraut du roi-tonnerre.",Tuer le général Zhun,167,68,22571,0,0,0,4,0,0,0
Sauvez l’expédition du Lotus doré capturée.,Sauver le Lotus doré,171,68,22730,0,0,0,1,0,0,0
Empêchez l’exécution du chroniqueur Fu.,Empêcher l’exécution,172,68,22732,0,0,0,2,0,0,0
Venez à bout des défenseurs des quatre artéfacts mogu antiques.,Capturer les artéfacts,173,68,22737,0,0,0,3,0,0,0
Terrassez les trois maîtres.,[PH] Defeat Masters,174,70,0,0,0,0,0,0,0,0
Traversez les lignes ennemies pour pénétrer au cœur des ruines de Theramore.,Dans les ruines,175,71,27452,0,0,0,2,0,0,0
Tuez tous les capitaines de l’Alliance et placez des barils de poudre sur tous les bateaux.,Sur la ligne de flottaison !,179,72,22975,0,0,0,0,0,0,0
Informez le maître-dynamiteur Mèchétincelle de votre réussite.,Le maître-dynamiteur,180,72,22989,0,0,0,1,0,0,0
Tuez Baldruc et ses griffons.,"Un griffon, fon, fon",181,72,22977,0,0,0,2,0,0,0
Détruisez la Grosse Bessa et sabotez tous les chars inoccupés.,Arrête ton char !,182,72,22980,0,0,0,3,0,0,0
Tuez Hédric Cannelisse et libérez Thalen Tissechant de la citadelle de Theramore.,Espionnage aérien !,183,72,22986,0,0,0,4,0,0,0
Détruisez l’engin de siège à la porte ouest et récupérez les étendards volés.,Détruire le Destructeur,185,71,27457,0,0,0,4,0,0,0
Protégez Jaina pendant qu’elle s’accorde à l’iris de focalisation.,La bataille finale,186,71,27460,0,0,0,5,0,0,0
Défendez le navire contre la Horde.,Bienvenue à Theramore,193,71,27242,0,0,0,0,0,0,0
Terrassez les monstres qui attaquent le dojo de Pierre-Verte.,Sauver le dojo,194,40,21061,0,0,0,1,0,0,0
Terrassez la Horde dans le port.,Balayer le port,210,71,27256,0,0,0,1,0,0,0
Purifiez le bassin de vie de la corruption du sha.,Le bassin de vie,211,39,27197,0,0,0,1,0,0,0
Retrouvez Jaina dans le cratère de la bombe de mana.,Dame Portvaillant,217,71,27467,0,0,0,3,0,0,0
Trouvez l’érudite Shue.,Le destin de la chroniqueuse,224,68,27622,0,0,0,0,0,0,0
Trouvez l’entrée de la caverne des sauroks.,En route !,367,179,30884,0,0,0,1,0,0,0
Terrassez les sauroks qui gardent la caverne.,Des gardes !,368,179,30568,0,0,0,2,0,0,0
Découvrir d’où viennent les sauroks.,La source,369,179,30948,0,0,0,4,0,0,0
Terrassez le maître des couvées Noshi.,Le maître des couvées,370,179,30570,0,0,0,5,0,0,0
Repoussez l’embuscade kor’kronne.,C’est une embuscade !,371,179,30572,0,0,0,7,0,0,0
Détruisez les orbes de protection et frayez-vous un chemin dans la forteresse.,Infiltrer l’ancienne forteresse,372,180,30566,0,0,0,0,0,0,0
Ramassez autant de butin que vous pouvez avant que la créature des titans soit lâchée.,Voler pour s’enrichir,373,180,0,0,0,0,1,0,0,0
Lancez une attaque sur l’île de Zan’vess.,L’attaque de Zan’vess,374,181,30957,0,0,0,0,0,0,0
Détruisez les tours de contrôle soniques et désactivez le bouclier défensif de Zan’vess.,Les défenses de Zan’vess,375,181,30959,0,0,0,1,0,0,0
Débarquez sur la plage et avancez jusqu’au cœur de Zan’vess.,Le cœur de Zan’vess,376,181,30966,0,0,0,2,0,0,0
Terrassez l’amiral Hagman.,À bas l’amiral !,377,182,30733,0,0,0,3,0,0,0
Protégez le navire ! Repoussez la section d’abordage de la Horde !,On nous aborde !,378,182,30721,0,0,0,0,0,0,0
Placez des explosifs sur le vaisseau de la Horde pour le détruire !,En mille morceaux !,379,182,30723,0,0,0,2,0,0,0
Parlez à Vol’jin pour vous mettre à la recherche de la caverne des sauroks.,La mission…,382,179,30886,0,0,0,0,0,0,0
Enfoncez-vous dans les profondeurs de la grotte.,Dans la grotte,383,179,30939,0,0,0,3,0,0,0
Examinez les statues mogu.,Enquête,384,179,30950,0,0,0,6,0,0,0
Rejoignez Daggin Barbe-du-Vent.,Le maître de vol,386,184,31196,0,0,0,0,0,0,0
Terrassez le commandant Tel’vrak et récupérez le contenu de la cache d’armes des mantides.,Les armes de Zan’vess,387,181,30964,0,0,0,3,0,0,0
Aidez les deux groupes de travailleurs à construire leurs défenses.,Préparer les défenses,398,183,30997,0,0,0,0,0,0,0
Évitez les gardes et entrez dans le sanctuaire des Ombres.,L’entrée du Temple noir,408,200,31008,0,0,0,0,0,0,0
Trouvez la piste du Conseil de la Moisson noire.,Trouver des traces de la présence du Conseil,409,200,31010,0,0,0,1,0,0,0
Marchez avec Akama jusqu’au sanctuaire des Âmes perdues.,Suivre Akama jusqu’au sanctuaire des Âmes perdues,410,200,31012,0,0,0,2,0,0,0
Terrassez le commandant Coupentaille et reprenez le temple de la Grue rouge.,Tuer le commandant Coupentaille,412,183,31192,0,0,0,1,0,0,0
Examinez le sanctuaire des Âmes perdues.,Découvrir le plan du Conseil,413,200,31019,0,0,0,3,0,0,0
Récupérez le cristal d’âme abandonné par le Conseil de la Moisson noire.,Vaincre l’essence de l’ordre,414,200,31017,0,0,0,4,0,0,0
Repoussez les démons libérés par le Reliquaire et retournez voir Akama dans les salles de l’Angoisse.,Fuir le sanctuaire des Âmes perdues,415,200,31021,0,0,0,5,0,0,0
Ramassez autant de butin que vous pouvez avant que le temps ne soit écoulé.,Piller la tanière des Délices mortelles,416,200,31023,0,0,0,6,0,0,0
Apportez le noyau d’âme investi au sommet du temple.,Vers le sommet du temple,417,200,31034,0,0,0,7,0,0,0
Frayez-vous un chemin sur les quais jusqu’à l’amiral Taylor.,Mort sur les quais,419,184,31202,0,0,0,1,0,0,0
Terrassez les troupes de la Horde prenant d’assaut le donjon.,Reprenez la cour !,420,184,31283,0,0,0,2,0,0,0
Rassemblez des informations sur l’équipe du SI:7.,Travail sur le terrain,423,184,31296,0,0,0,4,0,0,0
Tenez le château en repoussant les vagues d’envahisseurs de la Horde et leur commandant.,Tenir le front !,424,184,31291,0,0,0,6,0,0,0
Lancez une attaque sur l’île de Zan’vess.,L’attaque de Zan’vess,430,203,31227,0,0,0,0,0,0,0
Détruisez les tours de contrôle soniques et désactivez le bouclier défensif de Zan’vess.,Les défenses de Zan’vess,431,203,31229,0,0,0,1,0,0,0
Débarquez sur la plage et avancez jusqu’au cœur de Zan’vess.,Le cœur de Zan’vess,432,203,31233,0,0,0,2,0,0,0
Terrassez le commandant Tel’vrak et récupérez le contenu de la cache d’armes des mantides.,Les armes de Zan’vess,433,203,31236,0,0,0,3,0,0,0
Retrouvez le haut maréchal Doublenattes et aidez-le à repousser l’attaque de la Horde.,Le haut maréchal,434,184,31288,0,0,0,3,0,0,0
Installez les armes de Sully et préparez-vous à défendre le donjon !,Préparatifs,435,184,31300,0,0,0,5,0,0,0
Rejoignez Kromthar.,Le maître de vol,436,201,31475,0,0,0,0,0,0,0
Frayez-vous un chemin à travers la raffinerie en flammes jusqu’au général Nazgrim.,Un as dans la manche,437,201,31477,0,0,0,1,0,0,0
Terrassez les troupes de l’Alliance prenant d’assaut le donjon.,Reprenez la cour !,438,201,31479,0,0,0,2,0,0,0
Retrouvez le seigneur de guerre Garde-Sanglante et aidez-le à repousser l’attaque de l’Alliance.,Le seigneur de guerre,439,201,31483,0,0,0,3,0,0,0
Rassemblez des informations sur les troupes de l’Alliance et de la Horde.,Travail sur le terrain,440,201,31486,0,0,0,4,0,0,0
Installez les armes de Rivett et préparez-vous à défendre le donjon !,Préparatifs,441,201,31490,0,0,0,5,0,0,0
Tenez le château en repoussant les vagues d’envahisseurs de l’Alliance et leur commandant.,Tenir le front !,442,201,31494,0,0,0,6,0,0,0
Utilisez Aile-Tonnerre pour faire une reconnaissance aérienne du débarcadère de la mer des Tempêtes.,Se fondre dans le paysage,443,205,31682,0,0,0,0,0,0,0
Larguez des bombes fumigènes sur les totems sentinelles pour les désactiver.,La voie de la fumée,444,205,31684,0,0,0,1,0,0,0
"Assommez les membres d’équipage désignés par Taoshi, puis déplacez-vous silencieusement jusqu’aux armes de siège à l’avant du navire.",Des ombres dans la tempête,445,205,31686,0,0,0,2,0,0,0
"Faufilez-vous à travers le chantier naval jusqu’en haut de la colline pour atteindre Hu’seng, le gardien de la porte.",Rester discret,446,205,31689,0,0,0,4,0,0,0
Tuez Hu’seng le gardien de la porte et récupérez sa clé.,Une lumière dans la nuit,447,205,31691,0,0,0,5,0,0,0
Chevauchez le faucon-de-sang saccage-soleil et survolez l’île avec le capitaine des éclaireurs Elsia.,Rendez-vous avec le capitaine des éclaireurs Elsia,448,206,31670,0,0,0,0,0,0,0
,Survivre à l’embuscade,449,206,31672,0,0,0,1,0,0,0
,Détruire les barricades,450,206,31674,0,0,0,2,0,0,0
,Tuer Kresh l’éventreur,451,206,31676,0,0,0,3,0,0,0
,Tuer le rituarcaniste Tula’chek et son masque d’esprit,452,206,31679,0,0,0,4,0,0,0
Chevauchez votre Aile-Tonnerre !,Décollage…,453,207,31693,0,0,0,0,0,0,0
Les Zandalari vous ont repéré ! Terrassez vos attaquants !,Intercepté !,454,207,31695,0,0,0,1,0,0,0
Horaki vous a désarçonné ! Terrassez-le !,Maîtriser le belluaire,455,207,31697,0,0,0,2,0,0,0
"Allez voir Taoshi, votre contact pandashan.",Dans la mine,456,207,31830,0,0,0,3,0,0,0
Couvrez Taoshi pendant qu’elle désactive le verrou sur la porte de la mine et terrassez l’esclavagiste Shiaxu.,Couvrez-moi !,458,207,31703,0,0,0,5,0,0,0
Unissez-vous aux troupes alliées pour attaquer la croisée Ensanglantée.,Croisée Ensanglantée,460,208,31844,0,0,0,0,0,0,0
Terrassez les défenseurs mogu et zandalari de Shan Bu.,Le Seuil de Lei Shen,465,208,31718,0,0,0,2,0,0,0
Terrassez les gardiens de la porte du palais pour débloquer les portes.,Détruire les gardiens de la porte,472,208,31710,0,0,0,1,0,0,0
Obtenez les explosifs lourds.,Trouver les explosifs perdus,473,204,31833,0,0,0,0,0,0,0
Allumez la mèche des explosifs lourds.,Faire détoner les explosifs,474,204,31839,0,0,0,2,0,0,0
,Tuer le dieu-guerrier Al’chukla,475,204,31837,0,0,0,3,0,0,0
Obtenez les explosifs lourds.,Trouver les explosifs perdus,476,209,31746,0,0,0,0,0,0,0
Allumez la mèche des explosifs lourds.,Faire détoner les explosifs,477,209,31768,0,0,0,2,0,0,0
,Tuer le dieu-guerrier Al’chukla,478,209,31804,0,0,0,3,0,0,0
Parlez à Elsia au mur de la ville.,Livrer les explosifs,479,209,31765,0,0,0,1,0,0,0
Parlez à Vereesa au mur de la ville.,Livrer les explosifs,480,204,31835,0,0,0,1,0,0,0
Aidez Taran Zhu et Yalia à renverser Shan Bu.,Vaincre Shan Bu,482,208,31723,0,0,0,3,0,0,0
Rendez-vous sous le pont et assassinez le capitaine Halu’kal.,Se mouiller,483,205,31806,0,0,0,3,0,0,0
Défendez Irion pendant que la forge du Tonnerre se charge.,Charge en cours,484,211,31810,0,0,0,2,0,0,0
Défendez le forgeron céleste pendant qu’il forge le javelot de foudre.,Corruption détectée,485,211,31812,0,0,0,4,0,0,0
Terrassez l’amalgame sha en train d’attaquer la forge du Tonnerre.,Corruption manifeste,486,211,31814,0,0,0,5,0,0,0
Frayez-vous un chemin jusqu’à la porte principale de la mine.,Vous avez bonne mine !,487,207,31841,0,0,0,4,0,0,0
Parlez à Irion pour comprendre comment activer la forge du Tonnerre.,Parler à Irion,490,211,31856,0,0,0,0,0,0,0
Placez le noyau d’âme investi dans le puits des âmes démoniaque et terrassez Kanrethad.,Battre Kanrethad,491,200,31858,0,0,0,8,0,0,0
Versez le trillium dans les moules et commencez à charger la forge du Tonnerre.,Forgé dans le trillium,492,211,31923,0,0,0,1,0,0,0
"Montez sur l’hippogriffe du Concordat argenté et survolez l’île avec le général des forestiers, Vereesa Coursevent.",Rendez-vous avec le général des forestiers Vereesa Coursevent,493,212,31925,0,0,0,0,0,0,0
,Survivre à l’embuscade,494,212,31928,0,0,0,1,0,0,0
