DisplayName_lang,AlternateVerb_lang,Description_lang,HordeDisplayName_lang,NeutralDisplayName,ID,CategoryID,SpellIconFileID,CanLink,ParentSkillLineID,ParentTierIndex,Flags,SpellBookSpellID,ExpansionNameSharedStringID,HordeExpansionNameSharedStringID
Epées,,Une compétence d’arme plus élévée augmente vos chances de toucher.,,,43,6,136243,0,0,0,128,0,0,0
Haches,,Une compétence d’arme plus élévée augmente vos chances de toucher.,,,44,6,136243,0,0,0,128,0,0,0
Arcs,,Une compétence d’arme plus élévée augmente vos chances de toucher.,,,45,6,136243,0,0,0,128,0,0,0
Armes à feu,,Une compétence d’arme plus élévée augmente vos chances de toucher.,,,46,6,136243,0,0,0,128,0,0,0
Masse,,Une compétence d’arme plus élévée augmente vos chances de toucher.,,,54,6,136243,0,0,0,128,0,0,0
Epées à deux mains,,Une compétence d’arme plus élévée augmente vos chances de toucher.,,,55,6,136243,0,0,0,128,0,0,0
Défense,,"Une plus haute défense améliore vos chances d'esquiver, de parer ou de bloquer, vous rend plus difficile à toucher et diminue les chances que les monstres vous infligent un coup critique.",,,95,6,136243,0,0,0,640,0,0,0
Langue : commun,,,,,98,10,136243,0,0,0,144,0,0,0
Racial - Nain,,Racial - Nain,,,101,9,136243,0,0,0,33938,0,0,0
Langue : orc,,,,,109,10,136243,0,0,0,128,0,0,0
Langue : nain,,,,,111,10,136243,0,0,0,128,0,0,0
Langue : darnassien,,,,,113,10,136243,0,0,0,128,0,0,0
Langue : taurahe,,,,,115,10,136243,0,0,0,128,0,0,0
Ambidextrie,,Ambidextrie,,,118,6,136243,0,0,0,146,0,0,0
Racial - Tauren,,Racial - Tauren,,,124,9,136243,0,0,0,33938,0,0,0
Racial - Orc,,Racial - Orc,,,125,9,136243,0,0,0,32914,0,0,0
Racial - Elfe de la nuit,,Racial - Elfe de la nuit,,,126,9,136243,0,0,0,33938,0,0,0
Bâtons,,Une compétence d’arme plus élévée augmente vos chances de toucher.,,,136,6,136243,0,0,0,128,0,0,0
Langue : thalassien,,,,,137,10,136243,0,0,0,128,0,0,0
Langue : draconique,,,,,138,10,136243,0,0,0,128,0,0,0
Langue : démoniaque,,Le langage corrompu des démons.,,,139,10,236293,0,0,0,128,0,0,0
Langue : titan,,,,,140,10,136243,0,0,0,128,0,0,0
Langue : langue ancienne,,,,,141,10,136243,0,0,0,128,0,0,0
Survie,,,,,142,9,136243,0,0,0,0,0,0,0
Equitation,,,,,148,9,136243,0,0,0,1170,0,0,0
Monte de loup,,,,,149,9,136243,0,0,0,1170,0,0,0
Monte de tigre,,,,,150,9,136243,0,0,0,1170,0,0,0
Monte de bélier,,,,,152,9,136243,0,0,0,1170,0,0,0
Natation,,,,,155,9,136243,0,0,0,0,0,0,0
Masses à deux mains,,Une compétence d’arme plus élévée augmente vos chances de toucher.,,,160,6,136243,0,0,0,128,0,0,0
