ID,Name_lang,TotemCategoryType,TotemCategoryMask
1,Couteau à dépecer (OLD),1,1
2,Totem de terre,2,1
3,Totem d'air,2,2
4,Totem de feu,2,4
5,Totem d'eau,2,8
6,Bâtonnet runique d’enchantement,24,65536
7,Bâtonnet runique d’enchantement,24,65536
8,Bâtonnet runique d’enchantement,24,65536
9,Bâtonnet runique d’enchantement,24,65536
10,Bâtonnet runique d’enchantement,24,65536
11,Pioche de mineur (OLD),21,1
12,Pierre philosophale,22,1
13,Marteau de forgeron (VIEUX),23,1
14,Clé plate,24,1
15,Micro-ajusteur gyromatique,24,2
21,Totem maître,2,15
41,Bâtonnet runique d’enchantement,24,65536
62,Bâtonnet runique d’enchantement,24,65536
63,Bâtonnet runique d’enchantement,24,65536
81,Plume creuse,22,4
101,Bâtonnet runique d’enchantement,24,69631
121,Coffret de calligraphie de virtuose,24,-2147483648
141,Tambours,24,1073741824
161,Couteau de l'armée gnome,24,127
162,Marteau de forgeron,24,4
165,Pioche de mineur,24,8
166,Couteau à dépecer,24,16
167,Pioche-marteau,24,12
168,Pioche à lame,24,24
169,Silex et amadou,24,32
189,Bâtonnet runique d’enchantement,24,65536
190,Bâtonnet runique d’enchantement,24,65536
209,Bâtonnet runique d’enchantement,24,65536
210,Fusil à culasse surpuissant,24,64
230,Bâtonnet runique d’enchantement,24,65536
238,Outils de joaillerie,24,64
250,Couteau gnome ultime,24,-2147417985
253,Penne sanguine de Lana’thel,61,1
354,Sup3r clé,24,1
355,Focalisateur du Vide,162,1
356,Focalisateur du Vide renforcé,162,3
357,Focalisateur du Vide déchaîné,162,7
358,Savoir-faire,24,-2147483553
359,Coffret de gravure de virtuose,24,-2147483648
362,Outil multifonction d’ingénierie,24,71
369,Armée gnome totale,164,-1
