CalloutText_lang,CalloutFrame,ID,Type,Direction,Field_10_1_0_48480_005,UiWidgetSetID,OffsetX,OffsetY
Piller,ContainerFrame1Item1,1,2,1,107628,0,0,0
Échanger,ContainerFrame1Item1,2,2,1,107628,0,0,0
Piller,MultiBarBottomLeftButton1,9,2,1,107628,0,0,0
Échanger|n|n(|cFF00FFFFTab|r pour faire défiler les emplacements),MultiBarBottomLeftButton1,10,2,1,107628,0,0,0
Échanger|n|n(|cFF00FFFFTab|r pour faire défiler les emplacements),MultiBarBottomLeftButton2,11,2,1,107628,0,0,0
Piller,MultiBarBottomLeftButton2,12,2,1,107628,0,0,0
Piller,MultiBarBottomRightButton1,13,2,1,107628,0,0,0
Échanger|n|n(|cFF00FFFFTab|r pour faire défiler les emplacements),MultiBarBottomRightButton1,14,2,1,107628,0,0,0
Piller,MultiBarBottomRightButton2,15,2,1,107628,0,0,0
Échanger|n|n(|cFF00FFFFTab|r pour faire défiler les emplacements),MultiBarBottomRightButton2,16,2,1,107628,0,0,0
Appuyez sur [Tab] pour changer d’emplacement.,MultiBarBottomLeft,17,3,3,0,0,0,0
Améliorer !,MultiBarBottomLeftButton1,18,2,1,107628,0,0,0
Améliorer !,MultiBarBottomLeftButton2,19,2,1,107628,0,0,0
Améliorer !,MultiBarBottomRightButton1,20,2,1,107628,0,0,0
Améliorer !,MultiBarBottomRightButton2,21,2,1,107628,0,0,0
Le tournoi commencera quand suffisamment de personnages-joueurs auront été invoqués !,UIWidgetBelowMinimapContainerFrame,29,3,3,0,0,0,0
,MultiBarBottomLeft,31,4,0,21439,772,-50000,16
,MultiBarBottomRight,32,4,0,21439,772,-50000,16
Test,ScenarioStageBlock,34,1,3,0,0,0,0
